PEEQ,C1,C2,C3,C4,C5,C6,C7,C8,C9
0.043,1.0252626002484027,0.006451320543672694,0.8501812521751035,0.10554203275291492,550.3724687986668,86.12487344503961,0.022717596539645172,619.3679609409896,113.53527931008635
0.044,0.7821560343063451,0.0047195744307784145,0.8084292830483742,0.25288758856662324,529.171926769039,43.22571569478033,0.057295215320457574,644.5457422664067,133.14702130298684
0.045,1.4172673284002812,0.007864241909721247,0.8628016969368976,0.11300335031331317,540.6746478134071,63.751477481407065,0.029040101447131844,602.7541656781483,173.2454922661475
0.046,1.9995198090697326,0.005070680837207588,0.5284292998416366,0.3608061619782537,593.8115254123638,188.86567176504585,0.04625348952373733,355.10873810532934,20.07431770939243
0.047,1.3014784919872882,0.004661406216373681,0.6370427186634391,0.22006152080615546,606.0042106017409,143.12899676061835,0.07742551892884665,468.97162581786495,197.24035590498428
0.048,0.9116976901826052,0.00276679292616984,0.5815771269347428,0.21936981993589397,591.3674336696039,162.40829301447843,0.005295245587128976,546.5023438164337,199.6825042420724
0.049,0.9492321016518656,0.004893717285937535,0.7784310384455352,0.15900977513910625,575.2286766642497,122.01500315884851,0.22162655413898746,619.9987652898491,16.587790881742322
0.05,1.4055196919597983,0.003407662825526905,0.4508841554709179,0.19657195476545702,545.0748978869868,195.17726262124313,0.18811073235524517,638.1482119854562,141.67988858840124
0.051,1.989901926308005,0.005825751164585763,0.6322560141111809,0.283266701551311,583.8138745271041,180.58601451203666,0.060787703253261556,595.1402534363864,18.81332248195801
0.052,1.7112436460188067,0.005798785598953074,0.6656343672188929,0.24037711565174336,584.9452230127822,199.85180926239116,0.09369440278740002,598.5606303968948,23.433497613691102
0.053,1.2417921938488108,0.003906051112291848,0.6030396368409721,0.2643297968247151,592.3804600697125,161.2293041641777,0.019960945610837413,360.9376975285959,11.397492968730944
0.054,1.2913378744909567,0.006836017339751167,0.8311976438072871,0.11820697118243328,563.0895372755003,114.9071567755825,0.02215589548118979,577.8805689438983,89.61541504184694
0.055,1.900371998787025,0.006385053430626809,0.6547074845274223,0.22947970893965342,607.0336156468004,144.1637536504295,0.10878402141616071,452.8714658295838,199.95960183095823
0.056,1.595102344331232,0.007696272414991053,0.8381268855442632,0.11899634015381211,562.219021371464,121.91093691238454,0.04590913324208261,539.5228808476772,38.32624464176247
0.057,1.015844318477062,0.004082067357202629,0.6929831438834064,0.207418986183674,585.3586010829196,141.6429039769799,0.0028320187823838764,301.33311003380487,181.97945234727663
