Strain,Stress
0.43,1173.2462339450553
0.44,1174.3643572245057
0.45,1175.458381937947
0.46,1176.529346021496
0.47,1177.578221332248
0.48,1178.6059191586849
0.49,1179.6132951673349
0.5,1180.6011538535938
0.51,1181.570252555249
0.52,1182.5213050793368
0.53,1183.4549849862433
0.54,1184.3719285692475
0.55,1185.2727375628263
0.56,1186.1579816088545
0.57,1187.0282005062525
0.58,1187.8839062665286
0.59,1188.7255849950045
0.6,1189.553698615182
0.61,1190.3686864517147
0.62,1191.1709666856877
0.63,1191.9609376943845
0.64,1192.7389792863871
0.65,1193.5054538416825
0.66,1194.260707365422
0.67,1195.0050704630714
0.68,1195.7388592438979
0.69,1196.4623761590265
0.7,1197.1759107796813
0.71,1197.8797405206672
0.72,1198.5741313136562
0.73,1199.2593382344116
0.74,1199.9356060876762
0.75,1200.6031699531197
0.76,1201.2622556954177
0.77,1201.9130804412537
0.78,1202.5558530257947
0.79,1203.1907744109506
0.8,1203.8180380775407
0.81,1204.4378303932929
0.82,1205.0503309584471
0.83,1205.65571293058
0.84,1206.254143330133
0.85,1206.845783328007
0.86,1207.4307885164715
0.87,1208.009309164541
0.88,1208.581490458873
0.89,1209.1474727311659
0.9,1209.7073916729537
0.91,1210.2613785386302
0.92,1210.8095603374657
0.93,1211.3520600153277
0.94,1211.888996626764
0.95,1212.4204854980517
0.96,1212.9466383817773
0.97,1213.467563603474
0.98,1213.9833662007984
0.99,1214.4941480556986
1.0,1215.0000080199943
1.01,1215.5010420347603
1.02,1215.997343243874
1.03,1216.4890021020713
1.04,1216.9761064778224
1.05,1217.458741751325
1.06,1217.9369909078928
1.07,1218.4109346269906
1.08,1218.880651367167
1.09,1219.3462174470992
1.1,1219.8077071229716
1.11,1220.2651926623785
1.12,1220.71874441494
1.13,1221.1684308798046
1.14,1221.6143187702048
1.15,1222.0564730752114
1.16,1222.4949571188392
1.17,1222.929832616638
1.18,1223.3611597298905
1.19,1223.7889971175455
1.2,1224.213401985994
1.21,1224.6344301367985
1.22,1225.0521360124696
1.23,1225.4665727403951
1.24,1225.8777921750004
1.25,1226.285844938232
1.26,1226.69078045844
1.27,1227.0926470077363
1.28,1227.4914917378999
1.29,1227.887360714896
1.3,1228.2802989520749
1.31,1228.6703504421048
1.32,1229.0575581877063
1.33,1229.4419642312314
1.34,1229.8236096831463
1.35,1230.2025347494634
1.36,1230.5787787581692
1.37,1230.9523801846906
1.38,1231.3233766764463
1.39,1231.691805076515
1.4,1232.0577014464645
1.41,1232.4211010883746
1.42,1232.782038566087
1.43,1233.1405477257174
1.44,1233.4966617154578
1.45,1233.850413004699
1.46,1234.2018334025013
1.47,1234.5509540754404
1.48,1234.8978055648531
1.49,1235.242417803506
1.5,1235.584820131714
1.51,1235.9250413129246
1.52,1236.2631095487927
1.53,1236.5990524937674
1.54,1236.932897269205
1.55,1237.2646704770293
1.56,1237.5943982129581
1.57,1237.9221060793086
1.58,1238.2478191973996
1.59,1238.5715622195676
1.6,1238.8933593408074
1.61,1239.2132343100527
1.62,1239.531210441113
1.63,1239.8473106232734
1.64,1240.161557331575
1.65,1240.4739726367854
1.66,1240.7845782150684
1.67,1241.0933953573679
1.68,1241.4004449785132
1.69,1241.7057476260568
1.7,1242.0093234888511
1.71,1242.311192405381
1.72,1242.6113738718475
1.73,1242.9098870500288
1.74,1243.2067507749075
1.75,1243.5019835620865
1.76,1243.795603614994
1.77,1244.0876288318857
1.78,1244.378076812652
1.79,1244.666964865434
1.8,1244.9543100130609
1.81,1245.2401289993059
1.82,1245.5244382949743
1.83,1245.8072541038252
1.84,1246.0885923683318
1.85,1246.3684687752907
1.86,1246.6468987612752
1.87,1246.923897517951
1.88,1247.1994799972442
1.89,1247.4736609163779
1.9,1247.7464547627762
1.91,1248.0178757988383
1.92,1248.2879380665922
1.93,1248.556655392226
1.94,1248.824041390505
1.95,1249.0901094690744
1.96,1249.3548728326523
1.97,1249.6183444871224
1.98,1249.8805372435147
1.99,1250.1414637218954
2.0,1250.4011363551554
2.01,1250.6595673927054
2.02,1250.916768904082
2.03,1251.1727527824637
2.04,1251.427530748103
2.05,1251.6811143516718
2.06,1251.933514977531
2.07,1252.1847438469183
2.08,1252.4348120210582
2.09,1252.6837304042042
2.1,1252.9315097466022
2.11,1253.178160647388
2.12,1253.423693557416
2.13,1253.6681187820222
2.14,1253.9114464837207
2.15,1254.153686684842
2.16,1254.394849270107
2.17,1254.6349439891442
2.18,1254.8739804589475
2.19,1255.1119681662808
2.2,1255.3489164700259
2.21,1255.5848346034784
2.22,1255.8197316765934
2.23,1256.0536166781794
2.24,1256.286498478044
2.25,1256.5183858290936
2.26,1256.7492873693836
2.27,1256.9792116241288
2.28,1257.2081670076639
2.29,1257.436161825367
2.3,1257.6632042755382
2.31,1257.889302451239
2.32,1258.1144643420914
2.33,1258.3386978360393
2.34,1258.5620107210743
2.35,1258.78441068692
2.36,1259.0059053266862
2.37,1259.2265021384858
2.38,1259.4462085270181
2.39,1259.6650318051193
2.4,1259.8829791952808
2.41,1260.100057831137
2.42,1260.3162747589222
2.43,1260.5316369388954
2.44,1260.7461512467414
2.45,1260.959824474937
2.46,1261.172663334095
2.47,1261.3846744542786
2.48,1261.5958643862882
2.49,1261.8062396029266
2.5,1262.015806500235
2.51,1262.2245713987065
2.52,1262.4325405444756
2.53,1262.6397201104842
2.54,1262.8461161976238
2.55,1263.0517348358565
2.56,1263.2565819853155
2.57,1263.4606635373807
2.58,1263.6639853157371
2.59,1263.8665530774117
2.6,1264.068372513789
2.61,1264.2694492516105
2.62,1264.469788853951
2.63,1264.6693968211816
2.64,1264.86827859191
2.65,1265.0664395439044
2.66,1265.2638849950024
2.67,1265.4606202040006
2.68,1265.6566503715273
2.69,1265.8519806409022
2.7,1266.0466160989763
2.71,1266.240561776959
2.72,1266.433822651231
2.73,1266.6264036441378
2.74,1266.8183096247747
2.75,1267.009545409753
2.76,1267.200115763955
2.77,1267.3900254012747
2.78,1267.5792789853442
2.79,1267.76788113025
2.8,1267.9558364012332
2.81,1268.1431493153787
2.82,1268.3298243422944
2.83,1268.515865904774
2.84,1268.7012783794532
2.85,1268.88606609745
2.86,1269.070233344997
2.87,1269.253784364061
2.88,1269.436723352953
2.89,1269.6190544669275
2.9,1269.8007818187698
2.91,1269.981909479377
2.92,1270.1624414783248
2.93,1270.3423818044282
2.94,1270.5217344062912
2.95,1270.7005031928459
2.96,1270.8786920338855
2.97,1271.0563047605867
2.98,1271.2333451660234
2.99,1271.4098170056704
3.0,1271.585723997904
