Strain,Stress
1.57,1294.0434432328739
1.58,1294.4858040114407
1.59,1294.92552364403
1.6,1295.362634362819
1.61,1295.7971678082188
1.62,1296.2291550433351
1.63,1296.6586265679916
1.64,1297.0856123323263
1.65,1297.5101417499807
1.66,1297.932243710894
1.67,1298.3519465937184
1.68,1298.769278277865
1.69,1299.1842661551996
1.7,1299.5969371413937
1.71,1300.0073176869491
1.72,1300.4154337879022
1.73,1300.8213109962232
1.74,1301.2249744299172
1.75,1301.6264487828391
1.76,1302.0257583342336
1.77,1302.422926958006
1.78,1302.8179781317344
1.79,1303.2109349454342
1.8,1303.601820110079
1.81,1303.990655965889
1.82,1304.3774644903926
1.83,1304.7622673062708
1.84,1305.1450856889894
1.85,1305.5259405742258
1.86,1305.9048525650999
1.87,1306.2818419392097
1.88,1306.6569286554857
1.89,1307.0301323608614
1.9,1307.4014723967728
1.91,1307.7709678054853
1.92,1308.1386373362625
1.93,1308.5044994513719
1.94,1308.8685723319381
1.95,1309.2308738836498
1.96,1309.5914217423178
1.97,1309.9502332792972
1.98,1310.3073256067719
1.99,1310.662715582907
2.0,1311.016419816875
2.01,1311.3684546737568
2.02,1311.7188362793215
2.03,1312.0675805246938
2.04,1312.4147030708998
2.05,1312.7602193533126
2.06,1313.1041445859832
2.07,1313.4464937658718
2.08,1313.787281676976
2.09,1314.1265228943623
2.1,1314.464231788103
2.11,1314.8004225271184
2.12,1315.1351090829312
2.13,1315.4683052333319
2.14,1315.8000245659616
2.15,1316.1302804818088
2.16,1316.4590861986292
2.17,1316.786454754285
2.18,1317.1123990100102
2.19,1317.4369316535997
2.2,1317.7600652025294
2.21,1318.081812007003
2.22,1318.402184252933
2.23,1318.7211939648566
2.24,1319.038853008782
2.25,1319.3551730949787
2.26,1319.670165780701
2.27,1319.9838424728543
2.28,1320.2962144306057
2.29,1320.6072927679327
2.3,1320.917088456121
2.31,1321.2256123262098
2.32,1321.532875071379
2.33,1321.8388872492922
2.34,1322.1436592843866
2.35,1322.4472014701146
2.36,1322.749523971139
2.37,1323.0506368254826
2.38,1323.3505499466328
2.39,1323.6492731256023
2.4,1323.9468160329461
2.41,1324.2431882207397
2.42,1324.5383991245155
2.43,1324.832458065158
2.44,1325.1253742507631
2.45,1325.4171567784585
2.46,1325.7078146361878
2.47,1325.997356704458
2.48,1326.2857917580532
