Strain,Tmp298.15K,Tmp373.15K_StrRt0.1,Tmp473.15K,Tmp573.15K_StrRt0.1,Tmp673.15K,Tmp298.15K_ref,Tmp373.15K_StrRt0.1_ref,Tmp473.15K_ref,Tmp573.15K_StrRt0.1_ref,Tmp673.15K_ref
0.098,1105.954896874423,1060.3763758813147,1073.4049339963694,1094.7540476950214,1001.8986579303164,1.026332997,0.984035847,0.99612643,1.01593854,0.929768162
0.099,1106.471005594905,1060.9959629075602,1074.2044427357116,1095.4228518482132,1002.4410305629136,1.026298422,0.984118406,0.996369827,1.016050795,0.929806242
0.1,1106.9811757347447,1061.6093283666414,1074.996502627911,1096.0851835922358,1002.977956,1.026264574,0.984201059,0.996612094,1.016163074,0.92984485
0.11,1111.7822943602473,1067.4263129687752,1082.5369219451184,1102.3785892848878,1008.0699502578644,1.025962075,0.985030001,0.998974199,1.017284257,0.930255449
0.12,1116.1074832765728,1072.737204981444,1089.4669598354087,1108.1434777989375,1012.718854836945,1.025714396,0.985856659,1.001231477,1.018395392,0.93069917
0.13,1120.038066161209,1077.6230690831435,1095.8811465003496,1113.4630511094629,1016.9956591953232,1.025509733,0.986674453,1.003391596,1.019489633,0.931163841
0.14,1123.636492491205,1082.1469283396727,1101.8534180108552,1118.4022037095078,1020.955549783248,1.025339414,0.987479408,1.00546195,1.020563028,0.931641125
0.15,1126.9517152967496,1086.3587502400042,1107.4427212461223,1123.012539649127,1024.642278357147,1.025196924,0.988269182,1.007449438,1.021613425,0.932125217
0.16,1130.0227889061432,1090.298821033095,1112.6968282877374,1127.335778570697,1028.0911180326077,1.02507727,0.989042478,1.009360376,1.022639803,0.932612021
0.17,1132.881347979401,1094.000095749856,1117.6550066874804,1131.406134718533,1031.3309218020004,1.024976561,0.989798674,1.0112005,1.023641859,0.933098619
0.18,1135.5533596979617,1097.489875778032,1122.349934868094,1135.2520197832132,1034.3855919014895,1.024891721,0.99053759,1.012974993,1.024619748,0.933582928
0.19,1138.060389955657,1100.7910324477707,1126.8091055000682,1138.897288024577,1037.2751514609265,1.02482029,0.991259334,1.014688538,1.025573914,0.934063456
0.2,1140.4205363370968,1103.9229165193392,1131.055873,1142.3621639299113,1040.0165410108748,1.024760269,0.9919642,1.01634536,1.026504978,0.934539142
