PEEQ,normalized stress (temperature calibration),Stress 298,stress (temperature calibration),stress (strain rate calibration),beta,True stress
0.049,0.9997455354141849,1036.769283,1037.608112,1074.671046,,537.1987901
0.05,0.9995922373609183,1038.031382,1038.79184,1076.259287,,537.9102143
0.051,0.9995466142223433,1039.263027,1040.051817,1077.813115,,538.6622249
0.052,0.9996023742838299,1040.465533,1041.383176,1079.33393,,539.4523795
0.053,0.9997533112730095,1041.640137,1042.78106,1080.823047,,540.2782101
0.054,0.9999933467990219,1042.787998,1044.240672,1082.281706,,541.1372527
0.055,1.0003165650137764,1043.910207,1045.757315,1083.711079,,542.027072
0.056,1.0007172401306588,1045.007793,1047.326414,1085.11227,,542.945278
0.057,1.0011898574980709,1046.081726,1048.943547,1086.486322,,543.8895429
0.058,1.001729128953114,1047.132919,1050.604458,1087.834225,,544.8576153
0.059,1.0023300031799296,1048.162237,1052.305074,1089.156913,,545.847326
0.06,1.0029876717741404,1049.170497,1054.04151,1090.455275,,546.8565987
0.061,1.003697571677008,1050.158474,1055.064524,1091.730151,,547.8834507
0.062,1.004455384591691,1051.1269,1055.810075,1092.982342,,548.9259993
0.063,1.0052570339389506,1052.076471,1057.607273,1094.212608,,549.9824604
0.064,1.0060986798483067,1053.007846,1059.429804,1095.42167,,551.051148
0.065,1.006976712621817,1053.921653,1061.274561,1096.610219,,552.1304767
0.066,1.0078877450480332,1054.818487,1063.138626,1097.778909,,553.2189546
0.067,1.0088286038886838,1055.698915,1065.019263,1098.928365,,554.3151841
0.068,1.0097963208092755,1056.563478,1066.913913,1100.059185,,555.4178588
0.069,1.0107881229780835,1057.41269,1068.820188,1101.171938,,556.5257581
0.07,1.0118014235165025,1058.247042,1070.735864,1102.267168,,557.6377448
0.071,1.0128338119466616,1059.067001,1072.658868,1103.345395,,558.7527612
0.072,1.0138830447515148,1059.873016,1074.587281,1104.407118,,559.8698257
0.073,1.0149470361346007,1060.665512,1076.519318,1105.452814,,560.9880286
0.074,1.0160238490440012,1061.444899,1078.453332,1106.482938,,562.1065268
0.075,1.0171116865070808,1062.211567,1080.387798,1107.497928,,563.2245427
0.076,1.0182088833059058,1062.965891,1082.321313,1108.498205,,564.3413597
0.077,1.0193138980115386,1063.708228,1084.25258,1109.484171,,565.4563176
0.078,1.020425305385827,1064.438922,1086.180412,1110.456213,,566.5688101
0.079,1.0215417891514698,1065.158302,1088.103718,1111.414701,,567.6782811
0.08,1.0226621351255392,1065.866684,1090.021499,1112.359994,,568.7842232
0.081,1.023785224707951,1066.564372,1091.932845,1113.292433,,569.8861718
0.082,1.0249100287134014,1067.251656,1093.836925,1114.212351,,570.9837063
0.083,1.0260356015334517,1067.928817,1095.732986,1115.120063,,572.0764423
0.084,1.027161075614901,1068.596124,1097.620344,1116.015878,,573.1640348
0.085,1.0282856562396598,1069.253835,1099.498381,1116.900088,,574.24617
0.086,1.0294086165920768,1069.902199,1101.366543,1117.772979,,575.322568
0.087,1.030529293099436,1070.541457,1103.224331,1118.634824,,576.3929772
0.088,1.0316470810326102,1071.171839,1105.071301,1119.485888,,577.4571743
0.089,1.0327614303538346,1071.793568,1106.907058,1120.326427,,578.5149616
0.09,1.0338718418000297,1072.406858,1108.731253,1121.156685,,579.5661634
0.091,1.0349778631903988,1073.011916,1110.54358,1121.976902,,580.6106283
0.092,1.0360790859477946,1073.608942,1112.343771,1122.787307,,581.6482234
0.093,1.0371751418243798,1074.198129,1114.131597,1123.588121,,582.6788344
0.094,1.0382656998222164,1074.779661,1115.906857,1124.379561,,583.7023659
0.095,1.039350463300234,1075.35372,1117.669387,1125.161833,,584.7187362
0.096,1.0404291672594597,1075.920479,1119.419048,1125.935139,,585.7278795
0.097,1.041501576,1076.480105,1121.155726,1126.699673,,586.7297424
0.098,1.0425674797334081,1077.03276,1122.87933,1127.455624,,587.7242842
0.099,1.0436266943694195,1077.578603,1124.589795,1128.203174,,588.7114745
0.1,1.044679057426789,1078.117784,1126.28707,1128.942499,,589.6912929
0.11,1.0548026855149601,1078.65045,1137.763391,1129.673773,,595.7914648
0.12,1.0641698216673439,1083.648056,1153.185559,1136.577826,,604.7559112
0.13,1.0727866808259248,1088.126431,1167.327542,1142.831945,,613.0074445
