PEEQ,C1,C2,C3,C4,C5,C6
0.41,2.135564737985113,0.004322278228623316,0.00018183437654395484,0.9405496908153089,569.4536513737518,310.74971808966984
0.42,2.1448199421535854,0.004382278610855281,0.00017445494573264497,0.9448579392820534,568.8447223934861,311.78977105321724
0.43,2.1540378032803087,0.004442476561666404,0.0001661781022699243,0.94902647212759,568.2457524934932,312.80388846453695
0.44,2.1632271267423566,0.004502827060963657,0.0001569580896593004,0.9530617289433476,567.6569717876312,313.79264869220896
0.45,2.172396001847632,0.004563283778327061,0.00014674841085400288,0.9569698265638721,567.0785557395434,314.75662555560564
0.46,2.18155178404737,0.0046237992065110865,0.00013550193046844025,0.9607565747771691,566.5106289763489,315.69638848941077
0.47,2.1907010832689333,0.0046843248046147395,0.0001231709887878434,0.9644274912568054,565.9532691546682,316.6125026950078
0.48,2.199849758179838,0.0047448111503459855,0.00010970752823000933,0.9679878157536103,565.4065108157813,317.50552927796355
0.49,2.2090029161470985,0.004805208100724955,9.506323292646679e-05,0.971442523582942,564.8703491794892,318.3760253708235
0.5,2.218164918613838,0.004865464960492264,7.91896821026128e-05,0.9747963384417064,564.3447438371402,319.2245442404278
0.51,2.2273393915779947,0.004925530657414277,6.20385179474557e-05,0.9780537445876125,563.8296223135202,320.05163537895567
0.52,2.2365292408260364,0.004985353923607316,4.356162867336696e-05,0.9812189984115369,563.324883475072,320.8578445779065
0.53,2.245736671547985,0.005044883481938191,2.3711347474617266e-05,0.9842961394323348,562.8304007684283,321.64371398423157
0.54,2.2549632119388328,0.005104068236499845,2.4406681002548444e-06,0.9872890007419699,562.3460252786356,322.40978213784217
0.55,2.2642097403755077,0.005162857466109078,-2.0296522237936866e-05,0.9902012189274481,561.8715886009077,323.1565839897329
0.56,2.2734765157478813,0.005221201019728738,-4.454519189830714e-05,0.9930362434947164,561.4069055233724,323.8846508999841
0.57,2.282763210516701,0.005279049512680111,-7.034889505749733e-05,0.9957973458184252,560.9517765212091,324.59451061492723
0.58,2.2920689460705463,0.005336354522483046,-9.774948244891833e-05,0.9984876276402574,560.5059900649121,325.2866872227955
0.59,2.301392329957743,0.005393068783141865,-0.00012678679186938283,1.0011100291373896,560.0693247472332,325.96170108721407
0.6,2.310731494577204,0.005449146376684897,-0.0001574983177367352,1.0036673365815552,559.6415512347677,326.6200687579319
0.61,2.320084136924152,0.005504542920764682,-0.00018991885898893973,1.0061621896081554,559.2224340511827,327.2623028582445
0.62,2.3294475590021384,0.0055592157511345835,-0.0002240801446250851,1.0085970881138795,558.8117331998347,327.88891194861395
0.63,2.3388187085314045,0.005613124097836133,-0.0002600104362016661,1.0109743988003492,558.4092056340173,328.5004003660563
0.64,2.3481942196048915,0.00566622925395943,-0.0002977341066131168,1.013296361380426,558.0146065833783,329.0972680389316
0.65,2.3575704529667747,0.00571849473587667,-0.0003372711945043576,1.0155650944629557,557.6276907451704,329.68001027685233
