PEEQ,C1,C2,C3,C4,C5,C6,C7,R²
0.7,0.9107880481643055,0.005893209928602557,0.8491288841937469,0.1872237119253718,534.4514259889745,141.7101706472523,0.8237644940121289,0.999999999999997
0.71,0.9274644831501034,0.005966635650100504,0.8492037906342399,0.1884759927813696,534.1281247448525,145.35476350709985,0.8610054680852716,0.9999999999988618
0.72,0.8644345671542769,0.0057825149275171255,0.8536238536103563,0.18373477808444197,533.740228705212,153.2197378657557,0.9946822065303538,1.0
0.73,0.8751321355598051,0.005838180752693034,0.8539565208370092,0.18460019044715453,533.4320728662941,140.75271571689026,0.8361637201981229,0.9999999999999747
0.74,0.8572870972627875,0.005796610733264244,0.8557646766209183,0.18334010743133655,533.109354127779,150.73076746673803,0.97115357036554,1.0
0.75,0.8610333842277594,0.0058283459901093265,0.856426522341339,0.18369517163850885,532.8083927610597,150.16624625916728,0.9639603932167556,1.0
0.76,0.8419183047007927,0.005779682934260942,0.8581981851019878,0.18239383049122684,532.5045989019083,147.27660323582492,0.9394782680448037,0.9999999999999997
0.77,0.8564899772145563,0.0058492842079212745,0.8583018052292093,0.1835373033795221,532.2181372420113,151.50577078402293,0.9880575444615827,0.9999999999971511
0.78,0.8537649164186728,0.005857550183154189,0.8592252067761242,0.18343992853673008,531.9329114063545,151.86020725432738,0.9962685052596614,0.99999999999999
0.79,0.8144719818830287,0.0057319274260722265,0.8617951984054941,0.18077964321962364,531.6550138709315,149.35733023060058,0.9872873752300123,0.9999999999942951
0.8,0.8506836704033277,0.0058815347374344415,0.8609068042102572,0.18342835932985793,531.3790943352107,158.12782161339064,1.0864165345530283,1.0
0.81,0.817721624170925,0.005777569955567088,0.8630928751389689,0.18128061777794913,531.1202900451988,141.49212457532008,0.8874978135657824,0.9999999999916139
0.82,0.8599621976295224,0.005948704148417195,0.8619878981832392,0.18426045262541313,530.8404575568786,130.462815006027,0.738780127701483,0.9999999999999531
0.83,0.8300443761684526,0.005856370703554684,0.8639696551970136,0.18238609505933212,530.5978091775532,151.07610665203802,1.0084577676116977,0.9999999999999949
0.84,0.8071788079384471,0.00578581393787861,0.8655914242756733,0.18099312181816327,530.3597768507066,151.6931182197322,1.0311887085347546,0.9999999999928572
0.85,0.8192128956675119,0.005847575613253554,0.8657676793310785,0.18193950712575244,530.1050056015278,141.9263994736545,0.8982439697795356,0.9999999999999929
0.86,0.8291259755631917,0.005900741019180923,0.8660359160453216,0.18272254471081611,529.8527168459449,148.05046761596577,0.9739453719650557,1.0
0.87,0.8366177570906307,0.005944397943710856,0.8664003024090705,0.18333376103643664,529.6047228340208,143.02482711358914,0.9069651267131392,0.999999999999991
0.88,0.8235458809099929,0.0059104205314600665,0.8675414003934421,0.18264264219830745,529.3823949684978,148.58567181393718,0.9870684325710907,1.0
0.89,0.7944778033673761,0.005812019977986356,0.8692351179036613,0.18094596199753318,529.1852431663218,148.52069817549082,1.0027843033126396,0.9999999999999434
0.9,0.8863595785142353,0.006171424607528934,0.866488358351308,0.1867146650789488,528.8375105147159,143.3011820812836,0.8934788681342063,1.0
0.91,0.8350995481090194,0.005999263662410188,0.8689821498420761,0.18377431477058953,528.6814072615924,150.2664445999747,1.0085107462671645,0.9999999999998761
0.92,0.7650222415555812,0.005734405610131899,0.872003699577014,0.17958699636564637,528.5617531339217,147.89815387243095,1.01408546839122,0.9999999999999973
0.93,0.7781444477144356,0.005802965943344968,0.8721206920155804,0.18059135236159105,528.3290346710967,149.18018136835224,1.0258986750458465,0.9999999999977387
0.94,0.7420606465019818,0.005581734361832232,0.8695396633561632,0.18097434864645845,529.0016826677851,100.00741382956174,0.45920645546547456,0.9999795286016109
0.95,0.8581381954915522,0.006143756248405355,0.8705815164865937,0.1856506063832323,527.7732382519455,147.80391782834477,0.9713900616212107,0.9999999999986675
0.96,0.7691337091613879,0.005806309349965271,0.8740364776793424,0.18057098195658008,527.7230246495942,145.0441681657089,0.9778784054148822,0.9999999999999999
0.97,0.7798983079922377,0.0058646958311371735,0.8742266087003622,0.1813973983403318,527.5024127783871,146.5072569422182,0.9934886661378741,0.999999999999949
0.98,0.5846707196102264,0.004907239146050235,0.8794700445189655,0.1688584095784969,527.715716244467,100.01027968970469,0.5180591995836966,0.9999997280319651
0.99,0.7979549787551663,0.005965438857392516,0.8747188891383949,0.18279338703999698,527.0716808682387,150.29165717136078,1.0389112169122334,1.0
1.0,0.7697181183232861,0.0058613375012210416,0.8760743294613862,0.18132518173590853,526.9358067002867,100.14407159517026,0.46818144720394583,0.9999999999991941
1.01,0.7859928447367619,0.005942473084296199,0.8760983039905903,0.1824419405854482,526.7114539861393,148.13714180579564,1.0176050382370767,0.9999999999999972
1.02,0.8049011724248394,0.006032801197278104,0.876050171070479,0.18367258906594489,526.4816820150655,147.24151872913637,0.9977290788922869,0.9999999999999997
1.03,0.8090882275797995,0.0060625544829613675,0.8764308142299062,0.1840631900234783,526.2855561455897,150.67224954246183,1.0440953421351409,0.9999999999999944
1.04,0.750018036057509,0.005826450379128385,0.8785580363010661,0.18091675808928978,526.2386366282067,140.25964577548513,0.9312517942695543,0.999999999999996
1.05,0.7417231859859844,0.005801833161822687,0.8792396685760523,0.18062841527472062,526.0801138545239,137.80982930407237,0.9035428114211534,0.9999999999999992
1.06,0.7623498325624347,0.005904779868266104,0.879158037540962,0.18198531110067892,525.8535292310393,162.3496355269073,1.2428807333292622,0.9999999999930683
1.07,0.7808225262693109,0.005995910353419751,0.8791294869573097,0.1831823623560789,525.6333446050338,147.53973332776826,1.0188205233781131,1.0
1.08,0.7873985816724596,0.00603569880601854,0.8794179440390938,0.18370756775028885,525.4433528187814,156.90126205280617,1.1500892393163926,0.9999999999996328
1.09,0.7144408988690848,0.005723987712345667,0.8816814040202023,0.17984517995042837,525.463189190921,149.8173547693311,1.0861184048668366,0.9999999999999991
1.1,0.7750009222609893,0.006007093828018492,0.8806367283872191,0.18338826212646175,525.1359673926573,168.70050138122252,1.3398234344376636,0.9999999999999927
1.11,0.7473076880038714,0.00589767920182013,0.8817523218464042,0.182074142981336,525.0445771024838,149.4226573112696,1.0654449685240523,0.999999999999465
1.12,0.7206019076536269,0.005787043643619582,0.8827962483076861,0.18079259663691316,524.9561788086684,147.4292321504556,1.0511963587132531,0.9999999999999737
1.13,0.7765184183741943,0.006048570574701225,0.8819068805530023,0.18398784058879958,524.6391322609092,148.74353536080065,1.0441183486643013,0.9999999999999992
1.14,0.8050705269058205,0.006180032223992604,0.8816473386334677,0.18561111504023273,524.3991564087738,151.27936042934394,1.0681803800393028,0.9999999999934671
1.15,0.7321649097893782,0.005874208025627193,0.883763137344347,0.18200595280375872,524.4491841111366,150.32908724779452,1.089792606311443,1.0
1.16,0.8330508964439834,0.00631638442054472,0.8818445595224956,0.18728600517754979,524.0021330139393,135.93978985645145,0.8548815681112327,0.9999999999961768
1.17,0.7100859254642278,0.005792333962589206,0.8850193921238196,0.1812031526707977,524.210333887812,148.14110663443577,1.0707954487051201,0.9999999999033939
1.18,0.661848281619628,0.005562339271676011,0.8863405236888143,0.178704674712672,524.2097690187286,102.22703085154028,0.5223291951550046,0.9999999999999832
1.19,0.7191613745342008,0.005857108970032466,0.885612900222743,0.1820754422867238,523.8826340135638,145.65005681635148,1.0324114774989477,0.9999999999999155
1.2,0.7132898423862952,0.005839868472220672,0.886111801007052,0.18195659742100662,523.754294164812,142.44938889029623,0.9909199746966305,0.9999999999999987
