strain,RD,DD,TD,biaxial
0.045,1012.897539836238,1011.1345164976464,1042.7613956927664,1017.3056583214025
0.046,1014.2377666183164,1012.3591256103332,1044.1772212098879,1018.7053530556325
0.047,1015.5491818715818,1013.5589770740147,1045.568280488236,1020.2116442796037
0.048,1016.8330041492007,1014.735079998702,1046.935499558828,1021.6831025098702
0.049,1018.0903752840824,1015.8883814537486,1048.27975095604,1023.1223206296568
0.05,1019.3223668699502,1017.0197716537031,1049.6018580111725,1024.530678044235
0.051,1020.529986044683,1018.1300885834552,1050.9025986888348,1025.9083586366194
0.052,1021.7141806675936,1019.2201221375326,1052.1827090275856,1027.2573351743322
0.053,1022.8758439688244,1020.2906178372589,1053.4428862370717,1028.5774188333426
0.054,1024.015818736807,1021.342280179218,1054.6837914952464,1029.871226822774
0.055,1025.1349011006532,1022.3757756610621,1055.9060524832262,1031.1392397854538
0.056,1026.233843954804,1023.3917355225843,1057.1102656883602,1032.382786888615
0.057,1027.3133600682486,1024.3907582361853,1058.2969985033126,1033.6010785391798
0.058,1028.3741249120212,1025.373411773302,1059.4667911421584,1034.7971651899961
0.059,1029.4167792389053,1026.3402356744555,1060.6201583964744,1035.9700106116418
0.06,1030.4419314384577,1027.291742940577,1061.7575912447712,1037.122443359495
0.061,1031.450159693777,1028.2284217671945,1062.8795583333215,1038.2532139554814
0.062,1032.4420139588185,1029.1507371360444,1063.9865073397025,1039.3629620087513
0.063,1033.418017774762,1030.0591322788773,1065.07886623104,1040.454228263376
0.064,1034.3786699409247,1030.954030025621,1066.1570444266608,1041.526486908678
0.065,1035.3244460545247,1031.8358340482807,1067.2214338743827,1042.5811173430523
0.066,1036.2557999318233,1032.7049300104884,1068.2724100484525,1043.6174403236378
0.067,1037.1731649212306,1033.561686630972,1069.310332875716,1044.636696452461
0.068,1038.0769551181584,1034.4064566686573,1070.3355475962405,1045.6390607493063
0.069,1038.967566490639,1035.239577836575,1071.3483855642585,1046.6256504422884
0.07,1039.845377923979,1036.0613736511932,1072.349164994897,1047.5975188493192
0.071,1040.71075219044,1036.8721542216824,1073.3381916601381,1048.483851131712
0.072,1041.564036851225,1037.6722169850727,1074.315759539064,1049.426565796838
0.073,1042.405565095367,1038.4618473907026,1075.2821514249395,1050.3553696007914
0.074,1043.235656522622,1039.241319539989,1076.2376394944913,1051.2701263611216
0.075,1044.05461787252,1040.0108967827005,1077.1824858398238,1052.1716564789037
0.076,1044.8627437056275,1040.770832274926,1078.116942967641,1053.0607403455986
0.077,1045.6603170403396,1041.5213695012571,1079.0412542677518,1053.9361209320764
0.078,1046.4476099482854,1042.2627427635532,1079.955654452744,1054.8005046132246
0.079,1047.2248841115506,1042.9951776388552,1080.8603699709686,1055.6515655915045
0.08,1047.9923913455568,1043.71889140969,1081.7556193957303,1056.4919443880722
0.081,1048.7503740888787,1044.4340934675224,1082.6416137910535,1057.3212529656882
0.082,1049.4990658633178,1045.140985692175,1083.518557056569,1058.1390767125772
0.083,1050.2386917054537,1045.8397628080138,1084.3866462519982,1058.9469721356195
0.084,1050.9694685736322,1046.5306127204303,1085.2460719045964,1059.743469933484
0.085,1051.6916057295166,1047.213716831407,1086.0970182980068,1060.530079820339
0.086,1052.4053050980438,1047.8892503376487,1086.9396637458801,1061.3072877173229
0.087,1053.1107616067166,1048.5573825119118,1087.7741808506955,1062.0745572017743
0.088,1053.8081635048147,1049.218276967838,1088.6007367478687,1062.8333346561437
0.089,1054.4976926655509,1049.8720919110474,1089.4194933378315,1063.5820435696212
0.09,1055.17952487024,1050.5189803753387,1090.230607504696,1064.270151754169
0.091,1055.8538300779765,1051.1590904472528,1091.0342313247343,1065.002583774822
0.092,1056.520772679476,1051.79256547748,1091.830512262938,1065.72610047399
0.093,1057.1805117378826,1052.4195442817045,1092.6195933602269,1066.4410610739508
0.094,1057.8332012167666,1053.0401613309607,1093.4016134112476,1067.147811725961
0.095,1058.4789901953773,1053.6545469313967,1094.1767071325537,1067.8476885184857
0.096,1059.1180230734751,1054.2628273956282,1094.9450053233272,1068.5390036524454
0.097,1059.750439764699,1054.8651252045122,1095.7066350173209,1069.2230668911432
0.098,1060.3763758813147,1055.4615591620466,1096.4617196287604,1069.9001751046053
0.099,1060.9959629075602,1056.052244540524,1097.2103790891326,1070.475984897871
0.1,1061.6093283666414,1056.6372932208549,1097.952729979896,1072.954373409633
0.11,1067.4263129687752,1062.2001971000732,1105.052754134632,1079.0657209627893
0.12,1072.737204981444,1067.3016957777986,1111.6294515978852,1084.644737576053
0.13,1077.6230690831435,1072.0136476310836,1117.7593466630367,1089.7797228473983
0.14,1082.1469283396727,1076.392237643349,1123.5029943376699,1094.53737707617
0.15,1086.3587502400042,1080.4822412151548,1128.909177400312,1098.9684654584976
0.16,1090.298821033095,1084.3199274346614,1134.0178017943483,1103.1161729439468
0.17,1094.000095749856,1087.9350922604315,1138.8619483096484,1107.0147995302157
0.18,1097.489875778032,1091.3525172713585,1143.4693604469142,1110.6919422964645
0.19,1100.7910324477707,1094.5930385943343,1147.8635454213274,1114.172773782963
0.2,1103.9229165193392,1097.6743448462162,1152.064603509524,1117.4755328747149
0.21,1106.9020456226426,1100.6115826633265,1156.0898627040551,1120.3934084411958
0.22,1109.7426316869096,1103.4178230109335,1159.9543712779744,1123.4002699262817
0.23,1112.4569910719292,1106.1044250458995,1163.6712849477606,1126.2742807754892
0.24,1115.0558673765045,1108.6813234409296,1167.252174696792,1129.0255364085235
0.25,1117.5486883273695,1111.157257736897,1170.7072740803908,1131.6639660471808
0.26,1119.943772269704,1113.5399572331241,1174.0456798066957,1134.1996783335426
0.27,1122.248495677777,1115.8362913866183,1177.2755158437665,1136.6391489095763
0.28,1124.469430195284,1118.0523931737007,1180.404068764568,1138.9905723844145
0.29,1126.6124556245632,1120.1937610529017,1183.4379001996565,1141.2589170542835
