Strain,298.15,373.15,473.15,573.15,673.15,77.15,233.15,sref373.15,sref473.15,sref573.15,sref673.15,sref77.15,sref233.15
0.034,1010.78,990.5696633,1027.677614,1046.244521,909.7868011,1432.564091,1062.57273,0.9800052071667426,1.0167174004234354,1.0350862907853342,0.9000838966936426,1.417285750608441,1.0512403589307269
0.035,1012.782,992.4018853,1029.764833,1048.764402,911.6423889,1435.506214,1065.099659,0.9798770962556601,1.0167684980578249,1.0355282795310343,0.9001368398135038,1.417389145936638,1.051657374439909
0.036,1014.711,994.150853,1031.755504,1051.209458,913.4473272,1438.387399,1067.562769,0.9797379283362455,1.0167973974855895,1.0359693134301293,0.900204419977708,1.4175340555094011,1.0520855386410515
0.037,1016.571,995.8223519,1033.655553,1053.5836,915.2043492,1441.210261,1069.965381,0.9795895730844181,1.0168060597833304,1.0364092621174517,0.9002857146229826,1.4177172681494947,1.0525240057015202
0.038,1018.366,997.4217125,1035.470504,1055.890462,916.9159716,1443.977247,1072.310558,0.9794334379780943,1.0167960281470512,1.0368477168326515,0.9003795998688094,1.417935444624035,1.0529716801228635
0.039,1020.101,998.9538488,1037.205509,1058.133426,918.5845171,1446.690651,1074.601133,0.9792695515444059,1.0167674661626642,1.0372830004087832,0.9004838904186938,1.418183739649309,1.0534262126985463
0.040,1021.779,1000.423294,1038.865379,1060.315645,920.2121334,1449.352624,1076.839728,0.9790994862881308,1.016722186500212,1.0377152446859839,0.9005980093542733,1.4184599840082837,1.0538871204047058
0.041,1023.403,1001.83423,1040.454603,1062.440063,921.800811,1451.965191,1079.028782,0.9789244608428938,1.0166616699384308,1.0381443703018263,0.9007212320073323,1.4187619061112777,1.0543537413902442
0.042,1024.977,1003.190522,1041.977376,1064.509432,923.3523978,1454.530255,1081.170558,0.9787444225577744,1.0165861048589382,1.038569091794255,0.9008518218457584,1.419085750216834,1.0548242136165007
0.043,1026.502,1004.495737,1043.437619,1066.526331,924.8686126,1457.04961,1083.267168,0.9785618897966103,1.0164983789607815,1.0389909917369864,0.900990560758771,1.4194318277022355,1.0552996175360594
0.044,1027.983,1005.753175,1044.838996,1068.493174,926.3510569,1459.524949,1085.320583,0.978375299007863,1.016397154427651,1.0394074357260772,0.9011346071870839,1.419794830264703,1.0557767813280958
0.045,1029.42,1006.965887,1046.184935,1070.412229,927.8012251,1461.957871,1087.332644,0.9781876075848535,1.0162858065706901,1.0398207038915117,0.9012854083853042,1.420176284704008,1.0562575469681956
0.046,1030.756,1008.136694,1047.478643,1072.285626,929.2205144,1464.349887,1089.305076,0.9780556154899899,1.0162236678709606,1.0402904528326782,0.9014941600145912,1.4206561853629762,1.0568020714892759
0.047,1031.907,1009.268211,1048.723119,1074.115369,930.6102323,1466.702429,1091.239496,0.9780612119115386,1.0162961575025657,1.0409032684146926,0.9018353711138698,1.421351370811517,1.0574979101798903
0.048,1033.02,1010.362857,1049.921174,1075.903343,931.9716051,1469.016851,1093.137423,0.9780670819538828,1.0163609358966914,1.0415125970455557,0.9021815696695127,1.4220604160616446,1.0581957977580299
0.049,1034.096,1011.422874,1051.075437,1077.651327,933.3057835,1471.294439,1095.000284,0.9780744476334885,1.0164195945057326,1.042119229742693,0.902533017727561,1.4227832222540266,1.0588961605112097
0.050,1035.137,1012.450342,1052.188372,1079.360998,934.6138494,1473.536415,1096.829422,0.9780834247061018,1.0164725751277368,1.0427228453818191,0.9028890372965125,1.4235182541054954,1.0595983159717024
0.051,1036.146,1013.447188,1053.262288,1081.033938,935.8968212,1475.743938,1098.626106,0.9780930370816469,1.0165191855201872,1.0433220202558326,0.9032480183294632,1.4242625440816257,1.0603004846807302
0.052,1037.124,1014.4152,1054.299349,1082.671642,937.1556583,1477.918112,1100.391531,0.9781040647020028,1.0165605549577483,1.043917257724245,0.9036100392045696,1.425015824530143,1.0610028607958162
0.053,1038.074,1015.35604,1055.301582,1084.275526,938.3912661,1480.059986,1102.126825,0.978115278872219,1.016595716683011,1.0445069677113576,0.9039733834967449,1.4257750275991883,1.061703524989548
0.054,1038.996,1016.271251,1056.270891,1085.846928,939.6044995,1482.170561,1103.833058,0.9781281650747452,1.0166265231049973,1.0450925008373466,0.9043388997647728,1.4265411618524035,1.0624035684449216
0.055,1039.892,1017.162266,1057.209058,1087.387115,940.7961669,1484.250791,1105.511242,0.9781422166917334,1.0166527466313808,1.0456731227858278,0.9047056491443342,1.4273124430229291,1.0631019778977047
0.056,1040.763,1018.030417,1058.117758,1088.897289,941.9670335,1486.301585,1107.162334,0.9781577717501488,1.0166750336051533,1.0462490394066661,0.9050735215414076,1.4280884168633974,1.0637987072945523
0.057,1041.612,1018.876944,1058.998561,1090.378587,943.1178243,1488.323813,1108.787245,0.9781732007695763,1.0166919745548246,1.046818380548611,0.9054406288522021,1.4288658473596694,1.0644916197202028
0.058,1042.438,1019.703002,1059.852942,1091.832092,944.2492268,1490.318306,1110.386837,0.9781905513805136,1.016705973880461,1.0473832419769808,0.9058085246316806,1.4296469487873618,1.0651826170956928
0.059,1043.244,1020.509666,1060.682285,1093.258829,945.3618936,1492.285856,1111.961933,0.9782080376211127,1.0167154424084874,1.0479416406900017,0.9061752510438594,1.430428409844677,1.065869473488465
