Strain,Stress
1.11,1188.2347832124115
1.12,1188.4877773579417
1.13,1188.7380663728945
1.14,1188.9857027395183
1.15,1189.2307374727811
1.16,1189.4732201737302
1.17,1189.71319908047
1.18,1189.9507211168843
1.19,1190.1858319392215
1.2,1190.418575980651
1.21,1190.6489964938987
1.22,1190.8771355920567
1.23,1191.1030342876625
1.24,1191.3267325301297
1.25,1191.548269241619
1.26,1191.7676823514207
1.27,1191.9850088289243
1.28,1192.2002847152435
1.29,1192.4135451535624
1.3,1192.6248244182614
1.31,1192.8341559428848
1.32,1193.0415723469996
1.33,1193.2471054620032
1.34,1193.4507863559238
1.35,1193.6526453572626
1.36,1193.8527120779215
1.37,1194.051015435256
1.38,1194.2475836732956
1.39,1194.4424443831667
1.4,1194.6356245227541
1.41,1194.8271504356353
1.42,1195.0170478693176
1.43,1195.2053419928118
1.44,1195.3920574135677
1.45,1195.5772181937994
1.46,1195.760847866229
1.47,1195.9429694492703
1.48,1196.1236054616768
1.49,1196.302777936678
1.5,1196.4805084356226
1.51,1196.6568180611512
1.52,1196.8317274699164
1.53,1197.005256884869
1.54,1197.177426107129
1.55,1197.3482545274549
1.56,1197.5177611373317
1.57,1197.6859645396896
1.58,1197.8528829592674
1.59,1198.018534252638
1.6,1198.182935917906
1.61,1198.346105104091
1.62,1198.508058620209
1.63,1198.6688129440627
1.64,1198.8283842307526
1.65,1198.9867883209192
1.66,1199.1440407487262
1.67,1199.3001567495928
1.68,1199.4551512676885
1.69,1199.609038963195
1.7,1199.7618342193448
1.71,1199.9135511492461
1.72,1200.0642036025015
1.73,1200.2138051716245
1.74,1200.362369198266
1.75,1200.5099087792544
1.76,1200.6564367724573
1.77,1200.8019658024687
1.78,1200.9465082661318
1.79,1201.0900763378997
1.8,1201.232681975041
1.81,1201.3743369226945
1.82,1201.515052718781
1.83,1201.6548406987736
1.84,1201.7937120003328
1.85,1201.9316775678121
1.86,1202.0687481566363
1.87,1202.2049343375572
1.88,1202.3402465007928
1.89,1202.474694860051
1.9,1202.6082894564436
1.91,1202.7410401622928
1.92,1202.8729566848353
1.93,1203.0040485698248
1.94,1203.1343252050387
1.95,1203.263795823692
1.96,1203.3924695077574
1.97,1203.5203551912011
1.98,1203.6474616631306
1.99,1203.7737975708608
2.0,1203.899371422902
2.01,1204.0241915918668
