Strain,Stress
0.62,1182.374660045917
0.63,1183.0247679385325
0.64,1183.6637301980322
0.65,1184.2919076415471
0.66,1184.9096440782082
0.67,1185.517267354433
0.68,1186.1150903204457
0.69,1186.7034117250284
0.7,1187.2825170447832
0.71,1187.852679253565
0.72,1188.4141595371736
0.73,1188.967207957903
0.74,1189.5120640730977
0.75,1190.0489575114761
0.76,1190.5781085106237
0.77,1191.0997284187451
0.78,1191.6140201634848
0.79,1192.1211786903657
0.8,1192.621391373175
0.81,1193.1148383984162
0.82,1193.6016931257655
0.83,1194.0821224263027
0.84,1194.5562870001354
0.85,1195.0243416749015
0.86,1195.4864356865132
0.87,1195.942712943389
0.88,1196.3933122753238
0.89,1196.8383676680537
0.9,1197.278008484489
0.91,1197.7123596735096
0.92,1198.1415419671546
0.93,1198.5656720669633
0.94,1198.9848628201814
0.95,1199.3992233864792
0.96,1199.8088593957889
0.97,1200.213873097822
0.98,1200.6143635037843
0.99,1201.010426520773
1.0,1201.4021550792997
1.01,1201.7896392543612
1.02,1202.172966380439
1.03,1202.5522211607936
1.04,1202.9274857713851
1.05,1203.2988399597352
1.06,1203.6663611390209
1.07,1204.0301244776745
1.08,1204.390202984743
1.09,1204.7466675912447
1.1,1205.099587227746
1.11,1205.4490288983668
1.12,1205.7950577514086
1.13,1206.1377371467893
1.14,1206.4771287204546
1.15,1206.8132924459276
1.16,1207.1462866931477
1.17,1207.4761682847397
1.18,1207.8029925498463
1.19,1208.1268133756494
1.2,1208.4476832566975
1.21,1208.7656533421527
1.22,1209.0807734810555
1.23,1209.3930922657132
1.24,1209.7026570732985
1.25,1210.0095141057495
1.26,1210.3137084280518
1.27,1210.61528400498
1.28,1210.914283736375
1.29,1211.210749491023
1.3,1211.5047221392042
1.31,1211.796241583971
1.32,1212.0853467912195
1.33,1212.372075818602
1.34,1212.6564658433413
1.35,1212.9385531889895
1.36,1213.218373351186
1.37,1213.4959610224514
1.38,1213.7713501160665
1.39,1214.0445737890736
1.4,1214.3156644644382
1.41,1214.5846538524083
1.42,1214.851572971107
1.43,1215.1164521663886
1.44,1215.3793211309899
1.45,1215.6402089230094
1.46,1215.8991439837387
1.47,1216.1561541548754
1.48,1216.4112666951407
1.49,1216.6645082963305
1.5,1216.9159050988171
1.51,1217.1654827065295
1.52,1217.413266201428
1.53,1217.6592801574993
1.54,1217.9035486542832
1.55,1218.146095289958
1.56,1218.3869431939959
1.57,1218.6261150394062
1.58,1218.863633054585
1.59,1219.0995190347826
1.6,1219.333794353206
1.61,1219.5664799717701
1.62,1219.7975964515085
1.63,1220.027163962659
1.64,1220.2552022944365
1.65,1220.4817308645024
1.66,1220.7067687281422
1.67,1220.9303345871642
1.68,1221.1524467985273
1.69,1221.3731233827075
1.7,1221.5923820318146
1.71,1221.810240117466
1.72,1222.0267146984258
1.73,1222.2418225280214
1.74,1222.4555800613393
1.75,1222.6680034622136
1.76,1222.8791086100105
1.77,1223.0889111062174
1.78,1223.2974262808445
1.79,1223.504669198641
1.8,1223.710654665139
1.81,1223.915397232522
1.82,1224.1189112053357
1.83,1224.321210646032
1.84,1224.5223093803645
1.85,1224.7222210026343
1.86,1224.92095888079
1.87,1225.1185361613905
1.88,1225.3149657744318
1.89,1225.510260438045
1.9,1225.7044326630667
1.91,1225.897494757488
1.92,1226.089458830785
1.93,1226.2803367981357
1.94,1226.4701403845252
1.95,1226.658881128742
1.96,1226.846570387275
1.97,1227.0332193381037
1.98,1227.218838984395
1.99,1227.4034401581039
2.0,1227.5870335234808
2.01,1227.769629580494
2.02,1227.95123866816
2.03,1228.1318709677948
2.04,1228.311536506183
2.05,1228.4902451586652
2.06,1228.6680066521528
2.07,1228.8448305680658
2.08,1229.0207263452007
2.09,1229.1957032825253
2.1,1229.3697705419095
2.11,1229.5429371507876
2.12,1229.715212004756
2.13,1229.8866038701117
2.14,1230.0571213863268
2.15,1230.2267730684666
2.16,1230.3955673095502
2.17,1230.563512382854
2.18,1230.7306164441648
2.19,1230.8968875339758
2.2,1231.0623335796363
2.21,1231.2269623974487
2.22,1231.3907816947176
2.23,1231.5537990717542
2.24,1231.7160220238325
2.25,1231.8774579431024
2.26,1232.0381141204598
2.27,1232.1979977473743
2.28,1232.357115917676
2.29,1232.5154756293025
2.3,1232.673083786007
2.31,1232.8299471990297
2.32,1232.986072588731
2.33,1233.1414665861903
2.34,1233.2961357347688
2.35,1233.4500864916386
2.36,1233.6033252292805
2.37,1233.7558582369468
2.38,1233.9076917220941
2.39,1234.0588318117866
2.4,1234.2092845540674
2.41,1234.359055919303
2.42,1234.5081518014972
2.43,1234.6565780195797
2.44,1234.8043403186657
2.45,1234.9514443712908
2.46,1235.0978957786203
2.47,1235.2437000716318
2.48,1235.3888627122756
2.49,1235.5333890946101
2.5,1235.6772845459145
2.51,1235.8205543277786
2.52,1235.963203637171
2.53,1236.1052376074854
2.54,1236.2466613095655
2.55,1236.387479752711
2.56,1236.527697885661
2.57,1236.6673205975608
2.58,1236.8063527189076
2.59,1236.9447990224776
2.6,1237.082664224236
2.61,1237.2199529842287
2.62,1237.3566699074572
2.63,1237.4928195447337
2.64,1237.6284063935254
