PEEQ,Stress
0.32,755.2214704
0.33,757.6408181
0.34,759.9167813
0.35,762.058878
0.36,764.0772692
0.37,765.9822393
0.38,767.7838606
0.39,769.4917928
0.4,771.1151642
0.41,772.6625189
0.42,774.1417939
0.43,775.5603253
0.44,776.9248625
0.45,778.2415914
0.46,779.5161627
0.47,780.7537225
0.48,781.95894
0.49,783.1360399
0.5,784.2888304
0.51,785.4207331
0.52,786.5348094
0.53,787.6337875
0.54,788.720089
0.55,789.7958512
0.56,790.8629496
0.57,791.9230213
0.58,792.9774831
0.59,794.0275499
0.6,795.0742537
0.61,796.1184594
0.62,797.1608787
0.63,798.2020844
0.64,799.2425223
0.65,800.2825262
0.66,801.3223241
0.67,802.3620506
0.68,803.4017551
0.69,804.4414123
0.7,805.4809248
0.71,806.5201349
0.72,807.5588287
0.73,808.5967405
0.74,809.6335611
0.75,810.6689397
0.76,811.7024905
0.77,812.7337955
0.78,813.7624088
0.79,814.7878593
0.8,815.8096548
0.81,816.8272847
0.82,817.8402227
0.83,818.8479301
0.84,819.8498587
0.85,820.8454501
0.86,821.8341434
0.87,822.8153745
0.88,823.7885768
0.89,824.7531869
0.9,825.7086459
0.91,826.6543992
0.92,827.5899023
0.93,828.5146194
0.94,829.4280289
0.95,830.3296237
0.96,831.2189124
0.97,832.0954244
0.98,832.9587083
0.99,833.8083382
1,834.6439107
1.01,835.4650523
1.02,836.2714165
1.03,837.0626897
1.04,837.8385889
1.05,838.598869
1.06,839.3433181
1.07,840.0717653
1.08,840.7840766
1.09,841.4801603
1.1,842.1599667
1.11,842.8234905
1.12,843.4707697
1.13,844.1018882
1.14,844.7169759
1.15,845.3162092
1.16,845.8998124
1.17,846.4680566
1.18,847.0212621
1.19,847.5597952
1.2,848.0840688
1.21,848.5945456
1.22,849.0917317
1.23,849.57618
1.24,850.048487
1.25,850.5092947
1.26,850.9592836
1.27,851.3991766
1.28,851.8297351
1.29,852.2517556
1.3,852.666071
1.31,853.0735433
1.32,853.4750666
1.33,853.871561
1.34,854.2639686
1.35,854.6532535
1.36,855.0403973
1.37,855.4263956
1.38,855.8122534
1.39,856.1989831
1.4,856.5876008
1.41,856.9791191
1.42,857.3745487
1.43,857.7748883
1.44,858.1811242
1.45,858.5942263
1.46,859.0151406
1.47,859.4447901
1.48,859.8840642
1.49,860.3338215
1.5,860.7948806
1.51,861.2680189
1.52,861.7539687
1.53,862.2534133
1.54,862.7669836
1.55,863.2952577
1.56,863.8387541
1.57,864.3979333
1.58,864.9731943
1.59,865.564875
1.6,866.1732485
1.61,866.7985251
1.62,867.4408532
1.63,868.1003162
1.64,868.7769382
1.65,869.470684
1.66,870.1814601
1.67,870.9091199
1.68,871.6534648
1.69,872.4142506
1.7,873.1911893
1.71,873.9839549
1.72,874.7921877
1.73,875.6155012
1.74,876.4534853
1.75,877.3057116
1.76,878.1717407
1.77,879.0511272
1.78,879.9434212
1.79,880.8481784
1.8,881.7649605
1.81,882.6933419
1.82,883.6329092
1.83,884.5832692
1.84,885.5440464
1.85,886.5148849
1.86,887.4954536
1.87,888.4854385
1.88,889.4845479
1.89,890.4925064
1.9,891.509057
1.91,892.5339522
1.92,893.5669533
1.93,894.6078281
1.94,895.6563406
1.95,896.7122519
1.96,897.7753094
1.97,898.8452466
1.98,899.9217721
1.99,901.0045695
2,902.0932891
2.01,903.1875449
2.02,904.2869102
2.03,905.390913
2.04,906.4990337
2.05,907.6107023
2.06,908.725299
2.07,909.8421503
2.08,910.9605322
2.09,912.0796663
2.1,913.1987282
2.11,914.3168421
2.12,915.4330899
2.13,916.5465115
2.14,917.6561089
2.15,918.7608532
2.16,919.8596862
2.17,920.9515274
2.18,922.0352802
2.19,923.1098358
2.2,924.1740798
2.21,925.2268979
2.22,926.2671814
2.23,927.2938334
2.24,928.3057703
2.25,929.3019342
2.26,930.2812889
2.27,931.2428305
2.28,932.1855894
2.29,933.1086333
2.3,934.0110707
2.31,934.8920548
2.32,935.7507833
2.33,936.586503
2.34,937.3985102
2.35,938.1861521
2.36,938.9488268
2.37,939.6859851
2.38,940.397131
2.39,941.0818174
2.4,941.7396516
2.41,942.3702905
2.42,942.9734407
2.43,943.5488578
2.44,944.0963445
2.45,944.6157505
2.46,945.1069689
2.47,945.5699347
2.48,946.0046246
2.49,946.4110542
2.5,946.7892763
2.51,947.1393778
2.52,947.4614799
2.53,947.7557341
2.54,948.0223227
2.55,948.2614531
2.56,948.47336
2.57,948.6583005
2.58,948.8165549
2.59,948.9484215
2.6,949.0542192
2.61,949.1342824
2.62,949.1889611
2.63,949.2186189
2.64,949.2236318
2.65,949.2043867
2.66,949.1612803
2.67,949.094717
2.68,949.0051098
2.69,948.892876
2.7,948.7584408
2.71,948.6022307
2.72,948.424677
2.73,948.2262129
2.74,948.0072746
2.75,947.7682969
2.76,947.5097165
2.77,947.2319697
2.78,946.9354902
2.79,946.6207118
2.8,946.2880661
2.81,945.9379807
2.82,945.570882
2.83,945.1871919
2.84,944.7873297
2.85,944.3717079
2.86,943.9407382
2.87,943.4948251
2.88,943.0343688
2.89,942.5597647
2.9,942.0714034
2.91,941.5696676
2.92,941.0549376
2.93,940.5275845
2.94,939.9879759
2.95,939.4364724
2.96,938.8734268
2.97,938.2991881
2.98,937.7140977
2.99,937.1184895
3,936.5126937
