Strain,Tmp77.15K,Tmp233.15K,Tmp298.15K,Tmp373.15K,Tmp473.15K,Tmp573.15K,Tmp673.15K,Tmp77.15K_ref,Tmp233.15K_ref,Tmp298.15K_ref,Tmp373.15K_ref,Tmp473.15K_ref,Tmp573.15K_ref,Tmp673.15K_ref
0.016,1365.2179044294069,998.269199,961.848184,942.8453862819952,987.0275582509493,979.1857681182066,865.5194951314479,1.4193694255905638,1.0378656586411978,1.0,0.9802434541811177,1.0261781169521336,1.0180252813350497,0.8998504228931912
0.017,1370.221793684021,1003.8249869824698,966.3840705,947.6991216508686,991.9887013051556,985.1595202,869.5272739008069,1.417885326871208,1.0387433088203721,1.0,0.980665090185661,1.0264952947660944,1.0194285587616172,0.8997740137116704
0.018,1374.9796787632345,1009.0677503274252,970.6173953,952.2304741361512,996.656757,990.7864429,873.2675573893939,1.4166031697157597,1.039614327142304,1.0,0.9810564685396291,1.026827627267026,1.0207796065655368,0.8997031802829816
0.019,1379.5233702328878,1014.0239934365524,974.5831006,956.4743425509514,1001.0631611866122,996.1028303478186,876.7727502993075,1.4155010171873361,1.0404695021002013,1.0,0.9814189697749736,1.0271706543755066,1.0220809592681939,0.8996387786321395
0.02,1383.8785808310618,1018.7157789566965,978.3105574,960.4607427,1005.2346106022682,1001.1398132086804,880.0701367588481,1.414559589859601,1.041301017607414,1.0,0.9817544494792754,1.0275209676504184,1.023335387353227,0.8995815593544857
0.021,1388.0663049615127,1023.1619817582242,981.8246755,964.2156571868544,1009.1939640658592,1005.9242401058186,883.1828339491622,1.4137618860053927,1.0421025334662453,1.0,0.9820650073760082,1.0278759428733253,1.0245456904956536,0.8995321221677344
0.022,1392.103861149856,1027.379136,985.1467521,967.7617037225718,1012.9609403288108,1010.4793907969412,886.1305419757264,1.4130928800022544,1.0428691297108525,1.0,0.9823528338896017,1.0282335481181057,1.0257145837845383,0.8994909033469334
0.023,1396.0056835487394,1031.3820120883329,988.2951295,971.1186688,1016.5526645755996,1014.8255555291998,888.9301397087402,1.4125392728131818,1.043597181957308,1.0,0.9826201099375144,1.0285922031103154,1.0268446390529335,0.8994581812403236
0.024,1399.7839258150243,1035.184004425678,991.2857105,974.3039381604104,1019.9841014206532,1018.9805076495768,891.5961625247728,1.4120892806060723,1.0442841992582905,1.0,0.9828689426673728,1.0289506754880768,1.027938259228621,0.8994340915850141
0.025,1403.4489241568426,1038.7974040401386,994.1323671,977.3328488,1023.268401476948,1022.9598907556864,894.1411883782712,1.4117324519378307,1.0449286618344715,1.0,0.9831013264873306,1.0293080029794637,1.0289976713461002,0.899418646821233
0.026,1407.0095542758677,1042.2335823725211,996.8472674,980.2189784687072,1026.4171813578248,1026.7775372128538,896.5761519595399,1.411459508682471,1.0455298584415031,1.0,0.9833191207167944,1.0296634348358598,1.0300249303897062,0.8994117567257925
0.027,1410.4735080650269,1045.5031219722655,999.4411405,982.9743869528102,1029.440751852986,1030.4457313767582,898.9106019058963,1.4112622053554809,1.046087738042504,1.0,0.983524038705319,1.030016386295623,1.0310219277758041,0.899413247543712
0.028,1413.8475093840568,1048.6159097024324,1001.923491,985.6098178019092,1032.3483053526254,1033.9754281196977,901.1529125542728,1.411133207359899,1.046602778677072,1.0,0.9837176457637414,1.0303664048462013,1.0319904038657755,0.8994228807379793
0.029,1417.1374833960374,1051.581205284288,1004.302777,988.1348686912752,1035.1480709322414,1037.3764350979154,903.3104591402808,1.4110659811468762,1.047075871307969,1.0,0.9839013605468455,1.0307131421306837,1.0329319592212134,0.8994403678127845
