Strain,Tmp298.15K,Tmp373.15K_StrRt0.1,Tmp473.15K,Tmp573.15K_StrRt0.1,Tmp673.15K,Tmp298.15K_ref,Tmp373.15K_StrRt0.1_ref,Tmp473.15K_ref,Tmp573.15K_StrRt0.1_ref,Tmp673.15K_ref
1.07,1178.3875727910356,1143.6869998090842,1180.4109409715747,1260.0336675541084,1160.5516534388298,1.000421825,0.970961899,1.002139614,1.069737335,0.985279572
1.08,1178.5831339295958,1144.2490997801478,1180.9079320355668,1260.577464186817,1161.170902901562,1.000332298,0.971190999,1.00230549,1.069925672,0.985553521
1.09,1178.776282668154,1144.8069949028077,1181.400343510264,1261.1159072776506,1161.784445652971,1.000243614,0.971419177,1.002470245,1.070112414,0.985825292
1.1,1178.967070457778,1145.3607547791505,1181.8882590317517,1261.649097918025,1162.3923859196948,1.000155758,0.971646438,1.002633897,1.070297587,0.986094919
1.11,1179.1555471978982,1145.910447239136,1182.3717599658994,1262.1771343932571,1162.9948250985472,1.000068715,0.971872788,1.002796458,1.070481217,0.986362438
1.12,1179.3417612965563,1146.4561384012202,1182.8509254891542,1262.7001122849151,1163.5918618586147,0.99998247,0.972098232,1.002957946,1.07066333,0.986627882
1.13,1179.525759727802,1146.9978927303837,1183.325832667004,1263.218124568558,1164.183592237532,0.999897011,0.972322778,1.003118374,1.070843952,0.986891286
1.14,1179.707588086396,1147.535773093697,1183.7965565280174,1263.7312617071134,1164.7701097347308,0.999812322,0.972546432,1.003277758,1.071023108,0.987152681
1.15,1179.8872906399683,1148.0698408135495,1184.2631701352077,1264.2396117401222,1165.3515054000309,0.999728392,0.9727692,1.003436111,1.07120082,0.987412099
1.16,1180.0649103787698,1148.6001557186632,1184.7257446536678,1264.7432603690706,1165.9278679183917,0.999645207,0.972991087,1.003593448,1.071377114,0.987669572
1.17,1180.240489,1149.1267761929898,1185.184349416406,1265.2422910390078,1166.4992836908204,0.999562755,0.973212101,1.003749782,1.071552012,0.987925129
1.18,1180.4140672688827,1149.6497592226133,1185.6390519862762,1265.7367850166477,1167.0658369126031,0.999481023,0.973432247,1.003905126,1.071725534,0.9881788
1.19,1180.5856844304517,1150.169160440739,1186.089918215643,1266.2268214651294,1167.6276096478105,0.999399999,0.97365153,1.004059493,1.071897704,0.988430613
1.2,1180.7553788824082,1150.685034170876,1186.5370123039463,1266.7124775156076,1168.184681899962,0.999319673,0.973869959,1.004212897,1.072068544,0.988680599
1.21,1180.9231878989017,1151.1974334682895,1186.9803968523047,1267.193828335836,1168.7371316810604,0.999240032,0.974087538,1.004365349,1.072238072,0.988928781
1.22,1181.0891477314713,1151.7064101598144,1187.4201329163625,1267.6709471958852,1169.2850350770168,0.999161066,0.974304274,1.004516863,1.07240631,0.98917519
1.23,1181.253293645202,1152.212014882099,1187.8562800566433,1268.1439055311491,1169.8284663102822,0.999082763,0.974520172,1.00466745,1.072573277,0.989419849
1.24,1181.4156599533128,1152.7142971183646,1188.288896386803,1268.6127730027608,1170.3674978006163,0.999005113,0.97473524,1.004817122,1.072738995,0.989662787
1.25,1181.5762800502705,1153.2133052337358,1188.7180386204273,1269.077617555553,1170.9022002225977,0.998928106,0.974949482,1.004965891,1.072903478,0.989904026
1.26,1181.7351864434938,1153.709086509222,1189.143762115389,1269.538505473678,1171.4326425613835,0.998851731,0.975162906,1.005113768,1.073066748,0.990143593
1.27,1181.8924107837252,1154.2016871744015,1189.566120916919,1269.995501433998,1171.958892166498,0.99877598,0.975375517,1.005260764,1.073228823,0.99038151
1.28,1182.0479838941303,1154.6911524388734,1189.9851677987026,1270.4486685573577,1172.4810148025863,0.998700841,0.97558732,1.00540689,1.073389719,0.990617802
1.29,1182.2019357981933,1155.1775265225288,1190.400954302342,1270.8980684578296,1172.999074698659,0.998626306,0.975798323,1.005552158,1.073549455,0.990852491
1.3,1182.3542957464624,1155.6608526846994,1190.8135307755438,1271.3437612900398,1173.5131345966363,0.998552366,0.97600853,1.005696577,1.073708046,0.9910856
1.31,1182.505092242205,1156.1411732522297,1191.2229464087286,1271.7858057946487,1174.0232557953568,0.998479011,0.976217949,1.005840159,1.07386551,0.991317151
1.32,1182.6543530660213,1156.6185296465192,1191.6292492702487,1272.2242593420842,1174.5294981958575,0.998406233,0.976426584,1.005982912,1.074021862,0.991547166
1.33,1182.8021052994704,1157.0929624095863,1192.0324863399728,1272.6591779746022,1175.0319203424733,0.998334023,0.97663444,1.006124847,1.074177118,0.991775664
1.34,1182.9483753477505,1157.5645112291877,1192.4327035423485,1273.0906164467492,1175.5305794643937,0.998262372,0.976841525,1.006265974,1.074331294,0.992002669
1.35,1183.0931889614826,1158.0332149630422,1192.8299457774265,1273.5186282643003,1176.0255315141983,0.998191274,0.977047844,1.006406304,1.074484406,0.992228198
1.36,1183.236571257636,1158.499111662191,1193.2242569513037,1273.9432657217435,1176.5168312054593,0.998120719,0.977253403,1.006545844,1.074636467,0.992452274
1.37,1183.378546739639,1158.9622385935363,1193.6156800052267,1274.364579938372,1177.0045320498757,0.998050699,0.977458207,1.006684604,1.074787492,0.992674913
1.38,1183.519139316706,1159.4226322615905,1194.0042569434154,1274.782620893042,1177.488686391036,0.997981208,0.977662262,1.006822594,1.074937495,0.992896137
1.39,1183.658372322426,1159.880328429468,1194.3900288605364,1275.197437457668,1177.9693454389926,0.997912237,0.977865573,1.006959823,1.075086492,0.993115963
1.4,1183.7962685326363,1160.335362139152,1194.773035967548,1275.6090774294917,1178.4465593029745,0.997843778,0.978068146,1.007096298,1.075234493,0.993334409
1.41,1183.932850182623,1160.787767731071,1195.1533176166704,1276.0175875621944,1178.920377021539,0.997775826,0.978269987,1.00723203,1.075381515,0.993551495
1.42,1184.0681389836666,1161.2375788630036,1195.5309123260668,1276.423013595891,1179.3908465942368,0.997708371,0.978471099,1.007367026,1.075527568,0.993767235
1.43,1184.202156138977,1161.6848285283495,1195.905857803009,1276.8254002860608,1179.8580150096675,0.997641409,0.97867149,1.007501294,1.075672667,0.993981649
1.44,1184.3349223590303,1162.1295490737846,1196.2781909664627,1277.224791431453,1180.3219282744683,0.997574932,0.978871166,1.007634844,1.075816824,0.994194754
1.45,1184.4664578763438,1162.571772216328,1196.6479479689733,1277.6212299010178,1180.7826314399715,0.997508933,0.979070129,1.007767683,1.07596005,0.994406566
1.46,1184.596782459706,1163.011529059846,1197.0151642179117,1278.014757659896,1181.240168628865,0.997443406,0.979268387,1.007899819,1.07610236,0.994617101
1.47,1184.7259154278925,1163.4488501110127,1197.3798743953812,1278.4054157945122,1181.694583059987,0.997378343,0.979465944,1.008031259,1.076243762,0.994826373
1.48,1184.8538756628843,1163.8837652947498,1197.742112478241,1278.793244536805,1182.145917073358,0.997313741,0.979662806,1.008162012,1.076384271,0.995034401
1.49,1184.980681622613,1164.3163039691651,1198.1019117569667,1279.178283287631,1182.594212,0.997249591,0.979858977,1.008292084,1.076523896,0.995241199
1.5,1185.106351353248,1164.7464949400116,1198.4593048542156,1279.560570639374,1183.0395089534577,0.997185888,0.980054462,1.008421484,1.076662649,0.995446782
1.51,1185.2309025010536,1165.174366474683,1198.8143237421757,1279.9401443977945,1183.4818473145133,0.997122626,0.980249268,1.008550219,1.076800542,0.995651164
1.52,1185.354352323825,1165.5999463157636,1199.1669997602005,1280.317041603149,1183.9212662895443,0.9970598,0.980443398,1.008678296,1.076937584,0.995854361
1.53,1185.4767177019269,1166.0232616941537,1199.5173636309337,1280.6912985506058,1184.3578041637084,0.996997403,0.980636858,1.008805722,1.077073787,0.996056385
1.54,1185.5980151489466,1166.4443393417782,1199.8654454767238,1281.0629508099885,1184.7914984736126,0.99693543,0.980829652,1.008932504,1.077209162,0.996257253
1.55,1185.718260821982,1166.8632055039056,1200.2112748351065,1281.4320332448692,1185.2223860269878,0.996873875,0.981021786,1.009058648,1.077343716,0.996456976
1.56,1185.8374705315732,1167.279886,1200.5548806738807,1281.7985800310448,1185.650502921315,0.996812734,0.981213264,1.009184161,1.077477461,0.996655569
1.57,1185.9556597513017,1167.694405990689,1200.8962914054282,1282.1626246744097,1186.0758845622186,0.996752001,0.98140409,1.009309051,1.077610407,0.996853045
1.58,1186.0728436270576,1168.1067904781758,1201.2355349010322,1282.5242000282549,1186.4985656815115,0.996691671,0.981594271,1.009433323,1.077742564,0.997049417
1.59,1186.1890369860014,1168.517063827916,1201.5726385044982,1282.8833383100175,1186.9185803525615,0.996631738,0.98178381,1.009556984,1.07787394,0.997244697
1.6,1186.3042543452216,1168.9252500237592,1201.907629045425,1283.2400711174937,1187.3359620091503,0.996572197,0.981972711,1.00968004,1.078004545,0.997438898
1.61,1186.418509920107,1169.3313726292583,1202.2405328518362,1283.5944294445412,1187.7507434590952,0.996513046,0.982160981,1.009802498,1.078134388,0.997632034
1.62,1186.531817632443,1169.7354547975942,1202.5713757627527,1283.9464436962908,1188.1629569013603,0.996454276,0.982348622,1.009924363,1.078263478,0.997824114
1.63,1186.6441911182408,1170.1375192812045,1202.9001831404166,1284.2961437038812,1188.5726339402609,0.996395886,0.98253564,1.010045642,1.078391824,0.998015152
1.64,1186.755643735312,1170.5375884411303,1203.2269798814086,1284.643558738739,1188.9798056003638,0.99633787,0.98272204,1.010166341,1.078519435,0.998205159
1.65,1186.8661885705974,1170.9356842560903,1203.5517904285807,1284.9887175264184,1189.3845023404574,0.996280222,0.982907825,1.010286464,1.078646318,0.998394147
1.66,1186.9758384472611,1171.3318283312858,1203.8746387815336,1285.3316482600144,1189.786754067056,0.996222939,0.983092999,1.010406019,1.078772483,0.998582127
