PEEQ,C1,C2,C3,C4,C5,C6,C7,C8,C9,R²
1.35,2.3812913866379124,0.008554996345977612,0.5488762957351897,0.25328584031471474,343.86882237764087,111.11794043201384,0.590707022200144,566.4909488627773,171.77805354400311,0.9999999999999636
1.36,2.541409882897896,0.009860256054598778,0.5907954853131209,0.309236918033185,355.93427219133775,132.49495688129758,0.5398166168665257,577.0668520311458,152.64687010876582,0.9999999999999999
1.37,2.918405541674582,0.009999884697704303,0.38314911984906597,0.5647999977311996,386.8188685284023,199.9894571413399,0.580818499050006,616.7117963472879,145.08902424231366,0.9999999154897719
1.38,2.2578095828923623,0.009999303294960918,0.7413515948212073,0.17717605119291094,342.7400462741244,69.14602091816826,0.42341075219942237,548.8250610033789,150.7811195469308,0.9999976492193504
1.39,2.210647708413663,0.009297218627115597,0.7078391372455187,0.18384439483905182,340.8512972531267,63.563844182498464,0.4522971064746894,549.5940523984208,158.7783367169905,1.0
1.4,2.2460376390886823,0.006688520042746961,0.44585101964993656,0.18532656657636568,338.50790114634367,67.18629309665077,0.6693552309504127,560.8572078408874,199.99986644795922,0.9999999999999974
1.41,2.6509878124605333,0.009104430912880967,0.4666479914969319,0.39554244667237776,358.2772634437248,146.62814197867218,0.6401639732655297,588.4205521814957,159.60402887808644,0.9999999999999998
1.42,2.3046383705562943,0.007221175419361641,0.4700109025610835,0.19988691264714778,339.09810559622133,86.55919964813855,0.6571794500623708,561.7540719186073,193.3989614191634,1.0
1.43,2.259711526989216,0.00661989014758118,0.434812159972529,0.18892057705134382,338.7867825576599,67.54337644976363,0.6797137377185326,561.7216377717,199.9801606738212,0.9999943908692162
1.44,2.444120877656695,0.007001691474747753,0.3680047179009799,0.24285735335109027,337.7542563977999,104.43928854960876,0.7486900112855737,568.9482646035153,199.79536016223744,0.9999965050046448
1.45,2.457763895884179,0.006894453586443449,0.3498550950225757,0.2499986985761943,338.7630817019999,105.78196905411846,0.763982117474625,570.3406453928085,199.91702642135155,0.9999995868630481
1.46,2.791967336052132,0.007000044427488404,0.15538144353432728,0.4563989687201238,345.50537782502244,144.6152576578754,0.9278496038495709,592.3636558262349,191.82768305427862,0.9999999999999999
1.47,2.8262756793421877,0.006596516829488593,0.08519697882283477,0.44702729952894227,342.6491658155808,142.03327587985717,0.9900892307218958,592.0443630945673,199.9543449089027,0.9999999999999994
1.48,2.629661046018963,0.006807187581205194,0.23999097539485012,0.3319930005540802,340.00190652146233,124.01571192614827,0.8614672217389309,579.9908109274575,199.99398772753221,1.0
1.49,2.7845051587918306,0.006657723343590608,0.12432208447509471,0.41776974149611035,341.9407679237796,137.7360876956808,0.9590033100429424,589.0754960186915,199.98233225190006,1.0
1.5,2.80464977388707,0.009564381577751576,0.4434819276156942,0.4619318484157526,369.387016512301,163.7300634409437,0.6293438031499958,599.6796038327592,151.97524115782747,0.9999999999999999
1.51,2.8462887916051596,0.008892816981698979,0.3469286805894122,0.5152606261700299,367.02570853863597,166.47494290829468,0.7138862045413227,603.481601053852,159.22937159253036,0.9999999999999487
1.52,2.8033063264080234,0.00957537159158421,0.4496565891769021,0.454706826751971,368.5285610412592,161.65488948981024,0.628595383050884,598.4918473560064,152.17523720307523,0.9999999999999998
1.53,2.9948930398279,0.009933578454651613,0.3676514540777197,0.5800448393753382,387.36366271207703,196.96094252471713,0.6023149982992219,617.4902145587951,144.86736361588456,0.9999994960698881
1.54,3.1294193231085163,0.007820158749834107,0.029611413776728292,0.7538666944717968,373.9035360873313,191.17538449172957,0.926802780078422,624.1626634058294,168.56402621242552,0.9999976605833522
1.55,2.942065731591618,0.009479017129626134,0.3591815592479816,0.5530922208000488,377.18082303275787,181.26949552940778,0.6614201601789502,611.1319130591877,151.3434568397538,0.9999999999998925
1.56,3.042522454569108,0.009993109539404363,0.3512380261617755,0.5970483686753598,387.36261042235594,199.95153532480182,0.6091506601124699,618.7412144590031,145.4962991715017,0.9999998986720731
1.57,2.65433482863598,0.00997540756102155,0.5807117248443199,0.32050286462875127,356.2547242284478,131.53774290123405,0.5553552644561276,577.777716562495,153.36653591606674,1.0
1.58,2.496655851518599,0.007137512061572998,0.37371833418853173,0.25109162037499627,339.4039561554503,104.23478063488962,0.7488302610006237,569.238122331904,197.7372622449486,1.0
1.59,2.6814253349061463,0.008163474467810879,0.3816680907199262,0.3782848412120672,348.42961419612544,134.26697672731072,0.7386225570186933,582.9787053672999,176.36220315347785,0.9999999999999999
1.6,2.99467382201272,0.006641575613638179,8.281576690401044e-05,0.5222238885911772,344.1836120062661,150.35878011036255,1.064080172638128,598.4189296018283,199.9957014631721,0.9999916008259189
1.61,2.784600573988911,0.0072746580050292815,0.22035867210264312,0.42343645570368954,345.4540154666578,138.3917465147648,0.880215811683353,588.2197655658016,189.54377296418835,1.0
1.62,2.460740749572986,0.008017435443771257,0.4943599777902242,0.24127496711945745,341.30424472349483,101.5510921495024,0.6473521749878476,564.8498952578598,183.8015655991179,1.0
1.63,2.566136008475562,0.007246297839419525,0.3527370042737873,0.28057251413706435,340.2268962843154,111.5430189302092,0.7701530716479047,572.3902412669543,195.71342229240335,0.9999999999999962
1.64,2.2714129026048133,0.008429728234649287,0.6380629639207622,0.22451836829675964,338.9400775122025,51.32619431973816,0.5181906973008407,552.5436849594934,172.29126812390524,0.9999999999999996
1.65,2.34376014656066,0.006914854669728025,0.44835084993280416,0.19578385872862877,338.74459109414175,64.76056335890371,0.6770743099822195,560.4332336548648,199.99588105827226,0.9999999999999994
1.66,2.436544932295345,0.007097332849976731,0.41534581203513093,0.21082870955138674,339.0798573065002,87.541568008329,0.7117783896581832,563.8405049861846,199.8772385583585,0.9999999999999999
1.67,2.4087941112730338,0.00711113889410195,0.43431978263757093,0.20164291740386336,339.096519029295,81.38865612950838,0.6944898567360883,562.1927825706342,199.29786937236508,1.0
1.68,2.467669890476195,0.007470156683719347,0.4411561687693453,0.22820059230655604,339.832089672448,95.24736224840876,0.693381628892554,564.6694332184925,193.66074119609803,0.9999999999999999
