Strain,Stress,Strain Rate,Temperature,Normalized Stress
0.0166,935.5183716,0.01,473,1.6121783015229487
0.01671,935.9507446,0.01,473,1.612923409678946
0.01679,936.3820801,0.01,473,1.6136667299117569
0.01687,936.7907104,0.01,473,1.614370922285743
0.01696,937.2235107,0.01,473,1.615116766807598
0.01708,937.6762085,0.01,473,1.6158969006803932
0.01717,938.0849609,0.01,473,1.6166013034692432
0.01724,938.496582,0.01,473,1.6173106498872445
0.01731,938.899353,0.01,473,1.6180047449327242
0.01741,939.3081055,0.01,473,1.6187091478939042
0.01751,939.7548828,0.01,473,1.6194790789722657
0.0176,940.1584473,0.01,473,1.6201745414558641
0.01769,940.5495605,0.01,473,1.6208485466209372
0.0178,940.9847412,0.01,473,1.621598493284819
0.01791,941.3807373,0.01,473,1.6222809131488094
0.01798,941.7664185,0.01,473,1.6229455573512337
0.01805,942.1572266,0.01,473,1.6236190367376424
0.01815,942.5490723,0.01,473,1.6242943042195677
0.01827,942.9738159,0.01,473,1.6250262646346898
0.01837,943.387207,0.01,473,1.6257386612927296
0.01843,943.7411499,0.01,473,1.626348610900007
0.0185,944.1091309,0.01,473,1.6269827523573874
0.01861,944.536438,0.01,473,1.6277191304506669
0.01873,944.9185791,0.01,473,1.6283776740006846
0.0188,945.2950439,0.01,473,1.629026435585996
0.01887,945.6394653,0.01,473,1.6296199767974962
0.01897,946.0013428,0.01,473,1.6302436000966427
0.01909,946.4127197,0.01,473,1.6309525256849169
0.01919,946.8110962,0.01,473,1.6316390476909337
0.01926,947.1495972,0.01,473,1.6322223862803305
0.01933,947.4797363,0.01,473,1.6327913148120001
0.01944,947.8347778,0.01,473,1.6334031576360606
0.01954,948.1711426,0.01,473,1.6339828149131579
0.01963,948.5494385,0.01,473,1.6346347320321044
0.01971,948.8799438,0.01,473,1.635204291636035
0.0198,949.2443848,0.01,473,1.6358323326133388
0.01991,949.6233521,0.01,473,1.6364854067555408
0.02,949.9626465,0.01,473,1.6370701126107263
0.02008,950.2956543,0.01,473,1.6376439847715474
0.02017,950.6409302,0.01,473,1.6382389985424333
0.02027,951.0036621,0.01,473,1.6388640942286357
0.02036,951.3725586,0.01,473,1.639499813366669
0.02046,951.7351074,0.01,473,1.6401245935167406
0.02056,952.0791626,0.01,473,1.6407175036559798
0.02066,952.4358521,0.01,473,1.641332186477545
0.02074,952.7731323,0.01,473,1.641913421262965
0.02081,953.102417,0.01,473,1.6424808774075785
0.02089,953.4442749,0.01,473,1.6430700009409216
0.021,953.7874146,0.01,473,1.643661333399508
0.02109,954.1223755,0.01,473,1.644238571336498
0.02119,954.4691772,0.01,473,1.6448362145176951
0.02128,954.8168335,0.01,473,1.6454353304306077
0.02138,955.1593628,0.01,473,1.646025610987206
0.02146,955.4857178,0.01,473,1.6465880183814012
0.02154,955.7960205,0.01,473,1.647122762855728
0.02164,956.1317749,0.01,473,1.6477013682308366
0.02176,956.4816284,0.01,473,1.6483042705773157
0.02186,956.8192749,0.01,473,1.6488861366073266
0.02194,957.1435547,0.01,473,1.6494449678104894
0.02202,957.4553833,0.01,473,1.6499823418674568
0.02211,957.7651367,0.01,473,1.6505161397333918
0.02222,958.0901489,0.01,473,1.6510762330810769
0.02232,958.425415,0.01,473,1.6516539969690611
0.0224,958.7352905,0.01,473,1.6521880052498594
0.02249,959.0593262,0.01,473,1.6527464157956249
0.0226,959.3575439,0.01,473,1.653260334196017
0.0227,959.664917,0.01,473,1.653790030092255
0.02278,959.9649048,0.01,473,1.6543069989050156
0.02286,960.2399292,0.01,473,1.6547809483041183
0.02296,960.5442505,0.01,473,1.6553053850350743
0.02309,960.882019,0.01,473,1.655887461307619
0.02319,961.1859131,0.01,473,1.6564111618450472
0.02325,961.4559937,0.01,473,1.6568765915962957
0.02333,961.7328491,0.01,473,1.6573536963567037
0.02344,962.0297852,0.01,473,1.6578654061765121
0.02355,962.3787842,0.01,473,1.6584668359636054
0.02364,962.6743774,0.01,473,1.6589762315645733
0.0237,962.9262085,0.01,473,1.6594102119623866
0.0238,963.2393188,0.01,473,1.6599497947722677
0.02391,963.5611572,0.01,473,1.660504418712137
0.024,963.8326416,0.01,473,1.660972267631163
0.02407,964.1104126,0.01,473,1.6614509502445536
0.02417,964.3937378,0.01,473,1.6619392044077865
0.02429,964.7089233,0.01,473,1.6624823634087003
0.0244,965.0363159,0.01,473,1.6630465588984118
0.02449,965.2932739,0.01,473,1.66348937448021
0.02457,965.5877075,0.01,473,1.6639967717431277
0.02467,965.8865356,0.01,473,1.6645117420455082
