Strain,Stress,delT,Rate,I_Temp,Temp
0.0066,900.9176058,0.0,0.001,298,298
0.0068,903.4392819,0.0,0.001,298,298
0.007,905.9052487,0.0,0.001,298,298
0.0072,909.0264193,0.0,0.001,298,298
0.0074,911.00142,0.0,0.001,298,298
0.0076,913.5453034,0.0,0.001,298,298
0.0078,915.6174569,0.0,0.001,298,298
0.008,918.1936969,0.0,0.001,298,298
0.0082,920.1577507,0.0,0.001,298,298
0.0084,921.9293709,0.0,0.001,298,298
0.0086,924.5763956,0.0,0.001,298,298
0.0088,926.0715525,0.0,0.001,298,298
0.009,928.2858618,0.0,0.001,298,298
0.0092,929.7997174,0.0,0.001,298,298
0.0094,932.0992557,0.0,0.001,298,298
0.0096,933.6295597,0.0,0.001,298,298
0.0098,935.6414371,0.0,0.001,298,298
0.01,937.4241597,0.0,0.001,298,298
0.0102,938.9994426,0.0,0.001,298,298
0.0104,940.5464358,0.0,0.001,298,298
0.0106,942.4422847,0.0,0.001,298,298
0.0108,943.825028,0.0,0.001,298,298
0.011,945.4230081,0.0,0.001,298,298
0.0112,946.7431609,0.0,0.001,298,298
0.0114,948.3836123,0.0,0.001,298,298
0.0116,949.8574458,0.0,0.001,298,298
0.0118,951.3736812,0.0,0.001,298,298
0.012,952.6948287,0.0,0.001,298,298
0.0122,954.1342219,0.0,0.001,298,298
0.0124,955.6096251,0.0,0.001,298,298
0.0126,956.8463373,0.0,0.001,298,298
0.0128,958.1766045,0.0,0.001,298,298
0.013,959.2639313,0.0,0.001,298,298
0.0132,960.8382989,0.0,0.001,298,298
0.0134,962.0437531,0.0,0.001,298,298
0.0136,962.9988843,0.0,0.001,298,298
0.0138,964.2047975,0.0,0.001,298,298
0.014,965.6942738,0.0,0.001,298,298
0.0142,966.6993102,0.0,0.001,298,298
0.0144,967.8148353,0.0,0.001,298,298
0.0146,968.8618342,0.0,0.001,298,298
0.0148,970.0766896,0.0,0.001,298,298
0.015,971.1965244,0.0,0.001,298,298
0.0152,972.2152273,0.0,0.001,298,298
0.0154,973.1488075,0.0,0.001,298,298
0.0156,974.4944001,0.0,0.001,298,298
0.0158,975.2456485,0.0,0.001,298,298
0.016,976.3094331,0.0,0.001,298,298
0.0162,977.3354067,0.0,0.001,298,298
0.0164,978.2750158,0.0,0.001,298,298
0.0166,979.2637253,0.0,0.001,298,298
0.0168,980.1432695,0.0,0.001,298,298
0.017,981.1195754,0.0,0.001,298,298
0.0172,981.9909506,0.0,0.001,298,298
0.0174,982.809484,0.0,0.001,298,298
0.0176,983.8508774,0.0,0.001,298,298
0.0178,984.7468067,0.0,0.001,298,298
0.018,985.5843515,0.0,0.001,298,298
0.0182,986.3208047,0.0,0.001,298,298
0.0184,987.2830133,0.0,0.001,298,298
0.0186,988.1298995,0.0,0.001,298,298
0.0188,988.9505527,0.0,0.001,298,298
0.019,989.7223041,0.0,0.001,298,298
0.0192,990.5400837,0.0,0.001,298,298
