strain,StrRt0.0001,StrRt0.001,StrRt0.01,StrRt0.1,ref_StrRt0.0001,ref_StrRt0.001,ref_StrRt0.01,ref_StrRt0.1
0.095,1149.2229397439726,1143.20863975067,1106.0768796637856,1092.7074792802584,1.0681299988024784,1.0625400875481181,1.0280284662729862,1.015602454642181
0.096,1150.1806490101194,1144.1541560160083,1106.7983046704237,1093.3964976172265,1.0684643811995218,1.062866049221586,1.0281641990152797,1.0157145429613603
0.097,1151.1279080042652,1145.0897527767138,1107.5117589664187,1094.0786409941838,1.0687956302594428,1.0631893428285144,1.0282990449744804,1.0158267057238617
0.098,1152.0649361860053,1146.0156344376146,1108.2174112799105,1094.7540476950214,1.0691238051703753,1.0635100135335303,1.0284330149184808,1.015938925345786
0.099,1152.99194623683,1146.9319991657069,1108.9154250943586,1095.4228518482132,1.0694489634450082,1.063828105350642,1.0285661194651112,1.0160511851506158
0.1,1153.9091443351315,1147.8390391410903,1109.6059588625244,1096.0851835922358,1.0697711609835219,1.064143661181999,1.0286983690822087,1.0161634693205572
0.11,1162.5826640334444,1156.4350208389403,1116.1315350214256,1102.3785892848878,1.0728415532773645,1.0671684538257482,1.0299760410497474,1.017284701222834
0.12,1170.4621166879317,1164.2733462847373,1122.0527501536692,1108.1434777989375,1.0756673883787191,1.0699798412108388,1.0311786551420314,1.0183958828893078
0.13,1177.6776698797828,1171.4760202702,1127.469360719097,1113.4630511094629,1.0782852682099382,1.0726070189031516,1.0323143871324154,1.0194901673137637
0.14,1184.330115143102,1178.137817203817,1132.4584929834102,1118.4022037095078,1.0807240969183272,1.0750735054888638,1.0333902401688955,1.020563604809948
0.15,1190.499063408561,1184.3338191937546,1137.0809834981474,1123.012539649127,1.0830071058891955,1.077398530881114,1.0344122250496455,1.021614042232375
0.16,1196.248473162151,1190.1245150176755,1141.3856484172147,1127.335778570697,1.085153252434991,1.0795980243637802,1.035385521026845,1.0226404581889086
0.17,1201.630488441608,1195.559349457776,1145.4122428597457,1131.406134718533,1.087178211439682,1.0816853331502803,1.0363146121303541,1.0236425505068658
0.18,1206.6881704371642,1200.6792557181188,1149.1935641948846,1135.2520197832132,1.08909509451203,1.083671755074234,1.037203400242182,1.024620474511525
0.19,1211.4574841763726,1205.5185015646775,1152.7569798053655,1138.897288024577,1.0909149819615913,1.0855669402900239,1.038055298065569,1.0255746740184843
0.2,1215.968771191827,1210.106060857261,1156.1255582575818,1142.3621639299113,1.0926473232587663,1.087379198857984,1.0388733053917465,1.026505770692361
0.21,1220.2478597308277,1214.466649704039,1159.3189211577594,1145.6639449227346,1.0943002432190874,1.089115739523411,1.0396600717425342,1.0274144908992826
0.22,1224.3169144107358,1218.6215210421042,1162.3538944479633,1148.8175416175588,1.0958807793896757,1.0907828573971898,1.0404179479847664,1.0283016170615618
0.23,1228.1950953206106,1222.5890822045894,1165.245013176318,1151.8358987416516,1.0973950684197327,1.0923860831449528,1.0411490290364451,1.0291679552570896
0.24,1231.8990755867462,1226.3853807660453,1168.0049175377162,1154.730327047445,1.0988484940501246,1.093930302803416,1.0418551893694334,1.0300143137178146
0.25,1235.4434523259204,1230.024490992441,1170.644667086825,1157.5107679082817,1.100245805846735,1.0954198549155278,1.042538112670609,1.0308414887106854
0.26,1238.8410762622073,1233.5188243316152,1173.1739925752,1160.1860063585898,1.1015912153649337,1.0968586099605433,1.043199316747479,1.0316502554549147
0.27,1242.1033185638742,1236.8793811779387,1175.601499680805,1162.763844192947,1.102888474712521,1.0982500358246596,1.043840174545062,1.032441362491119
0.28,1245.240288703067,1240.1159567503137,1177.9348352343025,1165.2512417941766,1.104140941246663,1.0995972521635973,1.0444619319677109,1.0332155284210056
0.29,1248.2610137289505,1243.2373107634512,1180.180823918954,1167.6544352399649,1.1053516312459364,1.1009030758502814,1.045065723062992,1.0339734402730498
0.3,1251.1735868633991,1246.2513082714077,1182.3455815115055,1169.9790336899546,1.1065232647411112,1.1021700592109098,1.0456525830169845,1.0347157529777697
