strain,StrRt0.0001,StrRt0.001,StrRt0.01,StrRt0.1
0.056,1033.156422150023,1030.627329937594,1007.1707067834376,1026.233843954804
0.057,1034.3318458255017,1031.4597145235052,1007.7846164761032,1027.3133600682486
0.058,1035.4861198358485,1032.271605672487,1008.389670887908,1028.3741249120212
0.059,1036.6200349978171,1033.0639554081995,1008.9861726591316,1029.4167792389053
0.06,1037.734336326619,1033.837656288252,1009.5744058403744,1030.4419314384577
0.061,1038.8297265461442,1034.593545728449,1010.1546377069668,1031.450159693777
0.062,1039.9068692790825,1035.332409979469,1010.7271203362972,1032.4420139588185
0.063,1040.9663919495506,1036.054987786594,1011.2920919838908,1033.418017774762
0.064,1042.00888842735,1036.761973760091,1011.8497782882934,1034.3786699409247
0.065,1043.0349214393718,1037.4540214812127,1012.400393329972,1035.3244460545247
0.066,1044.0450247715853,1038.1317463664045,1012.9441405654457,1036.2557999318233
0.067,1045.0397052817862,1038.7957283101878,1013.4812136544774,1037.1731649212306
0.068,1046.0194447417744,1039.4465141253047,1014.0117971953754,1038.0769551181584
0.069,1046.9847015251726,1040.0846197969838,1014.5360673810966,1038.967566490639
0.07,1047.9359121557643,1040.7105325666885,1015.0541925868906,1039.845377923979
0.071,1048.8734927294354,1041.324712859306,1015.566333898576,1040.71075219044
0.072,1049.797840221545,1041.9275960665177,1016.0726455891754,1041.564036851225
0.073,1050.7093336903415,1042.5195941979537,1016.5732755504704,1042.405565095367
0.074,1051.6083353860377,1043.1010974107385,1017.0683656850764,1043.235656522622
0.075,1052.4951917739963,1043.6724754271074,1017.5580522638196,1044.05461787252
0.076,1053.3702344797784,1044.2340788489505,1018.042466252513,1044.8627437056275
0.077,1054.2337811630714,1044.786240377388,1018.5217336116464,1045.6603170403396
0.078,1055.086136326696,1045.3292759447982,1018.9959755720216,1046.4476099482854
0.079,1055.927592066313,1045.8634857660886,1019.4653088889492,1047.2248841115506
