strain,StrRt0.0001,StrRt0.001,StrRt0.01,StrRt0.1,StrRt1,ref_StrRt0.0001,ref_StrRt0.001,ref_StrRt0.01,ref_StrRt0.1,ref_StrRt1
0.017,966.3841323024504,981.0820227699104,993.5112570422036,1004.5434902661232,1023.8299555107892,1.0,1.015209159563125,1.028070747266019,1.0394867389562332,1.0594440877991982
0.018,970.6174583996236,985.5905341938472,997.8717364082016,1008.2680760040864,1029.370214771982,1.0,1.0154263408973825,1.0280793197904305,1.0387903774845983,1.0605313204125046
0.019,974.5831639223428,989.796216095882,1001.9446728379646,1011.7638589529424,1034.682392057616,1.0,1.01560980400309,1.028075088846704,1.038150356385145,1.0616665979467526
0.02,978.3106199662684,993.7295131350992,1005.7616053727302,1015.0558164053268,1032.094710314037,1.0,1.015760733711919,1.0280595803073345,1.0375598462176823,1.0549764964726878
0.021,981.8247364474214,997.4166960474532,1009.3493572662516,1018.1651217364044,1033.972223649742,1.0,1.0158805935736035,1.0280341488628852,1.0370131082869993,1.053112826827941
0.022,985.1468107676814,1000.8806128380818,1012.7309129114828,1021.109872681712,1035.765559186045,1.0,1.0159710226926886,1.027999991313281,1.0365052817721718,1.0513819340072965
0.023,988.2951853018524,1004.1412728340543,1015.9261023673264,1023.9056541740032,1037.482070014833,1.0,1.016033759718623,1.0279581621730098,1.0360322193224836,1.0497694266293098
0.024,991.285762917135,1007.2163070212562,1018.9521416269092,1026.5659787319955,1039.128180838731,1.0,1.0160705870093818,1.027909589489471,1.0355903586378954,1.0482629930856733
0.025,994.1324156126602,1010.121335413786,1021.8240633521266,1029.1026349292954,1040.7095383650778,1.0,1.0160832898616148,1.0278550898296588,1.0351766211094564,1.0468520309980167
0.026,996.8473116827232,1012.8702635888226,1024.555063475815,1031.525965966399,1042.2311323832837,1.0,1.0160736270422919,1.0277953819691,1.0347883310485502,1.0455273542584476
0.027,999.4411800548352,1015.4755245591748,1027.1567824935653,1033.8450944634262,1043.697394133154,1.0,1.0160433098258568,1.0277310991300252,1.0344231507518065,1.0442809591614892
0.028,1001.9235256725063,1017.9482779643754,1029.6395355582556,1036.068105425858,1045.1122768958896,1.0,1.0159939874464101,1.0276627997801986,1.0340790278683527,1.0431058360411234
0.029,1004.3028063593192,1020.2985755698083,1032.012502075918,1038.202196354589,1046.4793225326544,1.0,1.0159272373921517,1.0275909770849379,1.0337541524136111,1.0419958163078609
0.03,1006.586579103186,1022.5354998989374,1034.283882995833,1040.2538013095798,1047.8017168150882,1.0,1.015844559352223,1.027516067139822,1.0334469214127506,1.040945447284448
0.031,1008.78162186087,1024.6672812376771,1036.4610321281984,1042.228694149019,1049.0823357418558,1.0,1.015747371911379,1.0274384561212258,1.0331559096273484,1.0399498890618608
0.032,1010.8940356139276,1026.7013970739283,1038.550566428386,1044.1320749870265,1050.3237845496842,1.0,1.0156370113019815,1.0273584864883116,1.032879845168849,1.0390048289401672
0.033,1012.9293303775828,1028.644657153684,1040.5584591310908,1045.9686430281747,1051.528430760835,1.0,1.0155147316844335,1.0272764623601223,1.0326175890654445,1.0381064100186177
0.034,1014.8924980821024,1030.5032766673985,1042.4901188111332,1047.7426582665082,1052.6984323297,1.0,1.0153817065500008,1.0271926541788254,1.032368118048448,1.0372511712511832
0.035,1016.7880746470466,1032.2829395696613,1044.3504568262151,1049.457994023779,1053.8357617364911,1.0,1.0152390309337502,1.027107302757004,1.0321305099767943,1.036435996854413
0.036,1018.6201931057326,1033.9888536411663,1046.1439451142894,1051.118181905856,1054.9422267094758,1.0,1.015087724197353,1.02702062279429,1.031903931435954,1.0356580733914167
0.037,1020.3926292766132,1035.625798595269,1047.874665940549,1052.7264504484524,1056.019488127084,1.0,1.014928733197,1.026932805937082,1.0316876271389392,1.0349148531930574
0.038,1022.108841195263,1037.198168290765,1049.5463548914447,1054.2857584821047,1057.0690755487449,1.0,1.0147629356946528,1.0268440234447986,1.031480910828649,1.0342040230398546
