strain,StrRt0.0001,StrRt0.001,StrRt0.01,StrRt0.1,StrRt1,ref_StrRt0.0001,ref_StrRt0.001,ref_StrRt0.01,ref_StrRt0.1,ref_StrRt1
0.013,945.9574334933444,959.1996127832124,972.323194873701,986.6609136535916,998.895183786526,1.6301679312123385,1.652988171588259,1.6756040334749214,1.7003122164588051,1.7213955275321662
0.014,951.6917962412458,965.3494742013168,978.2919128007552,991.6676687911638,1005.6042789105438,1.64004995542039,1.6635862244289361,1.6858899218358847,1.7089403548672764,1.7329573075144193
0.015,956.967804520141,971.0076573096449,983.7707545590044,996.282932608372,1011.9743073804748,1.6491420976210214,1.6733369683054984,1.69533160686129,1.7168938364960566,1.7439347741158953
0.016,961.8482433200307,976.2350824706992,988.8258428083828,1000.560365198102,1018.0397387574542,1.6575525551533905,1.6823453872455492,1.7040430376950781,1.724265133754063,1.7543873287125715
0.017,966.3841323024504,981.0820227699104,993.5112570422036,1004.5434902661232,1023.8299555107892,1.665369250172503,1.6906981168298982,1.712117409498695,1.7311292510198024,1.764365606097842
0.018,970.6174583996236,985.5905341938472,997.8717364082016,1008.2680760040864,1029.370214771982,1.672664538735849,1.6984676321173513,1.719631821221126,1.7375478275985141,1.7739131318727028
0.019,974.5831639223428,989.796216095882,1001.9446728379646,1011.7638589529424,1034.682392057616,1.679498636908633,1.7057152814542338,1.7266507103577615,1.7435721084550628,1.7830676041029967
0.02,978.3106199662684,993.7295131350992,1005.7616053727302,1015.0558164053268,1032.094710314037,1.6859221598840501,1.7124935301050062,1.7332284281212318,1.7492451369442779,1.778608253560142
0.021,981.8247364474214,997.4166960474532,1009.3493572662516,1018.1651217364044,1033.972223649742,1.691978034906846,1.718847650414666,1.7394111990101568,1.7546034011320775,1.7818437712715332
0.022,985.1468107676814,1000.8806128380818,1012.7309129114828,1021.109872681712,1035.765559186045,1.697702963778109,1.7248170163380538,1.7452386320164273,1.75967808883628,1.7849342254269476
0.023,988.2951853018524,1004.1412728340543,1015.9261023673264,1023.9056541740032,1037.482070014833,1.7031285559023737,1.730436109937638,1.7507449002697764,1.7644960575630326,1.7878922876056391
0.024,991.285762917135,1007.2163070212562,1018.9521416269092,1026.5659787319955,1039.128180838731,1.708282216682047,1.7357353146818155,1.7559596720818065,1.7690805934285,1.7907290294941511
0.025,994.1324156126602,1010.121335413786,1021.8240633521266,1029.1026349292954,1040.7095383650778,1.7131878517256953,1.740741548532397,1.7609088532305948,1.7734520116751735,1.7934541820601733
0.026,996.8473116827232,1012.8702635888226,1024.555063475815,1031.525965966399,1042.2311323832837,1.717866430648266,1.7454787749629794,1.765615184260029,1.7776281367348492,1.7960763442050844
0.027,999.4411800548352,1015.4755245591748,1027.1567824935653,1033.8450944634262,1043.697394133154,1.7223364426047105,1.749968419777782,1.770098725229837,1.7816246896138228,1.7986031522820345
0.028,1001.9235256725063,1017.9482779643754,1029.6395355582556,1036.068105425858,1045.1122768958896,1.7266142674590164,1.7542297143775485,1.7743772522373693,1.7854556031976476,1.801041418978369
0.029,1004.3028063593192,1020.2985755698083,1032.012502075918,1038.202196354589,1046.4793225326544,1.7307144805739676,1.7582799809641039,1.7784665841480543,1.789133280935705,1.8033972479815068
0.03,1006.586579103186,1022.5354998989374,1034.283882995833,1040.2538013095798,1047.8017168150882,1.7346501049027283,1.7621348714451992,1.782380853653331,1.7926688106400297,1.805676129329985
0.031,1008.78162186087,1024.6672812376771,1036.4610321281984,1042.228694149019,1049.0823357418558,1.7384328208945061,1.7658085690680796,1.7861327335703188,1.796072142397301,1.8078830192307396
0.032,1010.8940356139276,1026.7013970739283,1038.550566428386,1044.1320749870265,1050.3237845496842,1.7420731423675027,1.7693139597835816,1.7897336268946145,1.7993522375613564,1.8100224072868067
0.033,1012.9293303775828,1028.644657153684,1040.5584591310908,1045.9686430281747,1051.528430760835,1.7455805647279596,1.772662778823276,1.7931938272983228,1.802517194268883,1.8120983734480136
0.034,1014.8924980821024,1030.5032766673985,1042.4901188111332,1047.7426582665082,1052.6984323297,1.748963690566594,1.7758657368214956,1.7965226553754936,1.8055743537653028,1.8141146365159917
0.035,1016.7880746470466,1032.2829395696613,1044.3504568262151,1049.457994023779,1053.8357617364911,1.7522303366311196,1.7789326289340968,1.799728574866186,1.8085303909438875,1.816074595664818
0.036,1018.6201931057326,1033.9888536411663,1046.1439451142894,1051.118181905856,1054.9422267094758,1.7553876253756062,1.7818724297267197,1.8028192922586448,1.8113913918191116,1.8179813661516342
0.037,1020.3926292766132,1035.625798595269,1047.874665940549,1052.7264504484524,1056.019488127084,1.7584420636659426,1.7846933760767936,1.8058018425182591,1.814162920124816,1.819837810167336
0.038,1022.108841195263,1037.198168290765,1049.5463548914447,1054.2857584821047,1057.0690755487449,1.7613996107329555,1.7874030399187928,1.8086826631791304,1.8168500748120564,1.8216465636008565
0.039,1023.7720032970616,1038.710007922255,1051.1624381770723,1055.7988240559332,1058.0924007420383,1.76426573707941,1.7900083923343764,1.8114676586272547,1.8194575398934056,1.8234100593504994
0.04,1025.3850361627835,1040.1650469079295,1052.726065114828,1057.2681496084545,1059.0907695089047,1.7670454757405682,1.792515860227885,1.8141622560795905,1.8219896278197996,1.8251305477040392
0.041,1026.9506324969375,1041.5667280730424,1054.240136515905,1058.6960439527318,1060.0653920615523,1.769743467052647,1.7949313766182082,1.8167714545024904,1.8244503173675357,1.8268101142195166
0.042,1028.471279894081,1042.918233629275,1055.707329574001,1060.084641545846,1061.017392156617,1.7723639978859957,1.7972604254090079,1.8192998675024,1.8268432868453417,1.828450695466132
0.043,1029.9492808555144,1044.2225083704527,1057.1301197563844,1061.435919433938,1061.947815161924,1.7749110361398548,1.7995080813618836,1.821751761050717,1.8291719432957583,1.83005409292569
0.044,1031.3867704432405,1045.482280439965,1058.5108001165,1062.7517122000315,1062.8576352022894,1.7773882611654133,1.8016790458848557,1.8241310867651979,1.8314394482547138,1.8316219853069584
