PEEQ,C1,C2,R_squared
0.04,-4.370128942112387e-06,0.0008980221794284979,0.9359980002225997
0.041,-4.456524245279328e-06,0.0008952055122446634,0.9364052202256972
0.042,-4.539817012889162e-06,0.0008924769181544476,0.9367435816391083
0.043,-4.620174671125335e-06,0.0008898317183525749,0.9370214584799579
0.044,-4.697753409055987e-06,0.0008872655733045817,0.9372459959479001
0.045,-4.772699005790078e-06,0.0008847744523063258,0.9374233222353807
0.046,-4.845147587964133e-06,0.0008823546063143155,0.9375587187107373
0.047,-4.915226352242923e-06,0.0008800025434902302,0.937656757603151
0.048,-4.9830542176498005e-06,0.0008777150073484098,0.9377214141182939
0.049,-5.048742443174095e-06,0.0008754889569906328,0.937756158290636
0.05,-5.112395189595165e-06,0.0008733215493690087,0.9377640306670856
0.051,-5.174110040867241e-06,0.00087121012322072,0.9377477050064262
0.052,-5.23397848650437e-06,0.0008691521845699343,0.9377095404888659
0.053,-5.2920863659372726e-06,0.0008671453935723749,0.9376516254021755
0.054,-5.348514274882984e-06,0.0008651875525943714,0.9375758138647379
0.055,-5.403337949765173e-06,0.0008632765953656509,0.9374837568308673
0.056,-5.45662860886251e-06,0.0008614105771020287,0.9373769283780659
0.057,-5.508453276884616e-06,0.0008595876655724652,0.9372566480830629
0.058,-5.558875079475072e-06,0.0008578061328493119,0.9371241001407884
0.059,-5.607953516586695e-06,0.0008560643478154153,0.9369803497599334
0.06,-5.655744714905819e-06,0.00085436076935419,0.9368263572716151
0.061,-5.702301655631593e-06,0.0008526939400393073,0.9366629903105673
0.062,-5.747674393364863e-06,0.0008510624803881077,0.936491034365702
0.063,-5.791910249216197e-06,0.0008494650835930042,0.9363112019459068
0.064,-5.835054002201393e-06,0.0008479005106040282,0.9361241405664943
0.065,-5.8771480420879386e-06,0.0008463675857753851,0.9359304397271215
0.066,-5.918232537816422e-06,0.0008448651926444223,0.9357306370253637
0.067,-5.9583455780730305e-06,0.0008433922701769827,0.9355252235265781
0.068,-5.997523303469741e-06,0.0008419478092657748,0.9353146484924807
0.069,-6.035800032060808e-06,0.0008405308494592548,0.9350993235548513
0.07,-6.073208364956437e-06,0.000839140476047083,0.9348796264080151
0.071,-6.1097793099585895e-06,0.0008377758171701389,0.934655904082893
0.072,-6.145542361907326e-06,0.0008364360413408287,0.9344284758562791
0.073,-6.1805256030908885e-06,0.0008351203550151184,0.9341976358411761
0.074,-6.21475578577252e-06,0.0008338280003898574,0.9339636552979246
0.075,-6.2482584101497085e-06,0.0008325582533577072,0.933726784700154
0.076,-6.2810578013461565e-06,0.000831310421523864,0.9334872555849907
0.077,-6.313177175924294e-06,0.0008300838424911946,0.9332452822129901
0.078,-6.344638694899905e-06,0.0008288778822254446,0.9330010630600611
0.079,-6.375463532397882e-06,0.000827691933459856,0.9327547821606192
