Tmp298.15K_StrRt0.0001_RD_E,Tmp298.15K_StrRt0.0001_RD_S,Tmp298.15K_StrRt0.0001_RD_U,Tmp298.15K_StrRt0.0001_RD_L,Tmp298.15K_StrRt0.0001_DD_E,Tmp298.15K_StrRt0.0001_DD_S,Tmp298.15K_StrRt0.0001_DD_U,Tmp298.15K_StrRt0.0001_DD_L,Tmp298.15K_StrRt0.0001_TD_E,Tmp298.15K_StrRt0.0001_TD_S,Tmp298.15K_StrRt0.0001_TD_U,Tmp298.15K_StrRt0.0001_TD_L,Tmp298.15K_StrRt0.001_RD_E,Tmp298.15K_StrRt0.001_RD_S,Tmp298.15K_StrRt0.001_RD_U,Tmp298.15K_StrRt0.001_RD_L,Tmp298.15K_StrRt0.001_DD_E,Tmp298.15K_StrRt0.001_DD_S,Tmp298.15K_StrRt0.001_DD_U,Tmp298.15K_StrRt0.001_DD_L,Tmp298.15K_StrRt0.001_TD_E,Tmp298.15K_StrRt0.001_TD_S,Tmp298.15K_StrRt0.001_TD_U,Tmp298.15K_StrRt0.001_TD_L,Tmp298.15K_StrRt0.01_RD_E,Tmp298.15K_StrRt0.01_RD_S,Tmp298.15K_StrRt0.01_RD_U,Tmp298.15K_StrRt0.01_RD_L,Tmp298.15K_StrRt0.01_DD_E,Tmp298.15K_StrRt0.01_DD_S,Tmp298.15K_StrRt0.01_DD_U,Tmp298.15K_StrRt0.01_DD_L,Tmp298.15K_StrRt0.01_TD_E,Tmp298.15K_StrRt0.01_TD_S,Tmp298.15K_StrRt0.01_TD_U,Tmp298.15K_StrRt0.01_TD_L,Tmp298.15K_StrRt0.1_RD_E,Tmp298.15K_StrRt0.1_RD_S,Tmp298.15K_StrRt0.1_RD_U,Tmp298.15K_StrRt0.1_RD_L,Tmp298.15K_StrRt0.1_DD_E,Tmp298.15K_StrRt0.1_DD_S,Tmp298.15K_StrRt0.1_DD_U,Tmp298.15K_StrRt0.1_DD_L,Tmp298.15K_StrRt0.1_TD_E,Tmp298.15K_StrRt0.1_TD_S,Tmp298.15K_StrRt0.1_TD_U,Tmp298.15K_StrRt0.1_TD_L,Tmp298.15K_StrRt1_RD_E,Tmp298.15K_StrRt1_RD_S
0.004,844.9612,3.2872,2.8581,0.004,830.0339667,3.558533333,3.694266667,0.004,839.7509,11.1556,2.1355,0.004,854.9730849,3.434714804,6.990030127,0.004,841.2842245,7.718835346,4.370980921,0.004,843.2439998,10.72122578,6.214484746,0.01,949.9830247,4.908272709,3.58264783,0.01,939.5386537,4.343252839,2.520625723,0.01,968.0764664,6.805610616,4.656110687,0.02,1014.280585,5.347663652,2.784878587,0.02,1018.936495,2.876532671,3.787593933,0.02,1050.033619,1.041605014,1.437422786,0.01,981.0902
0.0042,849.2685667,3.228333333,2.744766667,0.0042,835.048,3.1855,3.4005,0.0042,845.2359667,10.70983333,2.018366667,0.0042,859.6347441,4.349479046,8.935064192,0.0042,846.406047,7.43155176,4.233592026,0.0042,849.3972668,10.32115613,5.572636659,0.0105,954.1401969,5.087117847,3.700443203,0.0105,943.7910575,4.38850381,2.490899057,0.0105,972.757112,6.602119284,4.520888238,0.021,1017.349406,5.375541175,3.0275355,0.021,1021.624416,2.836914736,3.694628126,0.021,1052.685122,1.231594004,1.507109229,0.0106,986.6612
0.0044,853.3019667,3.183533333,2.900266667,0.0044,839.8199,2.7884,3.0285,0.0044,850.6753667,10.47503333,2.236266667,0.0044,863.8706837,3.929819468,7.726132613,0.0044,851.2032235,7.272875967,4.120725034,0.0044,855.0290847,9.750510563,5.134949981,0.011,958.0794843,5.133833608,3.745448882,0.011,947.806284,4.431099261,2.474947386,0.011,977.1069775,6.422995032,4.347923445,0.022,1020.201689,5.474229779,3.163340891,0.022,1024.121309,2.631493908,3.526075774,0.022,1055.249391,1.370391633,1.58883973,0.0113,991.8962
0.0046,857.1531,3.0177,2.814,0.0046,844.2308667,2.755533333,3.020466667,0.0046,855.6032333,10.03636667,2.116533333,0.0046,869.3208894,3.825863572,5.895406147,0.0046,855.7104558,7.11143081,3.946122076,0.0046,860.5365592,9.433256186,4.619454214,0.0115,961.847814,5.239364886,3.800773795,0.0115,951.6298805,4.493161541,2.558242134,0.0115,981.1736766,6.316060907,4.264900611,0.023,1022.933203,5.56574608,3.261543348,0.023,1026.509564,2.435246912,3.3634972,0.023,1057.684912,1.500483636,1.656236469,0.012,996.7971
0.0048,860.9043,3.2711,3.0201,0.0048,848.5734,2.8943,3.2653,0.0048,860.6766,10.275,2.4325,0.0048,872.19303,3.716769402,7.178315727,0.0048,860.0857428,7.200934109,3.931870545,0.0048,865.8048999,9.079905295,4.727659865,0.012,965.4353199,5.305700312,3.843580088,0.012,955.1686747,4.566748555,2.598422684,0.012,984.9888928,6.233657775,4.034247522,0.024,1025.564825,5.622916032,3.335491335,0.024,1028.804483,2.253019458,3.2151681,0.024,1059.92805,1.500333944,1.621886372,0.0127,1001.3711
0.005,864.4417333,3.170466667,2.904833333,0.005,852.8269,2.3377,2.6809,0.005,865.3298333,10.04416667,2.438433333,0.005,875.4042322,4.478468018,8.009129931,0.005,864.324016,7.302789429,3.988110495,0.005,870.9178342,9.007716543,4.906653375,0.0125,968.8062755,5.370814459,3.936122605,0.0125,958.5277736,4.627849953,2.553966327,0.0125,988.6182105,6.090381551,3.841889416,0.025,1028.090306,5.646276071,3.388670012,0.025,1031.033275,2.061520044,3.033361158,0.025,1062.059487,1.46896937,1.576123424,0.0135,1005.6291
0.0052,867.7510667,3.494333333,3.052966667,0.0052,856.8079333,2.199166667,2.468033333,0.0052,869.8013333,10.06256667,2.595333333,0.0052,879.3814889,4.154912173,7.668640163,0.0052,868.3382542,7.166940596,3.99751815,0.0052,875.7893997,9.111100332,5.230475248,0.013,971.9627781,5.454202542,4.019324733,0.013,961.7396334,4.653445311,2.548848686,0.013,992.0185298,5.874726645,3.591480969,0.026,1030.51864,5.631596797,3.41735708,0.026,1033.181323,1.881243561,2.854865054,0.026,1064.131999,1.484291816,1.561629182,0.0142,1009.5851
0.0054,870.9156333,3.190666667,2.924133333,0.0054,860.5934667,1.956333333,2.324866667,0.0054,874.0362667,9.674133333,2.542666667,0.0054,882.7648434,3.213817452,6.316618181,0.0054,872.2733949,6.937948363,4.047827724,0.0054,880.4554892,8.775192293,5.260041457,0.0135,975.0356649,5.515394234,4.049134419,0.0135,964.7800192,4.705283226,2.572965161,0.0135,995.292144,5.776064965,3.423072145,0.027,1032.839209,5.545713246,3.412004555,0.027,1035.243762,1.695899593,2.687227143,0.027,1066.087151,1.50600673,1.598957865,0.015,1013.2549
0.0056,874.2890333,3.291466667,2.898033333,0.0056,864.2920333,1.648466667,2.265833333,0.0056,878.1378,9.6017,2.4244,0.0056,886.2006376,3.789744186,6.821759572,0.0056,875.9026546,6.700280169,3.991027429,0.0056,884.7916881,8.547490238,5.15704549,0.014,977.9994473,5.624419196,4.117571712,0.014,967.6246628,4.723199126,2.59273992,0.014,998.3680346,5.548592695,3.208510953,0.028,1035.094477,5.505732421,3.428655607,0.028,1037.226567,1.521789992,2.525591143,0.028,1067.997288,1.49296466,1.572131308,0.0158,1016.6556
0.0058,877.1099333,2.987966667,2.737033333,0.0058,867.5749667,1.673133333,2.232066667,0.0058,882.0644333,9.489466667,2.614033333,0.0058,889.0139136,4.777304469,8.108235101,0.0058,879.40648,6.600308647,4.002987166,0.0058,889.0555474,8.383764481,5.249409696,0.0145,980.8149088,5.692550978,4.180738558,0.0145,970.413466,4.703153561,2.535496679,0.0145,1001.310362,5.306058249,3.044327798,0.029,1037.296996,5.461808698,3.436312463,0.029,1039.092003,1.40965323,2.480919329,0.029,1069.849953,1.484463031,1.55188739,0.0166,1019.8057
0.006,880.1221667,3.232233333,2.908366667,0.006,870.9600333,1.499866667,2.286433333,0.006,885.8441667,9.241533333,2.562966667,0.006,892.6914455,3.45705472,6.384298885,0.006,882.8813008,6.594192141,4.094311956,0.006,893.0909343,8.159424905,5.285585242,0.015,983.5670933,5.753484449,4.248991142,0.015,973.0570524,4.715576278,2.555459816,0.015,1004.113317,5.174867643,2.894735779,0.03,1039.426232,5.420828917,3.445196544,0.03,1040.8568,1.420349497,2.397479807,0.03,1071.586508,1.533866752,1.651671909,0.0174,1022.724
0.0062,882.9863333,3.493966667,2.921633333,0.0062,874.256,1.3329,2.1037,0.0062,889.5397333,9.064066667,2.730833333,0.0062,895.0922988,3.754404569,6.793149419,0.0062,886.2287928,6.547061767,4.281977076,0.0062,897.0719135,8.12339721,5.286989649,0.0155,986.1927976,5.916618044,4.268328606,0.0155,975.5831969,4.726389538,2.572031716,0.0155,1006.784514,5.072921586,2.831826742,0.031,1041.491394,5.379573712,3.450080198,0.031,1042.657204,1.385187025,2.394652349,0.031,1073.30085,1.543115327,1.669270529,0.0182,1025.4294
0.0064,885.6179333,3.498566667,2.958533333,0.0064,877.3475667,0.735533333,1.915066667,0.0064,892.8533333,8.902566667,2.703933333,0.0064,897.5668393,4.019855464,7.899077502,0.0064,889.3720923,6.461700783,4.376162546,0.0064,900.9028051,7.941816507,5.214174505,0.016,988.7624469,5.932879793,4.312433132,0.016,978.0119745,4.70696675,2.563220416,0.016,1009.339927,4.886869059,2.702975786,0.032,1043.490335,5.326616955,3.441581578,0.032,1044.400559,1.285109034,2.405603458,0.032,1074.950817,1.56279886,1.703157178,0.019,1027.9393
