Tmp573.15K_StrRt0.0001_RD_E,Tmp573.15K_StrRt0.0001_RD_S,Tmp573.15K_StrRt0.001_RD_E,Tmp573.15K_StrRt0.001_RD_S,Tmp573.15K_StrRt0.01_RD_E,Tmp573.15K_StrRt0.01_RD_S,Tmp573.15K_StrRt0.1_RD_E,Tmp573.15K_StrRt0.1_RD_S
0.036080476,1058.98999,0.022204718,1011.198975,0.018652884,988.1235352,,
0.03627057,1059.748413,0.022308107,1011.68158,0.018748537,988.4962158,,
0.036386732,1060.460083,0.02241154,1012.093384,0.018888375,988.9230957,,
0.036585301,1061.015015,0.022525698,1012.441895,0.018997623,989.336792,,
0.036778539,1061.684448,0.022626627,1012.900146,0.019051949,989.6657104,,
0.036972664,1062.14917,0.02272342,1013.209473,0.019107779,990.0062866,,
0.037171483,1062.463257,0.022829173,1013.650024,0.019208193,990.3788452,,
0.037363272,1062.758911,0.022928026,1014.034241,0.019347016,990.7833252,,
0.037552435,1062.952148,0.0230338,1014.475159,0.019441813,991.1732788,,
0.037752517,1063.083374,0.023139566,1014.884033,0.019495882,991.4956055,,
0.037946027,1063.287354,0.023239506,1015.309448,0.019571632,991.836853,,
0.038122855,1063.556641,0.02333544,1015.769104,0.019683175,992.2260132,,
0.038316466,1063.922974,0.023434278,1016.116943,0.019812685,992.5910645,,
0.03851223,1064.444336,0.023535615,1016.570435,0.019898171,992.918457,,
0.038706295,1064.911743,0.023633128,1016.865417,0.019962009,993.2133789,,
0.038864594,1065.254761,0.023729688,1017.23645,0.020055069,993.5348511,,
0.039057255,1065.660522,0.023832312,1017.586731,0.020165401,993.9036255,,
0.039256752,1066.152832,0.023931263,1018.053467,0.020272739,994.2471924,,
0.039451487,1066.839111,0.024039041,1018.437012,0.020356975,994.5564575,,
0.039627954,1066.190674,0.024137449,1018.82428,0.020418635,994.8903809,,
0.039829217,1067.570557,0.024241714,1019.205811,0.020528713,995.2214966,,
0.039941713,1067.636475,0.024341328,1019.559509,0.020637475,995.5576782,,
0.040135399,1069.267456,0.024446631,1020.033691,0.020722952,995.9051514,,
0.040300235,1070.455688,0.024544142,1020.306641,0.020788394,996.2000122,,
0.040483195,1070.217285,0.02464335,1020.66864,0.020861611,996.545105,,
0.040672876,1071.122925,0.024748765,1021.059204,0.020999646,996.9385986,,
0.040842108,1071.729248,0.024856938,1021.40979,0.021118958,997.2794189,,
0.041038029,1072.146362,0.024957845,1021.711975,0.021188965,997.6051636,,
0.041230805,1072.324585,0.02505653,1022.120605,0.021261578,997.9311523,,
0.041424796,1072.490234,0.02515934,1022.414795,0.021340596,998.2160645,,
0.041617222,1072.725952,0.025262618,1022.782959,0.021464897,998.5932007,,
0.041810695,1072.955444,0.025362331,1023.14032,0.021569494,998.9325562,,
0.042006433,1073.095337,0.025458563,1023.585571,0.021641357,999.2520142,,
0.042163637,1073.516113,0.025563266,1023.918091,0.021729395,999.5968018,,
0.042357147,1073.856323,0.025674222,1024.269287,0.021809459,999.9011841,,
0.042558368,1074.128174,0.025775997,1024.61792,0.021927334,1000.270325,,
0.042754039,1074.713745,0.025874307,1024.93457,0.022024268,1000.606689,,
0.042918321,1075.197876,0.025973145,1025.359497,0.022089181,1000.890442,,
0.043115649,1075.701538,0.026074635,1025.584717,0.022180373,1001.206299,,
0.043309163,1076.106567,0.026177671,1025.993286,0.022282669,1001.527405,,
0.043465152,1076.722534,0.026276655,1026.270386,0.022416199,1001.884094,,
0.0436575,1077.308105,0.026374357,1026.640869,0.022520037,1002.212646,,
0.043846525,1077.925659,0.026482463,1027.00061,0.022583429,1002.459595,,
0.044036195,1078.559692,0.026582936,1027.38269,0.022673108,1002.768311,,
0.044236176,1078.63269,0.026680266,1027.655151,0.022771509,1003.069763,,
0.044406336,1079.389038,0.02677593,1028.047607,0.022890914,1003.382629,,
0.04460803,1079.727417,0.026876071,1028.348389,0.022982497,1003.69696,,
0.044784456,1080.13562,0.026980286,1028.645142,0.023052845,1003.96283,,
0.044975512,1079.708496,0.027088432,1028.980225,0.023161538,1004.274841,,
0.045165349,1080.330322,0.027190872,1029.368774,0.023262171,1004.588684,,
0.045335121,1080.692993,0.027288361,1029.658569,0.023374544,1004.877869,,
0.04552957,1080.912354,0.027392276,1029.955688,0.023460567,1005.153137,,
0.045720659,1081.104614,0.027494472,1030.244751,0.023537375,1005.447998,,
0.045897763,1081.477295,0.027590021,1030.616577,0.023641787,1005.73291,,
