PEEQ,C1,C2,C3,C4,R_squared
0.049,6.6110436893386085e-06,0.0011182985469132226,-1.5251316030664664e-05,1.320747481776805e-07,0.9913941750988302
0.05,8.332838735556544e-05,0.0010982308718799163,-0.08106463094161925,-5.678824174447039e-06,1.0
0.051,8.359721563342955e-05,0.0010954742186209505,-0.08217824523934696,-5.8780443875790974e-06,1.0
0.052,8.381980609318411e-05,0.0010927825340787168,-0.08323301863071528,-6.070025114151753e-06,1.0
0.053,8.400183675542353e-05,0.0010901530369649697,-0.08423453309527913,-6.255256535598672e-06,1.0
0.054,8.414813833548611e-05,0.0010875831165488342,-0.08518761127795307,-6.434177980060339e-06,1.0
0.055,5.469599002806854e-06,0.0011069671429284104,9.685851958545007e-07,4.8479104807648615e-08,0.9850342479715407
0.056,8.434953042664486e-05,0.0010826123359955076,-0.08696472280673419,-6.774636309027246e-06,1.0
0.057,8.44112732522122e-05,0.0010802069920899295,-0.08779566819881288,-6.936856700932221e-06,1.0
0.058,8.44507645443258e-05,0.0010778522363073322,-0.08859215234837309,-7.094143122539493e-06,1.0
0.059,8.447035486654549e-05,0.0010755461322437404,-0.089356726193245,-7.246767115763073e-06,1.0
0.06,8.447210819603739e-05,0.001073286849942407,-0.09009166991231549,-7.394977925149439e-06,1.0
0.061,4.4946506743025084e-06,0.0010969891240729778,-4.589549434029272e-06,-2.452454235720975e-08,0.9776907215989306
0.062,8.442917071346414e-05,0.0010689019183447925,-0.09148065066496336,-7.679060018998196e-06,1.0
0.063,4.1878811669121315e-06,0.0010939141752851495,1.0132867056370006e-06,-4.6891384319259314e-08,0.9750787743353646
0.064,8.433415354940372e-05,0.0010646846593817042,-0.09277318733815548,-7.948023383114054e-06,1.0
0.065,8.427021483265189e-05,0.0010626352678621246,-0.09338699228524318,-8.077282133692566e-06,1.0
0.066,3.759696405800066e-06,0.001089508152590769,7.153890081134529e-12,-7.882703534838964e-08,0.9710397087870197
0.067,8.411456787477304e-05,0.0010586483095990117,-0.09455596929901232,-8.326140571611817e-06,1.0
0.068,8.402458920727441e-05,0.001056708275563003,-0.09511334520465063,-8.446023804541671e-06,1.0
0.069,3.3582457861302747e-06,0.0010853286748478798,-3.8144579168857185e-06,-1.0899444585084175e-07,0.966879506450997
0.07,3.232049424340933e-06,0.0010839821736037345,-7.630831639822291e-06,-1.186870817409009e-07,0.9654701041838772
0.071,8.371469812931009e-05,0.001051088353445331,-0.09668845619786605,-8.789005933540214e-06,1.0
0.072,8.360009830957675e-05,0.00104927829693296,-0.09718391271327313,-8.89815407647543e-06,1.0
0.073,2.8545908343181864e-06,0.0010800728059780643,-7.630830083614412e-06,-1.4675347868938564e-07,0.9611852771022819
0.074,2.7286694880042196e-06,0.001078810922710707,-3.5613719251244084e-06,-1.557889767411553e-07,0.9597406037470129
0.075,8.322936609252428e-05,0.0010440245638688099,-0.09859149618890933,-9.211461771735955e-06,1.0
0.076,8.309818231386283e-05,0.001042329235182182,-0.09903647437650619,-9.311481778172626e-06,1.0
0.077,8.296379192524502e-05,0.0010406605084666422,-0.09947026495040501,-9.40942990946192e-06,1.0
0.078,8.282650682935193e-05,0.001039017621348715,-0.09989336626177069,-9.505381274825437e-06,1.0
0.079,2.138385692087169e-06,0.0010727848670298288,7.627963055352214e-06,-1.9877752038627266e-07,0.952424163336266
