PEEQ,CT1
0.73,2.429253342283784
0.74,2.43746853184415
0.75,2.4456324263392974
0.76,2.4537450679904214
0.77,2.461806493177613
0.78,2.469816733239054
0.79,2.4777758151623646
0.8,2.485683762182401
0.81,2.4935405942979583
0.82,2.5013463287181823
0.83,2.509100980248126
0.84,2.516804561621615
0.85,2.5244570837885223
0.86,2.5320585561626165
0.87,2.5396089868353244
0.88,2.547108382760035
0.89,2.5545567499109647
0.9,2.5619540934200473
0.91,2.5693004176948646
0.92,2.576595726520214
0.93,2.5838400231455685
0.94,2.591033310360365
0.95,2.5981755905588217
0.96,2.6052668657957234
0.97,2.61230713783444
0.98,2.619296408188272
0.99,2.626234678156071
1.0,2.6331219488529447
1.01,2.6399582212367827
1.02,2.6467434961312226
1.03,2.6534777742456335
1.04,2.660161056192606
1.05,2.666793342503446
1.06,2.673374633642105
1.07,2.6799049300180053
1.08,2.686384231998235
1.09,2.6928125399196365
1.1,2.699189854101384
1.11,2.70551617485881
1.12,2.711791502519383
1.13,2.718015837442044
1.14,2.724189180041469
1.15,2.730311530819326
1.16,2.7363828904053364
1.17,2.7424032596118546
1.18,2.7483726395070467
1.19,2.754291031513479
1.2,2.7601584375413415
1.21,2.7659748601687664
1.22,2.771740302886096
1.23,2.777454770426839
1.24,2.783118269216005
1.25,2.7887308079772115
1.26,2.7942923985542816
1.27,2.7998030570223196
1.28,2.805262805188992
1.29,2.810671672621185
1.3,2.816029699378106
1.31,2.8213369396930217
1.32,2.8265934669269983
1.33,2.8317993802254255
1.34,2.8369548134500717
1.35,2.8420599471460144
1.36,2.8471150245473393
1.37,2.8521203729441718
1.38,2.8570764321461724
1.39,2.861983792307687
1.4,2.866843244053093
1.41,2.871655844684408
1.42,2.8764230052881237
1.43,2.881146604790086
1.44,2.8858291384038512
1.45,2.89047390937004
1.46,2.8950852741336837
1.47,2.899668951620412
1.48,2.904232406026977
1.49,2.9087853076676065
1.5,2.913340064643056
1.51,2.9179123939565947
1.52,2.922521855586095
1.53,2.9271921945989217
1.54,2.9319512098546157
1.55,2.936829682604356
1.56,2.9418586672013722
1.57,2.9470642467624577
1.58,2.9524588974004042
1.59,2.9580292789855362
1.6,2.963722064238243
1.61,2.9694324283553892
1.62,2.9750028156457273
1.63,2.9802394568848176
1.64,2.9849476355602205
1.65,2.988975296530974
1.66,2.9922465847725044
1.67,2.994770773577832
1.68,2.9966258922818483
1.69,2.99792874785701
1.7,2.998805513703935
1.71,2.999371393421814
1.72,2.9997208206799764
1.73,2.9999255551286574
1.74,3.000037147138908
1.75,3.000091042296852
1.76,3.000110742882209
1.77,3.0001113294375163
1.78,3.0001021653804236
