PEEQ,CT1,CT2,CT3,CT4,CT5,CT6
0.061,1.8001198083479877,0.0024531481223507424,0.013166183166376456,0.6374744836336546,592.6211134682676,592.6211134682676
0.062,1.800339182574237,0.0024557332238160233,0.013765597254569002,0.6367300364189266,592.5892313026405,592.5892313026405
0.063,1.8005585568016236,0.002458470358778406,0.014357143806864994,0.6360061746957542,592.5574278640846,592.5574278640846
0.064,1.800777931029773,0.0024613519187571572,0.014940782243594625,0.6353028604717836,592.5257030429392,592.5257030429392
0.065,1.800997305258433,0.0024643705491676324,0.015516472942841645,0.6346200529887007,592.4940567296173,592.4940567296173
0.066,1.8012166794874354,0.0024675191419818465,0.016084177243968004,0.6339577087369601,592.4624888146059,592.4624888146059
0.067,1.8014360537166676,0.002470790828586028,0.01664385745103643,0.6333157814709369,592.4309991884655,592.4309991884655
0.068,1.8016554279460535,0.0024741789728301026,0.01719547683613104,0.632694222224502,592.3995877418298,592.3995877418298
0.069,1.801874802175543,0.0024776771642642105,0.01773899964257517,0.6320929793270118,592.3682543654068,592.3682543654068
0.07,1.8020941764051013,0.0024812792115574125,0.01827439108804644,0.6315119984197172,592.3369989499776,592.3369989499776
0.071,1.802313550634706,0.0024849791360939274,0.01880161736758866,0.63095122247258,592.305821386397,592.305821386397
0.072,1.8025329248643418,0.0024887711657423203,0.019320645656520176,0.6304105918015013,592.274721565594,592.274721565594
0.073,1.8027522990939984,0.002492649728793186,0.01983144411323858,0.6298900440859528,592.2436993785701,592.2436993785701
0.074,1.8029716733236691,0.0024966094480610053,0.020333981881921218,0.6293895143870114,592.2127547164014,592.2127547164014
0.075,1.8031910475533488,0.0025006451351459115,0.020828229095121577,0.6289089351657904,592.1818874702369,592.1818874702369
0.076,1.8034104217830356,0.002504751784851248,0.02131415687626102,0.6284482363022681,592.1510975312993,592.1510975312993
0.077,1.8036297960127257,0.0025089245697529016,0.021791737342015723,0.6280073451145043,592.1203847908852,592.1203847908852
0.078,1.8038491702424189,0.002513158834916481,0.022260943604598626,0.627586186378248,592.0897491403643,592.0897491403643
0.079,1.804068544472114,0.0025174500927585006,0.022721749773936168,0.6271846823469258,592.05919047118,592.05919047118
0.08,1.8042879187018106,0.002521794018047858,0.023174130959739383,0.6268027527720126,592.0287086748493,592.0287086748493
0.081,1.804507292931508,0.002526186443043957,0.023618063273469634,0.6264403149237773,591.9983036429624,591.9983036429624
0.082,1.8047266671612059,0.0025306233527679326,0.024053523830198167,0.6260972836124022,591.9679752671833,591.9679752671833
0.083,1.8049460413909038,0.002535100880403514,0.024480490750360028,0.6257735712094694,591.9377234392493,591.9377234392493
0.084,1.8051654156206025,0.0025396153028241744,0.02489894316140134,0.6254690876698124,591.9075480509714,591.9075480509714
0.085,1.805384789850301,0.0025441630362432457,0.025308861199320642,0.625183740553728,591.8774489942339,591.8774489942339
0.086,1.80560416408,0.002548740631983846,0.025710226010103462,0.6249174350495457,591.8474261609945,591.8474261609945
0.087,1.8058235383096988,0.00255334477236544,0.026103019751050494,0.6246700739965456,591.8174794432841,591.8174794432841
0.088,1.806042912539398,0.0025579722667040316,0.026487225591998752,0.6244415579082283,591.787608733208,591.787608733208
0.089,1.8062622867690967,0.002562620047423005,0.026862827716436152,0.6242317849959267,591.7578139229437,591.7578139229437
0.09,1.8064816609987955,0.00256728516627171,0.02722981132250895,0.6240406511927548,591.7280949047428,591.7280949047428
0.091,1.8067010352284947,0.002571964790649002,0.027588162623922195,0.6238680501778961,591.6984515709302,591.6984515709302
0.092,1.8069204094581934,0.0025766562000289466,0.02793786885073309,0.6237138734012169,591.6688838139041,591.6688838139041
0.093,1.8071397836878926,0.0025813567824860568,0.028278918250037005,0.62357801010821,591.6393915261363,591.6393915261363
0.094,1.8073591579175916,0.002586064031317394,0.02861130008654653,0.6234603473652566,591.6099746001718,591.6099746001718
0.095,1.8075785321472906,0.002590775541759055,0.028935004643062957,0.6233607700852063,591.5806329286287,591.5806329286287
0.096,1.8077979063769898,0.002595489007794498,0.02925002322084051,0.6232791610532686,591.551366404199,591.551366404199
0.097,1.8080172806066885,0.0026002022190523334,0.029556348139843355,0.6232154009532125,591.5221749196478,591.5221749196478
0.098,1.8082366548363877,0.0026049130577912,0.029853972738895097,0.6231693683938665,591.4930583678133,591.4930583678133
0.099,1.8084560290660865,0.002609619495969448,0.030142891375720935,0.6231409399359189,591.4640166416073,591.4640166416073
0.1,1.8086754032957857,0.002614319592397354,0.030423099426882483,0.6231299901190087,591.4350496340148,591.4350496340148
0.11,1.8108691455927755,0.0026606014854843383,0.0327458083711941,0.6239528265247247,591.1494655909424,591.1494655909424
0.12,1.8130628878897657,0.0027046616208120434,0.03419991741124591,0.6263716031370637,590.871236236743,590.871236236743
0.13,1.8152566301867559,0.002745624179959372,0.03479748528734831,0.6302320505548828,590.6002557646245,590.6002557646245
0.14,1.817450372483746,0.0027830327302621966,0.034560457608485196,0.6353663142864221,590.3364190988628,590.3364190988628
0.15,1.8196441147807363,0.0028167212228550715,0.03352037042574847,0.6415962512608964,590.0796218939068,590.0796218939068
0.16,1.8218378570777263,0.0028467191219224432,0.031717953197359317,0.6487368378527757,589.8297605335114,589.8297605335114
0.17,1.8240315993747163,0.002873182302281117,0.029202635384556336,0.6565996299284252,589.5867321298945,589.5867321298945
0.18,1.8262253416717065,0.0028963433081512597,0.02603196191073356,0.664996214906193,589.3504345229205,589.3504345229205
0.19,1.8284190839686967,0.0029164760784383594,0.022270923655260705,0.6737415963196964,589.1207662793081,589.1207662793081
0.2,1.8306128262656869,0.0029338714112810433,0.017991210028769505,0.682657452879589,588.8976266918609,588.8976266918609
0.21,1.832806568562677,0.002948820339849698,0.01327039147936202,0.6915752165141306,588.6809157787225,588.6809157787225
0.22,1.8350003108596673,0.0029616032824355733,0.008191040500942704,0.7003389172896787,588.4705342826516,588.4705342826516
0.23,1.8371940531566577,0.0029724833595976318,0.0028398003482927956,0.7088077474092255,588.266383670321,588.266383670321
0.24,1.8393877954536477,0.002981702676055225,-0.0026935887979144656,0.7168583015861446,588.0683661316355,588.0683661316355
0.25,1.841581537750638,0.002989480673562727,-0.008317296034741819,0.7243864569037014,587.87638457907,587.87638457907
0.26,1.8437752800476281,0.0029960138952861036,-0.013938427794488208,0.7313088616989895,587.6903426470285,587.6903426470285
0.27,1.8459690223446183,0.0030014766793865495,-0.019464067016219493,0.7375640099428934,587.5101446912194,587.5101446912194
0.28,1.8481627646416088,0.003006022432909678,-0.024802312577011404,0.7431128849070622,587.3356957880496,587.3356957880496
0.29,1.8503565069385992,0.0030097852369783957,-0.029863308125881304,0.747939163489959,587.1669017340366,587.1669017340366
0.3,1.8525502492355894,0.003012881608648616,-0.03456024957247483,0.7520489802877075,587.0036690452359,587.0036690452359
0.31,1.8547439915325796,0.0030154122997419976,-0.03881036070234484,0.7554702582104076,586.8459049566846,586.8459049566846
0.32,1.8569377338295698,0.0030174640532363486,-0.042535826718850527,0.7582516200296581,586.6935174218595,586.6935174218595
0.33,1.8591314761265603,0.0030191112669919226,-0.04566467594494897,0.760460902569223,586.5464151121511,586.5464151121511
0.34,1.8613252184235507,0.003020417535490818,-0.048131600452002765,0.7621833021936466,586.404507416349,586.404507416349
0.35,1.863518960720541,0.0030214370549805645,-0.04987870701170129,0.7635191866911438,586.267704440143,586.267704440143
0.36,1.8657127030175316,0.0030222158875489254,-0.05085619048484033,0.7645816144778664,586.1359170056339,586.1359170056339
0.37,1.8679064453145218,0.003022793086432439,-0.051022922559648784,0.7654936071715495,586.0090566508582,586.0090566508582
0.38,1.870100187611512,0.003023201689194577,-0.050346949624398556,0.766385225906545,585.8870356293216,585.8870356293216
0.39,1.8722939299085026,0.0030234695879898,-0.04880589449522617,0.7673905052158023,585.7697669095464,585.7697669095464
0.41,1.876681414502483,0.003023673561386485,-0.04308861514074696,0.7702791092930095,585.5491418217798,585.5491418217798
0.42,1.8788751567994737,0.0030236460188050015,-0.038917709722926616,0.7724219178561831,585.4456149619466,585.4456149619466
0.43,1.881068899096464,0.0030235515904716145,-0.03389243623754213,0.7751911426374982,585.3464994193433,585.3464994193433
0.44,1.8832626413934546,0.003023401945068345,-0.028040719127583887,0.778693711600406,585.2517117310634,585.2517117310634
0.45,1.8854563836904448,0.003023206844370081,-0.021400284479784135,0.7830223464523808,585.1611691466685,585.1611691466685
0.46,1.8876501259874354,0.00302297444540871,-0.01401832837186821,0.7882530942032049,585.0747896277886,585.0747896277886
0.47,1.8898438682844259,0.0030227115568998318,-0.005951084862019687,0.7944431548702386,584.9924918477271,584.9924918477271
0.48,1.8920376105814163,0.0030224238563548193,0.002736702066919762,0.8016290467605868,584.9141951910715,584.9141951910715
0.49,1.8942313528784067,0.003022116073521331,0.011972397303325059,0.8098251449797926,584.8398197533063,584.8398197533063
