PEEQ,C1,C2,C3,C4,R_squared
0.019,1.0,-0.02120822318257894,0.6194084035883396,0.07282607943905207,0.9911418972443721
0.02,1.0,-0.021072440259230375,0.6236139371154445,0.07124101961254478,0.9923975650834002
0.021,1.0,-0.020892063869080088,0.6274845465742641,0.0696109865917637,0.9935752704253495
0.022,1.0,-0.020672899230251604,0.6310675759079475,0.06795124394109879,0.9946630988646039
0.023,1.0,-0.020419766096916307,0.6344024312295715,0.06627363835095372,0.9956532707526949
0.024,1.0,-0.020136838501026603,0.6375224149382576,0.06458782944557005,0.9965411864560219
0.025,1.0,-0.019827568604148228,0.6404553353766997,0.06290113795323403,0.9973246654689453
0.026,1.0,-0.019494846061316105,0.643224581861878,0.06121914693441696,0.9980033446589599
0.027,1.0,-0.01914112543198833,0.645849978837251,0.05954616064292597,0.9985782056297146
0.028,1.0,-0.018768411034660922,0.6483482204613513,0.05788521679743429,0.9990512059409895
0.029,1.0,-0.018378381789228904,0.6507335351991539,0.05623850512001292,0.9994249932969398
0.03,1.0,-0.017972372529744977,0.6530179734559881,0.05460735222705052,0.999702685622358
0.031,1.0,-0.017551474017445244,0.6552118827920648,0.052992537187642415,0.9998877031876294
0.032,1.0,-0.017116532605608508,0.6573241133703129,0.05139430849703731,0.9999836416398464
0.033,0.6590556091905027,-0.023309801077674504,1.0,0.03926500490963234,0.9999975192824397
0.034,0.6610607490818119,-0.022638225329620447,1.0,0.038140811650885634,0.9999358712430276
0.035,0.6630012531917234,-0.021956572039753017,1.0,0.03701823110490558,0.9997943285446104
0.036,1.0,0.03742126400722314,0.6633676682632093,-0.03597265070305511,0.9997565395150296
0.037,1.0,0.03656749547366549,0.6653571994391848,-0.03505213407359785,0.9995107033764647
0.038,1.0,0.03570819107611661,0.6672862534671457,-0.03412390454211753,0.9991863482731024
0.039,1.0,0.03484278714101176,0.6691586620573718,-0.033186848318419164,0.9987876707587995
0.04,0.6718950944662908,-0.018384867306179963,1.0,0.03141215968394608,0.9980155861268236
0.041,0.6735374445720783,-0.01763284093062723,1.0,0.0302856828802231,0.9974692326653496
0.042,1.0,0.03220129218885868,0.6744686573482631,-0.030308339250804544,0.9971850008411512
0.043,1.0,0.03130148014516761,0.6761453849043999,-0.029320095096355074,0.9965274386743626
0.044,0.6782395097536631,-0.015277902155758931,1.0,0.026866594143661708,0.9955031752105131
0.045,1.0,0.02946413209551606,0.6793738523375914,-0.02728737293630277,0.995047469909335
0.046,1.0,0.028521681766044957,0.6809292020059606,-0.02623614414484013,0.994231217496681
0.047,0.6826466138996573,-0.012729986680482815,1.0,0.02333732722459408,0.993101102057767
0.048,0.684057938545105,-0.01182327877649606,1.0,0.02212059893276193,0.9922144358094053
0.049,0.6854422040230549,-0.010879361943801825,1.0,0.020874541647793635,0.991288286994743
0.05,1.0,0.024517580032006943,0.6867972120995673,-0.021692547611803784,0.9905228168413961
0.051,1.0,0.02343313492947586,0.6881828707837898,-0.020437226177267325,0.9894975260337555
0.052,0.6894515708194981,-0.007758673569766,1.0,0.016895142984123798,0.9882918091122873
0.053,1.0,0.021102049716211935,0.6908631211514497,-0.01769709359727017,0.9873453017984832
