Strain,stress_strRt_0.0001,Extrapolated,Stress 298,Stress 473,Stress,Stress_Product
0.086,1.041825261,1104.34547,1070.541457,1118.634824,1066.0648036558334,1110.6532423116525
0.087,1.041706596,1105.25878,1071.171839,1119.485888,1066.721923179826,1111.21126347423
0.088,1.041573484,1106.14524,1071.793568,1120.326427,1067.3719307304225,1111.7463006146927
0.089,1.041425787,1107.00511,1072.406858,1121.156685,1068.0149827991734,1112.2583439894206
0.09,1.041263366,1107.5935,1073.011916,1121.976902,1068.651230723539,1112.7473775832345
0.091,1.041086084,1107.8386,1073.608942,1122.787307,1069.2808209117363,1113.2133825393048
0.092,1.040893798,1108.64594,1074.198129,1123.588121,1069.9038950554284,1113.6563288192383
0.093,1.040686365,1109.42731,1074.779661,1124.379561,1070.5205903310332,1114.0761818092572
0.094,1.04046364,1110.18291,1075.35372,1125.161833,1071.131039590379,1114.4729003691898
0.095,1.040225476,1110.9129,1075.920479,1125.935139,1071.7353715413776,1114.8464370076665
0.096,1.039971726,1111.61743,1076.480105,1126.699673,1072.333710919333,1115.1967401927639
0.097,1.039702238,1112.29665,1077.03276,1127.455624,1072.9261786494694,1115.5237491506412
0.098,1.039416859,1112.95068,1077.578603,1128.203174,1073.512892001207,1115.8273982999008
0.099,1.039115436,1113.57965,1078.117784,1128.942499,1074.093964734691,1116.107618470257
0.1,1.038797811,1114.18365,1078.65045,1129.673773,1074.6695072400291,1116.3643316693908
0.11,1.034694401,1114.76278,1083.648056,1136.577826,1080.1428928594555,1117.6178035216217
0.12,1.028781082,1114.95855,1088.126431,1142.831945,1085.16404008457,1116.3962353056952
0.13,1.020859448,1115.31713,1092.176351,1148.543967,1089.8036572855792,1112.5363600049375
0.14,1.01070045,1115.84677,1095.867223,1153.797228,1094.1169550296966,1105.8244988011443
0.15,0.998040095,1116.35176,1099.253234,1158.657425,1098.147882421525,1095.9956168960277
0.16,0.98257498,1116.83216,1102.377448,1163.177241,1101.932005542851,1082.7308183076266
0.17,0.963957541,1117.288,1105.274624,1167.399553,1105.498519553348,1065.6536344877857
0.18,0.941790887,1117.71933,1107.973194,1171.359709,1108.8716900164402,1044.3252525097723
0.19,0.915623144,1118.12617,1110.496697,1175.087185,1112.0719075845818,1018.2387763766723
0.2,0.884941169,1118.50854,1112.864824,1178.606808,1115.116474342227,986.812476375569
0.21,0.849163535,1118.86645,1115.094205,1181.939682,1118.02019988373,949.3819851346747
0.22,0.807632652,1119.19989,1117.199003,1185.10389,1120.7958598988562,905.1913326807337
0.23,0.759605893,1119.44389,1119.191375,1188.115044,1123.4545536990863,853.382699507511
0.24,0.704245571,1119.50887,1121.081825,1190.98671,1126.0059863196377,792.9847287850914
0.25,0.640607604,1119.79337,1122.879493,1193.730749,1128.458693545716,722.8992198852915
0.26,0.567628695,1120.05337,1124.592371,1196.357592,1130.820223201517,641.8860075754858
0.27,0.484111826,1120.28883,1126.22749,1198.876455,1133.0972825363422,548.5457944843065
0.28,0.388709845,1120.49973,1127.791066,1201.295524,1135.2958590529304,441.30067740160644
