Strain,Stress,delT,Rate,I_Temp,Temp
0.51,1151.9364166524765,0,0.0001,298.0,298.0
0.52,1152.6690169731771,0,0.0001,298.0,298.0
0.53,1153.384783045881,0,0.0001,298.0,298.0
0.54,1154.0844082484432,0,0.0001,298.0,298.0
0.55,1154.7685452347534,0,0.0001,298.0,298.0
0.56,1155.4378090153875,0,0.0001,298.0,298.0
0.57,1156.0927797549462,0,0.0001,298.0,298.0
0.58,1156.7340053166008,0,0.0001,298.0,298.0
0.59,1157.362003580609,0,0.0001,298.0,298.0
0.6,1157.977264560334,0,0.0001,298.0,298.0
0.61,1158.5802523364953,0,0.0001,298.0,298.0
0.62,1159.1714068279705,0,0.0001,298.0,298.0
0.63,1159.7511454153369,0,0.0001,298.0,298.0
0.64,1160.3198644315298,0,0.0001,298.0,298.0
0.65,1160.8779405323749,0,0.0001,298.0,298.0
0.66,1161.4257319583603,0,0.0001,298.0,298.0
0.67,1161.9635796977832,0,0.0001,298.0,298.0
0.68,1162.4918085603188,0,0.0001,298.0,298.0
0.69,1163.01072816912,0,0.0001,298.0,298.0
0.7,1163.5206338787093,0,0.0001,298.0,298.0
0.71,1164.021807625183,0,0.0001,298.0,298.0
0.72,1164.5145187145995,0,0.0001,298.0,298.0
0.73,1164.9990245548286,0,0.0001,298.0,298.0
0.74,1165.475571335635,0,0.0001,298.0,298.0
0.75,1165.9443946613007,0,0.0001,298.0,298.0
0.76,1166.405720139676,0,0.0001,298.0,298.0
0.77,1166.8597639312002,0,0.0001,298.0,298.0
0.78,1167.3067332610833,0,0.0001,298.0,298.0
0.79,1167.7468268975624,0,0.0001,298.0,298.0
0.8,1168.1802355988757,0,0.0001,298.0,298.0
0.81,1168.6071425313653,0,0.0001,298.0,298.0
0.82,1169.0277236609004,0,0.0001,298.0,298.0
0.83,1169.4421481196289,0,0.0001,298.0,298.0
0.84,1169.8505785498885,0,0.0001,298.0,298.0
0.85,1170.2531714269498,0,0.0001,298.0,298.0
0.86,1170.6500773621322,0,0.0001,298.0,298.0
0.87,1171.0414413876892,0,0.0001,298.0,298.0
0.88,1171.4274032247688,0,0.0001,298.0,298.0
0.89,1171.8080975356186,0,0.0001,298.0,298.0
0.9,1172.1836541611408,0,0.0001,298.0,298.0
0.91,1172.5541983447913,0,0.0001,298.0,298.0
0.92,1172.9198509437535,0,0.0001,298.0,298.0
0.93,1173.2807286282373,0,0.0001,298.0,298.0
0.94,1173.6369440696894,0,0.0001,298.0,298.0
0.95,1173.988606118647,0,0.0001,298.0,298.0
0.96,1174.335819972904,0,0.0001,298.0,298.0
0.97,1174.6786873366084,0,0.0001,298.0,298.0
0.98,1175.0173065708782,0,0.0001,298.0,298.0
0.99,1175.3517728364588,0,0.0001,298.0,298.0
1.0,1175.682178228924,0,0.0001,298.0,298.0
1.01,1176.0086119068765,0,0.0001,298.0,298.0
1.02,1176.3311602135827,0,0.0001,298.0,298.0
1.03,1176.6499067924292,0,0.0001,298.0,298.0
1.04,1176.9649326965796,0,0.0001,298.0,298.0
1.05,1177.27631649317,0,0.0001,298.0,298.0
1.06,1177.5841343623683,0,0.0001,298.0,298.0
1.07,1177.8884601915938,0,0.0001,298.0,298.0
1.08,1178.1893656651766,0,0.0001,298.0,298.0
1.09,1178.4869203497192,0,0.0001,298.0,298.0
1.1,1178.7811917754004,0,0.0001,298.0,298.0
