Strain,RD_R_value,DD_R_value,TD_R_value
0.058,0.8227340939987381,1.0277109750387872,1.0021546631543192
0.059,0.823573613624871,1.027789667758059,1.002160781896171
0.06,0.8243721893956947,1.027864522588124,1.0021666022234617
0.061,0.8251318181665961,1.0279357267050482,1.0021721386900406
0.062,0.8258543994051752,1.0280034581562119,1.0021774051399581
0.063,0.8265417399409042,1.0280678863055228,1.0021824147420826
0.064,0.8271955584831422,1.0281291722569137,1.0021871800230282
0.065,0.8278174899188037,1.028187469257185,1.0021917128984799
0.066,0.8284090894004272,1.0282429230792034,1.0021960247029869
0.067,0.8289718362348673,1.0282956723864083,1.002200126218307
0.068,0.8295071375823317,1.0283458490795436,1.002204027700364
0.069,0.8300163319750153,1.0283935786264782,1.0022077389048962
0.07,0.8305006926641272,1.0284389803759402,1.0022112691118474
0.071,0.8309614308036822,1.0284821678559524,1.002214627148574
0.072,0.8313996984790171,1.02852324905771,1.0022178214119168
0.073,0.8318165915876038,1.0285623267056156,1.0022208598891982
0.074,0.8322131525793632,1.028599498514144,1.0022237501781939
0.075,0.8325903730633345,1.0286348574321778,1.002226499506132
0.076,0.832949196287213,1.0286684918754303,1.0022291147477642
0.077,0.8332905194959606,1.0287004859475286,1.002231602442557
0.078,0.8336151961753868,1.028730919650318,1.002233968811043
0.079,0.8339240381863068,1.0287598690839082,1.0022362197703762
0.08,0.8342178177946162,1.0287874066369616,1.0022383609491274
0.081,0.8344972696023588,1.0288136011677045,1.0022403977013585
0.082,0.8347630923846139,1.0288385181761084,1.0022423351200112
0.083,0.8350159508367982,1.0288622199676727,1.0022441780496412
0.084,0.8352564772367499,1.028884765809222,1.0022459310985325
0.085,0.8354852730257538,1.0289062120771038,1.0022475986502204
0.086,0.8357029103124565,1.0289266123981589,1.002249184874453
0.087,0.8359099333034372,1.0289460177838154,1.0022506937376168
0.088,0.8361068596640064,1.028964476757646,1.0022521290126558
0.089,0.8362941818126401,1.0289820354766996,1.002253494288505
0.09,0.8364723681522818,1.0289987378469199,1.0022547929790657
0.091,0.8366418642415934,1.0290146256329324,1.0022560283317403
0.092,0.8368030939090849,1.0290297385624776,1.0022572034355537
0.093,0.8369564603129055,1.0290441144257514,1.002258321228878
0.094,0.8371023469489501,1.0290577891699002,1.0022593845067786
0.095,0.8372411186097978,1.0290707969889068,1.002260395928004
0.096,0.8373731222968832,1.0290831704090946,1.0022613580216342
0.097,0.8374986880881816,1.029094940370459,1.0022622731934043
0.098,0.8376181299635762,1.0291061363040341,1.0022631437317207
0.099,0.8377317465899694,1.0291167862054853,1.0022639718133823
0.1,0.8378398220681077,1.0291269167051138,1.0022647595090246
0.11,0.8386692247938357,1.0292046611125354,1.0022708045150157
0.12,0.8391722829762746,1.0292518154792578,1.0022744709964873
0.13,0.8394774031875787,1.0292804160484144,1.002276694829913
0.14,0.8396624679506683,1.029297763170493,1.002278043653068
0.15,0.8397747154035501,1.0293082847318915,1.002278861755666
0.16,0.8398427969252332,1.0293146663814676,1.0022793579599745
0.17,0.8398840904555294,1.0293185370475952,1.0022796589231011
0.18,0.8399091362477376,1.029320884725275,1.0022798414664646
0.19,0.8399243272886442,1.029322308663767,1.0022799521846115
0.2,0.8399335411207427,1.0293231723261198,1.0022800193385621
0.21,0.8399391295924394,1.0293236961638166,1.002280060069492
0.22,0.8399425191718999,1.0293240138874402,1.00228008477405
0.23,0.839944575055802,1.0293242065965595,1.0022800997581216
0.24,0.839945822012457,1.0293243234805487,1.0022801088464206
0.25,0.8399465783299351,1.0293243943742716,1.0022801143587525
0.26,0.8399470370597096,1.0293244373734882,1.002280117702151
0.27,0.8399473152934182,1.0293244634538314,1.0022801197300246
0.28,0.8399474840507284,1.0293244792723593,1.002280120959992
0.29,0.8399475864072469,1.0293244888667814,1.0022801217060051
0.3,0.8399476484896491,1.0293244946860924,1.0022801221584847
0.31,0.8399476861445649,1.029324498215683,1.0022801224329276
0.32,0.8399477089834616,1.0293245003564881,1.0022801225993856
0.33,0.8399477228359884,1.029324501654952,1.0022801227003475
0.34,0.839947731238006,1.02932450244251,1.002280122761584
0.35,0.839947736334123,1.0293245029201883,1.0022801227987257
0.36,0.8399477394251099,1.0293245032099145,1.0022801228212534
0.37,0.8399477412999236,1.0293245033856426,1.0022801228349172
0.38,0.8399477424370914,1.029324503492227,1.0022801228432046
0.39,0.8399477431268539,1.0293245035568737,1.0022801228482312
0.4,0.8399477435452519,1.0293245035960839,1.0022801228512799
0.41,0.8399477437990586,1.0293245036198662,1.002280122853129
0.42,0.8399477439530357,1.0293245036342908,1.0022801228542508
0.43,0.8399477440464632,1.0293245036430396,1.002280122854931
0.44,0.8399477441031654,1.0293245036483463,1.0022801228553437
0.45,0.8399477441375927,1.0293245036515648,1.002280122855594
0.46,0.8399477441585095,1.029324503653517,1.0022801228557456
0.47,0.8399477441712317,1.029324503654701,1.0022801228558378
0.48,0.8399477441789838,1.0293245036554193,1.0022801228558935
0.49,0.8399477441837213,1.0293245036558547,1.0022801228559275
0.5,0.8399477441866303,1.029324503656119,1.002280122855948
0.51,0.8399477441884302,1.0293245036562793,1.0022801228559604
0.52,0.8399477441895576,1.0293245036563763,1.002280122855968
0.53,0.8399477441902771,1.0293245036564354,1.0022801228559726
0.54,0.839947744190749,1.029324503656471,1.0022801228559755
0.55,0.8399477441910709,1.0293245036564929,1.002280122855977
0.56,0.8399477441913016,1.029324503656506,1.0022801228559781
0.57,0.8399477441914773,1.029324503656514,1.0022801228559788
0.58,0.8399477441916194,1.0293245036565188,1.002280122855979
0.59,0.8399477441917411,1.0293245036565217,1.0022801228559792
0.6,0.8399477441918506,1.0293245036565235,1.0022801228559794
0.61,0.8399477441919527,1.0293245036565246,1.0022801228559794
0.62,0.8399477441920501,1.0293245036565253,1.0022801228559797
0.63,0.8399477441921449,1.0293245036565255,1.0022801228559797
0.64,0.8399477441922379,1.029324503656526,1.0022801228559797
0.65,0.83994774419233,1.029324503656526,1.0022801228559797
0.66,0.8399477441924215,1.0293245036565262,1.0022801228559797
0.67,0.8399477441925126,1.0293245036565262,1.0022801228559797
0.68,0.8399477441926034,1.0293245036565262,1.0022801228559797
0.69,0.839947744192694,1.0293245036565262,1.0022801228559797
0.7,0.8399477441927846,1.0293245036565262,1.0022801228559797
0.71,0.8399477441928751,1.0293245036565262,1.0022801228559797
0.72,0.8399477441929659,1.0293245036565262,1.0022801228559797
0.73,0.8399477441930564,1.0293245036565262,1.0022801228559797
0.74,0.8399477441931469,1.0293245036565262,1.0022801228559797
0.75,0.8399477441932375,1.0293245036565262,1.0022801228559797
0.76,0.839947744193328,1.0293245036565262,1.0022801228559797
0.77,0.8399477441934184,1.0293245036565262,1.0022801228559797
0.78,0.8399477441935089,1.0293245036565262,1.0022801228559797
0.79,0.8399477441935994,1.0293245036565262,1.0022801228559797
0.8,0.8399477441936899,1.0293245036565262,1.0022801228559797
0.81,0.8399477441937804,1.0293245036565262,1.0022801228559797
0.82,0.8399477441938709,1.0293245036565262,1.0022801228559797
0.83,0.8399477441939613,1.0293245036565262,1.0022801228559797
0.84,0.8399477441940518,1.0293245036565262,1.0022801228559797
0.85,0.8399477441941423,1.0293245036565262,1.0022801228559797
0.86,0.8399477441942329,1.0293245036565262,1.0022801228559797
0.87,0.8399477441943234,1.0293245036565262,1.0022801228559797
0.88,0.8399477441944139,1.0293245036565262,1.0022801228559797
0.89,0.8399477441945044,1.0293245036565262,1.0022801228559797
0.9,0.8399477441945948,1.0293245036565262,1.0022801228559797
0.91,0.8399477441946853,1.0293245036565262,1.0022801228559797
0.92,0.8399477441947758,1.0293245036565262,1.0022801228559797
0.93,0.8399477441948663,1.0293245036565262,1.0022801228559797
0.94,0.8399477441949568,1.0293245036565262,1.0022801228559797
0.95,0.8399477441950473,1.0293245036565262,1.0022801228559797
0.96,0.8399477441951377,1.0293245036565262,1.0022801228559797
0.97,0.8399477441952283,1.0293245036565262,1.0022801228559797
0.98,0.8399477441953187,1.0293245036565262,1.0022801228559797
0.99,0.8399477441954093,1.0293245036565262,1.0022801228559797
1.0,0.8399477441954998,1.0293245036565262,1.0022801228559797
1.01,0.8399477441955903,1.0293245036565262,1.0022801228559797
1.02,0.8399477441956807,1.0293245036565262,1.0022801228559797
1.03,0.8399477441957712,1.0293245036565262,1.0022801228559797
1.04,0.8399477441958617,1.0293245036565262,1.0022801228559797
1.05,0.8399477441959522,1.0293245036565262,1.0022801228559797
1.06,0.8399477441960427,1.0293245036565262,1.0022801228559797
1.07,0.8399477441961332,1.0293245036565262,1.0022801228559797
1.08,0.8399477441962236,1.0293245036565262,1.0022801228559797
1.09,0.8399477441963141,1.0293245036565262,1.0022801228559797
1.1,0.8399477441964047,1.0293245036565262,1.0022801228559797
1.11,0.8399477441964952,1.0293245036565262,1.0022801228559797
1.12,0.8399477441965857,1.0293245036565262,1.0022801228559797
1.13,0.8399477441966762,1.0293245036565262,1.0022801228559797
1.14,0.8399477441967667,1.0293245036565262,1.0022801228559797
1.15,0.8399477441968571,1.0293245036565262,1.0022801228559797
1.16,0.8399477441969476,1.0293245036565262,1.0022801228559797
1.17,0.8399477441970381,1.0293245036565262,1.0022801228559797
1.18,0.8399477441971286,1.0293245036565262,1.0022801228559797
1.19,0.8399477441972191,1.0293245036565262,1.0022801228559797
1.2,0.8399477441973096,1.0293245036565262,1.0022801228559797
1.21,0.8399477441974001,1.0293245036565262,1.0022801228559797
1.22,0.8399477441974906,1.0293245036565262,1.0022801228559797
1.23,0.8399477441975811,1.0293245036565262,1.0022801228559797
1.24,0.8399477441976716,1.0293245036565262,1.0022801228559797
1.25,0.8399477441977621,1.0293245036565262,1.0022801228559797
1.26,0.8399477441978526,1.0293245036565262,1.0022801228559797
1.27,0.839947744197943,1.0293245036565262,1.0022801228559797
1.28,0.8399477441980335,1.0293245036565262,1.0022801228559797
1.29,0.839947744198124,1.0293245036565262,1.0022801228559797
1.3,0.8399477441982145,1.0293245036565262,1.0022801228559797
1.31,0.839947744198305,1.0293245036565262,1.0022801228559797
1.32,0.8399477441983955,1.0293245036565262,1.0022801228559797
1.33,0.839947744198486,1.0293245036565262,1.0022801228559797
1.34,0.8399477441985764,1.0293245036565262,1.0022801228559797
1.35,0.8399477441986669,1.0293245036565262,1.0022801228559797
1.36,0.8399477441987575,1.0293245036565262,1.0022801228559797
1.37,0.839947744198848,1.0293245036565262,1.0022801228559797
1.38,0.8399477441989385,1.0293245036565262,1.0022801228559797
1.39,0.839947744199029,1.0293245036565262,1.0022801228559797
1.4,0.8399477441991194,1.0293245036565262,1.0022801228559797
1.41,0.8399477441992099,1.0293245036565262,1.0022801228559797
1.42,0.8399477441993004,1.0293245036565262,1.0022801228559797
1.43,0.8399477441993909,1.0293245036565262,1.0022801228559797
1.44,0.8399477441994814,1.0293245036565262,1.0022801228559797
