Tmp373.15K_StrRt0.0001_RD_E,Tmp373.15K_StrRt0.0001_RD_S,Tmp373.15K_StrRt0.001_RD_E,Tmp373.15K_StrRt0.001_RD_S,Tmp373.15K_StrRt0.01_RD_E,Tmp373.15K_StrRt0.01_RD_S,Tmp373.15K_StrRt0.1_RD_E,Tmp373.15K_StrRt0.1_RD_S
0.019633817,958.7351074,0.020078976,967.4047852,0.014305677,935.0020142,,
0.019742381,959.1098633,0.020178687,967.807312,0.014429905,935.4735718,,
0.019841708,959.5774536,0.020278845,968.0834961,0.014511853,935.9312134,,
0.019953767,959.8840942,0.020386785,968.5009155,0.014557518,936.3299561,,
0.020049257,960.444458,0.020483289,968.9319458,0.014631876,936.7510376,,
0.020150952,960.7989502,0.020605983,969.2470703,0.014750574,937.1970215,,
0.020261049,961.1923218,0.020711917,969.6802979,0.014864726,937.6541138,,
0.02036071,961.6048584,0.020811399,970.0316772,0.014937267,938.0674438,,
0.020460075,961.9118652,0.020918174,970.4653931,0.015003724,938.475647,,
0.020556632,962.3068237,0.021017253,970.8074341,0.015088486,938.9078369,,
0.020655751,962.6858521,0.021118032,971.1148071,0.015191873,939.3361206,,
0.020755211,963.0559082,0.021223847,971.3977661,0.015292803,939.7737427,,
0.020858789,963.4563599,0.021325843,971.8084106,0.015378335,940.1992188,,
0.020955645,963.7503662,0.021436106,972.2190552,0.015449954,940.585144,,
0.021053165,964.1845093,0.021535467,972.5916748,0.015520684,940.9936523,,
0.021153057,964.5912476,0.021636913,972.977478,0.015611851,941.4123535,,
0.021251619,964.9284058,0.021734079,973.3068237,0.015713923,941.8335571,,
0.021365711,965.3414307,0.021841319,973.6207886,0.015804822,942.2338257,,
0.021472776,965.7601318,0.021938112,973.9126587,0.015879419,942.6264038,,
0.021574572,966.1503906,0.022046933,974.2512207,0.01596462,943.005249,,
0.021674253,966.5614624,0.022154242,974.6786499,0.016070219,943.4019165,,
0.021780163,966.9172363,0.022261372,974.9523315,0.016166346,943.788208,,
0.021878097,967.2839355,0.0223579,975.3104858,0.016249696,944.1552124,,
0.021974999,967.6043701,0.022457287,975.6303101,0.016339928,944.5268555,,
0.022076365,967.9226074,0.022567995,975.9957275,0.01643412,944.9224243,,
0.02217418,968.3786011,0.022671064,976.2717285,0.016524389,945.3083496,,
0.022271652,968.6739502,0.022773681,976.6334839,0.016615449,945.6692505,,
0.022379221,968.9640503,0.022881091,976.9351807,0.016715841,946.0534668,,
0.022486798,969.3580322,0.022985738,977.3482666,0.016813399,946.4448853,,
0.022587722,969.7293701,0.02309189,977.6611328,0.016887607,946.8002319,,
0.022687428,970.0220947,0.02319151,977.9035034,0.01695564,947.1541748,,
0.022784106,970.3240967,0.023292279,978.2856445,0.017035408,947.5325928,,
0.022882625,970.5612793,0.023391178,978.5076294,0.017139472,947.8964233,,
0.022980146,970.9440308,0.023493486,978.8994751,0.017243436,948.2888794,,
0.023079256,971.1884766,0.02359318,979.2069702,0.017332984,948.6274414,,
0.023176072,971.4469604,0.023697736,979.5281982,0.017414458,948.9621582,,
0.02327388,971.8631592,0.023820056,979.8261719,0.017496888,949.3109741,,
0.023370136,972.2342529,0.023922151,980.1716919,0.017582826,949.6660156,,
