PEEQ,stress_fit
0.08,1.0226621351255392
0.081,1.023785224707951
0.082,1.0249100287134014
0.083,1.0260356015334517
0.084,1.027161075614901
0.085,1.0282856562396598
0.086,1.0294086165920768
0.087,1.030529293099436
0.088,1.0316470810326102
0.089,1.0327614303538346
0.09,1.0338718418000297
0.091,1.0349778631903988
0.092,1.0360790859477946
0.093,1.0371751418243798
0.094,1.0382656998222164
0.095,1.039350463300234
0.096,1.0404291672594597
0.097,1.04150157579878
0.098,1.0425674797334081
0.099,1.0436266943694195
0.1,1.044679057426789
0.11,1.0548026855149601
0.12,1.0641698216673439
0.13,1.0727866808259248
0.14,1.080684240097888
0.15,1.087899041574754
0.16,1.0944675414551013
0.17,1.100424779716966
0.18,1.1058042086538296
0.19,1.110637783373674
0.2,1.1149560971562844
0.21,1.1187885144121532
0.22,1.1221632907402648
0.23,1.1251076772289368
0.24,1.1276480082122233
0.25,1.129809772672058
0.26,1.1316176701165075
0.27,1.1330956522037474
0.28,1.13426695166695
0.29,1.1351541002542436
0.3,1.135778937460874
0.31,1.1361626118152461
0.32,1.1363255764095386
0.33,1.1362875802530388
0.34,1.136067656885213
0.35,1.1356841115281533
0.36,1.1351545078921998
0.37,1.1344956555804928
0.38,1.1337235988745542
0.39,1.1328536075267948
0.4,1.131900170039609
0.41,1.1308769897772353
0.42,1.1297969841362745
0.43,1.1286722868940178
0.44,1.1275142537617686
0.45,1.126333471090748
0.46,1.1251397676132697
0.47,1.1239422290476038
0.48,1.122749215353486
0.49,1.12156838039312
0.5,1.1204066937307453
0.51,1.119270464289412
0.52,1.118165365577434
0.53,1.1170964621964508
0.54,1.116068237348
0.55,1.1150846210653587
0.56,1.114149018909918
0.57,1.1132643408879153
0.58,1.1124330303609278
0.59,1.1116570927434788
0.6,1.1109381238016212
0.61,1.1102773373874166
0.62,1.1096755924656114
0.63,1.1091334193096278
0.64,1.1086510447646207
0.65,1.1082284164948462
0.66,1.107865226151492
0.67,1.1075609314146586
0.68,1.1073147768796412
0.69,1.107125813772731
0.7,1.1069929184958274
0.71,1.1069148100112782
0.72,1.1068900660899321
0.73,1.1069171384547642
0.74,1.1069943668613431
0.75,1.1071199921633996
0.76,1.1072921684179278
0.77,1.10750897408894
0.78,1.107768422412971
0.79,1.108068470991834
0.8,1.1084070306799265
0.81,1.1087819738340476
0.82,1.1091911419934222
0.83,1.1096323530565797
0.84,1.1101034080198897
0.85,1.1106020973398423
0.86,1.1111262069780021
0.87,1.1116735241834614
0.88,1.1122418430631975
0.89,1.112828969985744
0.9,1.1134327288579748
0.91,1.114050966309134
0.92,1.1146815568098913
0.93,1.115322407748066
0.94,1.1159714644759342
0.95,1.1166267153376501
0.96,1.1172861966786631
0.97,1.1179479978328177
0.98,1.1186102660764699
0.99,1.1192712115333487
1.0,1.119929112008411
1.01,1.1205823177240934
1.02,1.121229255928136
1.03,1.121868435338484
1.04,1.1224984503881
1.05,1.1231179852301845
1.06,1.1237258174634144
1.07,1.1243208215361098
1.08,1.1249019717889883
1.09,1.1254683450972744
1.1,1.1260191230752634
1.11,1.1265535938091864
1.12,1.127071153087932
1.13,1.1275713051054326
1.14,1.1280536626131519
1.15,1.128517946506541
1.16,1.1289639848346589
1.17,1.129391711228016
1.18,1.129801162745482
1.19,1.1301924771468983
1.2,1.1305658896038207
1.21,1.1309217288660836
1.22,1.1312604129071984
1.23,1.1315824440761635
1.24,1.1318884037876
1.25,1.1321789467857968
1.26,1.1324547950214041
