PEEQ,a,b,c,d,e,f,g,h,i,j
0.042,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.043,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.044,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.045,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.046,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.047,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.048,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.049,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.05,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.051,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.052,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.053,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
