PEEQ,m0,m1,R_squared
0.3,-4.823857197257954,4.639684312652065,-5.269740749054151
0.31,-4.811852134479777,4.656583013130761,-5.323982713716955
0.32,-4.806008675936322,4.673892588072555,-5.377182317715695
0.33,-4.788805664502465,4.691003927267817,-5.429374822922807
0.34,-3.8510661184819264,4.37803799812765,-5.480594478594717
0.35,-3.9833498865358408,6.503856813815251,-5.530874386215539
0.36,-3.997457717909442,6.525421677463459,-5.580246487349366
0.37,-4.011129616962686,6.547182513546181,-5.628741480470479
0.38,-4.0243908278752025,6.569141266030245,-5.67638884380563
0.39,-4.091582189672794,4.913925128497042,-5.723216842234407
0.4,-4.119863568309283,4.931306334493659,-5.769252550845064
0.41,-4.118782341139308,4.947874748520109,-5.814521889944799
0.42,-4.077668376323953,4.9629720921036675,-5.859049662617001
0.43,-4.116643371823342,4.9808819408741165,-5.902859597310064
0.44,-4.115586867025412,4.997324106411126,-5.945974392023238
0.45,-4.114534545002913,5.013727239995193,-5.988415759269415
0.46,-4.05267889735797,5.026795213413422,-6.030204470967315
0.47,-4.112455026042698,5.046423026170359,-6.07136040266861
0.48,-4.0350765632486985,5.057511720638518,-6.111902576708274
0.49,-4.110398418015489,5.078980434832007,-6.15184920395704
0.5,-4.021714348367047,5.088335889884383,-6.191217724042063
0.51,-4.108364030023288,5.1114095591759625,-6.230024843840957
0.52,-4.107358439166884,5.127578947524076,-6.268286574289202
0.53,-4.106354156586397,5.143719243194037,-6.306018265380759
0.54,-4.105355118510073,5.15983140079291,-6.3432346394536845
0.55,-3.9520513288295365,5.154902161699148,-6.379949822757548
0.56,-4.1033723661697765,5.191983412661409,-6.416177375322817
0.57,-4.102379581532436,5.208020297940507,-6.451930319314889
0.58,-4.101404802881448,5.224034160648075,-6.487221165729739
0.59,-4.100433566439155,5.240025223001844,-6.522061939708747
0.6,-4.099455350547188,5.25599388416905,-6.556464204419603
0.61,-4.098491952663621,5.271941897617198,-6.590439083616879
0.62,-4.097532893813426,5.287869612186212,-6.623997282944911
0.63,-4.096570268291682,5.303777397197526,-6.6571491100554825
0.64,-4.095610298163578,5.31966628778372,-6.689904493604301
0.65,-4.094663033012153,5.335537339017265,-6.72227300119229
0.66,-4.0937041330875985,5.35139031887425,-6.7542638563119
0.67,-4.092793246514251,5.367228223535912,-6.785885954358834
0.68,-4.091820456000004,5.383047190319475,-6.817147877762044
0.69,-4.09085464395587,4.841383524985696,-6.848057910760506
0.7,-4.089954074670441,4.857178975341757,-6.87862405099654
0.71,-4.108709752404682,4.535613278326269,-6.908854027752398
0.72,-4.113721662259018,4.253989665096566,-6.938755313973397
0.73,-4.113132120667681,4.287969624821453,-6.968335103120148
0.74,-4.109206991963606,4.321793481396236,-6.997600389407993
0.75,-4.107302599478638,4.35568824712395,-7.02655792445174
0.76,-4.1053529904623485,4.389567386160211,-7.055214241979874
0.77,-4.108557460529431,4.4236462752609125,-7.083575667070395
0.78,-4.0995782323249985,4.4571905257692785,-7.111648324911711
0.79,-4.100082622592627,4.491158277379869,-7.13943814911741
0.8,-4.101680310765806,4.525144474007823,-7.166950889621901
0.81,-4.105919567751738,4.559165267293219,-7.194192120175215
0.82,-4.114695275036193,4.590239814993033,-7.221167245504299
0.83,-4.109803163433574,4.624073256186138,-7.247881507924049
0.84,-4.130875142530472,4.659236611714961,-7.274339994035701
0.85,-4.154549931602816,4.327842568671357,-7.300547649488738
0.86,-4.16476726152459,4.358946504411953,-7.326509248205433
0.87,-4.179060645091852,4.390310692353718,-7.352229455213672
0.88,-4.188013553536763,4.421564437381665,-7.377712792040384
0.89,-4.200372124609155,4.453057274202675,-7.402963652213723
0.9,-4.214001443990985,4.484704185758733,-7.42798630606614
0.91,-4.223746684835286,4.516319465829198,-7.452784905318195
0.92,-4.2338574206351485,4.548051950282739,-7.477363487453342
0.93,-4.2492261357358805,4.58013083710333,-7.5017259798899705
0.94,-4.2619945396702015,4.612234199734709,-7.525876203969853
0.95,-4.2716765708861155,4.644315217513838,-7.549817878765326
0.96,-4.281031626812302,4.676479035439194,-7.573554624718778
0.97,-4.288871141002295,4.70869090112605,-7.597089967121152
0.98,-4.336040636336369,4.742595656347369,-7.620427339440415
0.99,-4.348607805349302,4.7754082868113565,-7.643570086503713
1.0,-4.361023779406004,4.382559252393682,-7.6665214747793975
1.01,-4.378721766352929,4.411668191865947,-7.689284665295347
1.02,-4.397031975919652,4.440924422843962,-7.711862763181838
1.03,-4.410714674656058,4.470133771690414,-7.734258787889857
1.04,-4.431760755620455,4.499774976735439,-7.756475684235118
