Strain,Tmp77.15K,Tmp233.15K,Tmp298.15K,Tmp373.15K,Tmp473.15K,Tmp573.15K,Tmp673.15K,Tmp77.15K_ref,Tmp233.15K_ref,Tmp298.15K_ref,Tmp373.15K_ref,Tmp473.15K_ref,Tmp573.15K_ref,Tmp673.15K_ref
1.79,2201.238473984372,1163.014834219483,1193.685399,1262.5123139053976,1314.4692113929682,1396.8325359847286,1152.7091748904204,2.8096854358679426,1.4844851568899349,1.5236334091997727,1.6114848540527174,1.6778032197768427,1.7829326895231432,1.471330897927946
1.8,2203.112352384799,1163.0319628473485,1193.847258,1262.8819952519843,1314.7802563310904,1397.263532465105,1153.046097807004,2.812077275240411,1.484507020062335,1.523840007839738,1.6119567194628912,1.6782002410186896,1.7834828182566431,1.4717609501112614
1.81,2204.9790432078653,1163.0489149626328,1194.008034,1263.2496312468793,1315.0894156400827,1397.6920016514896,1153.3811543650809,2.814459940308655,1.4845286579320998,1.5240452241263767,1.6124259741632634,1.6785948554224013,1.784029721123793,1.4721886200536811
1.82,2206.8386135035216,1163.0656933427992,1194.167738,1263.6152444127729,1315.396711068961,1398.1179722003362,1153.714365129068,2.8168335166559832,1.4845500740444149,1.524249072100212,1.6128926469020481,1.6789870907486653,1.784573434702012,1.4726139340038569
1.83,2208.6911293319736,1163.082300706688,1194.326385,1263.9788569022858,1315.7021639981808,1398.541472287995,1154.045750325604,2.8191980886023815,1.4845712718696382,1.5244515709074118,1.6133567659550987,1.6793769742877342,1.7851139949559085,1.4730369177792968
1.84,2210.5366557836105,1163.098739716068,1194.483987,1264.3404905060524,1316.0057954478566,1398.9625296213264,1154.375329850358,2.821553739229952,1.4845922548052812,1.5246527358649105,1.6138183591362247,1.679764532869918,1.7856514372508294,1.4734575967750554
1.85,2212.375256998428,1163.1150129771345,1194.640555,1264.7001666605647,1316.3076260857542,1399.3811714480262,1154.703123275598,2.823900550407703,1.4846130261779213,1.5248525810132312,1.6142774538072047,1.680149792875784,1.786185796366039,1.4738759959733956
1.86,2214.206996184956,1163.1311230419626,1194.796104,1265.057906455775,1316.6076762350608,1399.7974245666674,1155.0291498571169,2.82623860281571,1.4846335892450553,1.5250511254985422,1.6147340768874898,1.6805327802460759,1.7867171065075358,1.474292139952626
1.87,2216.031935638709,1163.1470724099138,1194.950644,1265.4137306425837,1316.9059658819478,1400.2113153364703,1155.3534285409842,2.8285679759686646,1.4846539471968963,1.5252483820849552,1.6151882548637615,1.680913520491367,1.7872454013205237,1.4747060528957228
1.88,2217.850136760184,1163.1628635289983,1195.104188,1265.7676596400051,1317.2025146829246,1400.622869686811,1155.6759779702406,2.8308887482388494,1.4846741031581119,1.5254443673658158,1.6156400137990787,1.6812920387014454,1.7877707139015488,1.4751177585988713
1.89,2219.6616600723964,1163.1784987971982,1195.256746,1266.119713542248,1317.497341971995,1401.032113126472,1155.996816491068,2.833200996878519,1.484694060189513,1.5256390941052358,1.6160893793419142,1.6816683595544504,1.7882930768103067,1.4755272804793438
1.9,2221.466565237992,1163.193980563744,1195.408332,1266.4699121255471,1317.7904667676207,1401.4390707526456,1156.315962159133,2.8355047980417423,1.4847138212896842,1.5258325801729722,1.6165363767348755,1.6820425073257597,1.7888125220811344,1.475934641583595
1.91,2223.264911075931,1163.209311130358,1195.558956,1266.818274854857,1318.0819077795009,1401.8437672597036,1156.6334327461082,2.8378002268056988,1.4847333893965697,1.5260248383331372,1.6169810308232484,1.6824145058966424,1.7893290812342046,1.4763398645955867
1.92,2225.056755577766,1163.224492752456,1195.708628,1267.1648208903498,1318.3716834151685,1402.2462269477278,1156.9492457449087,2.840087357191455,1.4847527673890069,1.5262158813498423,1.6174233660632915,1.68278437876268,1.7898427852864145,1.4767429718434724
1.93,2226.842155923523,1163.2395276403145,1195.857361,1267.5095690937233,1318.6598117864123,1402.6464737308236,1157.2634183762711,2.842366262184237,1.484771958088218,1.5264057258164332,1.6178634065302868,1.6831521490419623,1.790353664761995,1.4771439853079924
1.94,2228.621168497195,1163.254417960201,1196.005164,1267.852538,1318.946310715536,1403.0445311452104,1157.575967593526,2.844637013753205,1.4847909642592507,1.5265943832206106,1.618301175882545,1.6835178394830772,1.790861749702841,1.477542926628568
1.95,2230.393848901864,1163.269165835472,1196.152049,1268.193745995508,1319.231197741442,1403.440422357105,1157.8869100885931,2.8468996828707547,1.4848097886123814,1.5267818688793091,1.6187366975885802,1.6838814724728763,1.7913670696785704,1.4779398171109523
1.96,2232.160251974457,1163.2837733476365,1196.298025,1268.5332109797528,1319.5144901255692,1403.8341701704016,1158.1962622976862,2.849154339531354,1.4848284338044713,1.5269681942802293,1.6191699944955225,1.6842430700440536,1.7918696537963292,1.4783346777345125
1.97,2233.920431800152,1163.298242537389,1196.443104,1268.8709507151143,1319.7962048576671,1404.2257970341516,1158.5040404055037,2.8514010527699303,1.4848469024402853,1.5271533747403057,1.6196010892754722,1.6846026538825154,1.792369530710338,1.4787275291575792
1.98,2235.674441726442,1163.3125754056116,1196.587294,1269.2069826604347,1320.0763586614278,1404.6153250498533,1158.810260351398,2.853639890679821,1.4848651970737725,1.5273374204708279,1.620030004213091,1.6849602453345693,1.792866728631197,1.4791183917253201
1.99,2237.4223343768617,1163.326773914347,1196.730606,1269.541324010781,1320.354967999969,1405.002775978556,1159.1149378335103,2.8558709204302932,1.484883320209306,1.527520345512319,1.6204567612563547,1.6853158654139235,1.7933612753349528,1.4795072854750184
2.0,2239.1641616643965,1163.3408399877428,1196.873049,1269.8739917028142,1320.632049,1405.3881712477842,1159.4180883140652,2.858094208283665,1.4849012743028887,1.5277021613524795,1.6208813820234078,1.6856695347048904,1.7938531981719377,1.4798942301428306
2.01,2240.8999748045744,1163.3547755129662,1197.014633,1270.2050024198616,1320.9076178629302,1405.7715319582858,1159.7197270240283,2.860309819612009,1.4849190617633223,1.5278828807554217,1.6213038878090351,1.68602127388713,1.7943425240753827,1.480279245169732
2.02,2242.6298243282554,1163.3685823410965,1197.155368,1270.5343725970015,1321.181690058147,1406.1528788906137,1160.0198689673562,2.86251781891348,1.4849366849533456,1.5280625164852575,1.6217242995911554,1.686371102705942,1.7948292795698182,1.4806623497069404
2.03,2244.35376,1163.3822622879875,1197.295263,1270.8621184259318,1321.454281139766,1406.5322325115385,1160.318529,2.8647182697081215,1.484954146190734,1.5282410800296877,1.6221426380370327,1.686719041014773,1.7953134907792594,1.4810435627167584
2.04,2246.0718313008747,1163.3958171351085,1197.434327,1271.1882558597863,1321.7254063455557,1406.9096129803072,1160.615721463866,2.86691123515412,1.4849714477493754,1.528418582876413,1.6225589235094258,1.6870651082632822,1.7957951834351946,1.4814229025053562
2.05,2247.784086499173,1163.409248630359,1197.572568,1271.5128006177547,1321.995080682825,1407.2850401547437,1160.911460931355,2.8690967768616664,1.484988591860308,1.528595035236723,1.6229731760724844,1.687409323606966,1.7962743828843728,1.4818003876731085
2.06,2249.490573603269,1163.4225584888595,1197.709996,1271.8357681896669,1322.2633189330113,1407.6585335971986,1161.2057614690857,2.8712749561091857,1.4850055807127311,1.5287704498747299,1.6233854154976006,1.6877517059130172,1.7967511140963974,1.4821760361748058
2.07,2251.191339902397,1163.4357483937251,1197.846619,1272.157173840431,1322.5301356561574,1408.0301125803574,1161.4986370125553,2.873445833257188,1.4850224164549914,1.5289448370017227,1.6237956612690743,1.688092273766037,1.79722540167114,1.4825498657978717
2.08,2252.886432071907,1163.4488199968098,1197.982447,1272.4770326143553,1322.795545195277,1408.399796092902,1161.7901012957443,2.875609467882611,1.4850391011955337,1.529118209381814,1.6242039325896291,1.6884310454736091,1.7976972698459666,1.4829218940725137
2.09,2254.575896184136,1163.4617749194356,1198.117486,1272.7953593393686,1323.0595616806154,1408.7676028450385,1162.0801678547869,2.8777659187927025,1.4850556370038321,1.5292905746734708,1.6246102483857994,1.6887680390717363,1.7981667425027938,1.4832921382764046
2.1,2256.259777719044,1163.474614753099,1198.251747,1273.1121686311965,1323.3221990338045,1409.1335512738904,1162.3688500324497,2.8799152440385916,1.4850720259112902,1.529461946917216,1.6250146273132609,1.689103272330146,1.7986338431749724,1.4836606154404013
2.11,2257.938121574611,1163.4873410601588,1198.385236,1273.4274748973403,1323.5834709719186,1409.4976595487622,1162.6561609808705,2.882057500928564,1.48508826991212,1.529632333771517,1.6254170877619094,1.689436762757465,1.7990985950540066,1.4840273423520394
2.12,2259.610972077002,1163.499955374503,1198.517962,1273.7412923410593,1323.8433910114336,1409.8599455762767,1162.9421136658057,2.884192746041032,1.4851043709641938,1.5298017467240743,1.6258176478609443,1.6897685276062746,1.7995610209961097,1.4843923355609556
2.13,2261.278372990508,1163.512459,1198.649933,1274.0536349651666,1324.1019724720886,1410.2204270053917,1163.226720870298,2.886321035237228,1.4851203307317835,1.529970195986178,1.626216325483713,1.6900985838780391,1.8000211435286093,1.4847556113835694
2.14,2262.940367527266,1163.524854,1198.781156,1274.3645165758137,1324.3592284806575,1410.5791212322945,1163.509995197237,2.888442423673606,1.4851361518485726,1.5301376904927064,1.6266131382525417,1.6904269483279197,1.8004789848561937,1.4851171859063492
2.15,2264.5969983567747,1163.537141,1198.91164,1274.6739507861494,1324.6151719746315,1410.9360454051855,1163.7919490735512,2.8905569658139925,1.4851518351129525,1.53030424173136,1.6270081035434063,1.6907536374694747,1.8009345668670178,1.4854770749911663
2.16,2266.248307615192,1163.549322421942,1199.041392,1274.981951019901,1324.869815705811,1411.291216428947,1164.072594753292,2.8926647154414518,1.4851673836163168,1.5304698586370171,1.6274012384905026,1.6910786675792453,1.8013879111386628,1.485835294279229
2.17,2267.894336914436,1163.561398829094,1199.170419,1275.2885305148957,1325.1231722438192,1411.6446509697016,1164.3519443204275,2.894765725669901,1.4851827980776275,1.5306345501445562,1.627792559990741,1.691402054701239,1.8018390389439538,1.4861918591946495
2.18,2269.535127,1163.573371884169,1199.298729,1275.5937023264196,1325.3752539795255,1411.9963654592673,1164.630009692337,2.896860048507345,1.4851980806191898,1.5307983264652671,1.6281820847080353,1.6917238146513,1.8022879712566475,1.486546784948904
2.19,2271.170719515117,1163.585242939003,1199.426329,1275.8974793306188,1325.6260731283985,1412.3463760995087,1164.9068026231253,2.8989477371076724,1.485213232966502,1.5309611965340277,1.6285698290776425,1.6920439630213902,1.8027347287569855,1.4869000865450641
2.2,2272.801153498385,1163.597013321693,1199.553226,1276.199874227721,1325.8756417337706,1412.6946988665873,1165.1823347057216,2.901028841300186,1.485228256814763,1.531123169285717,1.6289558093102754,1.692362515183753,1.803179331837119,1.4872517787804735
2.21,2274.426469,1163.6086843371208,1199.679427,1276.500899545259,1326.1239716700388,1413.0413495151142,1165.4566173757776,2.903103412205406,1.4852431538295374,1.531284253655213,1.629340041396217,1.6926794862950019,1.8036218006064104,1.487601876251727
2.22,2276.0467048495284,1163.6202572674576,1199.804939,1276.8005676411558,1326.371074645781,1413.386343582209,1165.7296619136469,2.9051714993858244,1.4852579256474037,1.531444458577394,1.6297225411092586,1.6929948913000967,1.8040621548966125,1.4879503933571934
2.23,2277.661899984889,1163.6317333726631,1199.92977,1277.0988907068097,1326.616962206808,1413.7296963914669,1166.001479447994,2.9072331525422372,1.485272573876588,1.5316037942635496,1.630103324010638,1.6933087449362403,1.804500414266934,1.4882973443016252
2.24,2279.2720924902824,1163.6431138909657,1200.053924,1277.395881,1326.8616457391445,1414.071423056832,1166.272080958006,2.909288420285745,1.4852871000975791,1.531762265819325,1.6304824057463212,1.6936210617366811,1.8049365980089827,1.4886427430989797
