PEEQ,Stress
0.091,1.4314170887742614
0.092,1.4330025826859676
0.093,1.4345774732818648
0.094,1.4361417804897596
0.095,1.4376955307357475
0.096,1.4392387558731163
0.097,1.440771492259162
0.098,1.442293779962423
0.099,1.4438056620850723
0.1,1.445307184185654
0.11,1.4597635983588706
0.12,1.4732404913463544
0.13,1.4857888048644612
0.14,1.4974560941678283
0.15,1.5082864905634585
0.16,1.518321140275063
0.17,1.5275986286173815
0.18,1.5361553378634691
0.19,1.5440257407287996
0.2,1.5512426385729632
0.21,1.5578373540440373
0.22,1.5638398869523913
0.23,1.569279040810047
0.24,1.574182526124078
0.25,1.5785770453393693
0.26,1.5824883633231597
0.27,1.5859413664686934
0.28,1.5889601128397015
0.29,1.591567875257032
0.3,1.5937871788179512
0.31,1.5956398340140914
0.32,1.597146966359917
0.33,1.5983290432429684
0.34,1.5992058985507804
0.35,1.5997967555057204
0.36,1.6001202480431422
0.37,1.600194440992225
0.38,1.6000368492604358
0.39,1.5996644561759819
0.4,1.599093731107346
0.41,1.5983406464506849
0.42,1.5974206940547777
0.43,1.5963489011366172
0.44,1.5951398457276054
0.45,1.593807671681629
0.46,1.5923661032681165
0.47,1.5908284593683066
0.48,1.5892076672889064
0.49,1.587516276204397
0.5,1.5857664702371914
0.51,1.6004048007679095
0.52,1.6049013101987954
0.53,1.6091966718740096
0.54,1.6132999930287868
0.55,1.6172200054174866
0.56,1.620965079544835
0.57,1.6245432384025627
0.58,1.627962170729355
0.59,1.6312292438105795
0.6,1.634351515834188
0.61,1.6373357478181796
0.62,1.6401884151243558
0.63,1.6429157185727474
0.64,1.6455235951702125
0.65,1.6480177284664632
0.66,1.6504035585499501
0.67,1.6526862916957288
0.68,1.6548709096769143
0.69,1.6569621787505204
0.7,1.6589646583285895
0.71,1.6608827093444734
0.72,1.6627205023239982
0.73,1.6644820251708348
0.74,1.6661710906747778
0.75,1.6677913437515035
0.76,1.669346268421863
0.77,1.6708391945384544
0.78,1.6722733042669147
0.79,1.6736516383291082
0.8,1.6749771020151143
0.81,1.6762524709705544
0.82,1.6774803967658072
0.83,1.6786634122532078
0.84,1.6798039367182993
0.85,1.6809042808310097
0.86,1.6819666514024747
0.87,1.6829931559530302
0.88,1.6839858070969336
0.89,1.684946526749076
0.9,1.6858771501590617
0.91,1.6867794297777259
0.92,1.6876550389613216
0.93,1.6885055755183047
0.94,1.6893325651037987
0.95,1.690137464466553
0.96,1.6909216645533547
0.97,1.6916864934756042
0.98,1.6924332193428495
0.99,1.6931630529679609
1.0,1.693877150448542
1.01,1.694576615629133
1.02,1.6952625024487493
1.03,1.6959358171780976
1.04,1.6965975205508788
1.05,1.6972485297934328
1.06,1.697889720556892
1.07,1.698521928755942
1.08,1.6991459523182282
1.09,1.6997625528483113
1.1,1.700372457209952
1.11,1.7009763590305043
1.12,1.7015749201309798
1.13,1.7021687718852823
1.14,1.7027585165120485
1.15,1.7033447283023526
1.16,1.7039279547864257
1.17,1.7045087178424942
1.18,1.7050875147506268
1.19,1.7056648191944723
1.2,1.7062410822135474
1.21,1.7068167331087367
1.22,1.7073921803034338
1.23,1.707967812162761
1.24,1.7085439977730839
1.25,1.709121087684043
1.26,1.7096994146151
1.27,1.710279294128602
1.28,1.7108610252712197
1.29,1.711444891185496
1.3,1.7120311596931845
1.31,1.7126200838519852
1.32,1.7132119024871226
1.33,1.7138068406992106
1.34,1.7144051103497329
1.35,1.7150069105253696
1.36,1.715612427982363
1.37,1.7162218375720308
1.38,1.7168353026484913
1.39,1.7174529754595205
1.4,1.718074997521543
1.41,1.7187014999795576
1.42,1.7193326039528074
1.43,1.7199684208670287
1.44,1.720609052773879
1.45,1.7212545926582923
1.46,1.721905124734361
1.47,1.7225607247303154
1.48,1.723221460163173
1.49,1.723887390603533
1.5,1.7245585679310453
1.51,1.7252350365809503
1.52,1.7259168337821422
1.53,1.726603989787161
1.54,1.7272965280944157
1.55,1.727994465663079
1.56,1.7286978131209074
1.57,1.729406574965303
1.58,1.7301207497579387
1.59,1.7308403303131659
1.6,1.731565303880491
1.61,1.732295652321353
1.62,1.733031352280419
1.63,1.733772375351602
1.64,1.7345186882390213
1.65,1.735270252913089
1.66,1.7360270267618882
1.67,1.7367889627380058
1.68,1.7375560095010416
1.69,1.738328111555849
1.7,1.7391052093867307
1.71,1.7398872395877099
1.72,1.7406741349889785
1.73,1.7414658247796957
1.74,1.7422622346272143
1.75,1.743063286792891
1.76,1.7438689002445527
1.77,1.744678990765765
1.78,1.7454934710619674
1.79,1.7463122508636109
1.8,1.7471352370263629
1.81,1.7479623336284975
1.82,1.7487934420655318
1.83,1.7496284611422332
1.84,1.75046728716204
1.85,1.7513098140139998
1.86,1.7521559332573216
1.87,1.7530055342035586
1.88,1.7538585039965693
1.89,1.7547147276902835
1.9,1.7555740883243454
1.91,1.7564364669977182
1.92,1.7573017429403217
1.93,1.7581697935827414
1.94,1.7590404946240925
1.95,1.759913720098097
1.96,1.7607893424374403
1.97,1.7616672325364457
1.98,1.7636483318950749
1.99,1.7634680720150704
2.0,1.7633047720481718
2.01,1.7631582094004656
2.02,1.7630281618525716
2.03,1.7629144075900252
