PEEQ,C1,C2,C3,C4,C5,C6
0.015,0.5055932890424816,0.002627507842885771,1.0247137090432472,0.10328504663404715,567.594840475693,66.00649656029822
0.016,0.5670239360905511,0.002118050977770282,0.9601215906180827,0.11723008178209883,578.2113760508868,82.01408427021877
0.017,0.6024162140169438,0.002757239490703396,1.005703548012591,0.12198635828175523,575.5710025913293,83.60746510620424
0.018,0.5437339295421793,0.0026482588861257007,1.0268196406543342,0.11147190431526033,570.4573890581516,73.87821124401384
0.019,0.5572569822960066,0.003215353021311989,1.0652369705937568,0.11086027039697235,564.3432332797399,69.83026263401615
0.02,0.6017463793862922,0.004044428348164733,1.1035793572527466,0.14387344130183147,544.5946937953922,50.692536801890306
0.021,0.6330849398493168,0.004257210675502005,1.1104278053512955,0.12896877066841403,548.5002354469475,56.630717736099015
0.022,0.6699244054042445,0.0045027772596020026,1.1176827979891986,0.12869694981726426,548.9073028716094,58.53002261628055
0.023,0.70697075251164,0.004705310776142519,1.122905432681709,0.12614518065318392,550.625048143432,61.973282145925886
0.024,0.6740204670687808,0.003858290567662951,1.0872545811266585,0.12518307532605844,565.6230401084767,80.86702793405067
0.025,0.7158625472717071,0.004232795467395749,1.101615559155196,0.12608541596998504,563.3902582133999,80.04265203769236
0.026,0.7673060433533224,0.004632351478572643,1.1149330297201108,0.12698865490613354,560.9806565068964,78.79890865105345
0.027,0.8824296488871028,0.005508485190125719,1.1403030492088075,0.128878722541909,552.9345255867266,70.21202000116386
0.028,1.0082968495456275,0.006199133537654554,1.1554274417133412,0.15194153496300664,542.9861976680791,57.723919915781316
0.029,1.0928079639343002,0.006528684092932856,1.1612531853952097,0.18960978404932616,537.8544630850965,50.400677789363
0.03,1.1654600456885098,0.006761106256180878,1.1649198789046502,0.16637177138116738,540.4151276147934,55.42961078759801
0.031,1.2444776573758476,0.007000369353306298,1.1685868415261216,0.1625924155492926,541.0073298414592,57.14279635558226
0.032,1.3149005641081932,0.007182755493906117,1.17115097326183,0.15309063323447705,543.0108591586677,61.087980027016
0.033,1.429161713040965,0.0075165336883891605,1.1761944053374063,0.1721220224088569,539.5293907164995,56.02195474109182
0.034,1.4746807887075222,0.007578014897019758,1.1766676902680446,0.1498258155445787,544.224099494776,64.43177011732944
0.035,1.623580859374966,0.007976057144818563,1.1824656911226719,0.17006336760775032,539.8099963191387,57.686730450413286
0.036,1.70206232983395,0.00812417089643824,1.1842955403891993,0.1590314523479543,541.9008566442403,61.851496926473
0.037,1.8129822477683977,0.008353544357680449,1.1872961812734493,0.160964629801286,541.5285766612432,61.75192781797457
0.038,1.8665712170323632,0.008417272547823875,1.1879003921214732,0.1526836076976793,543.9527656434732,66.39443098219353
0.039,2.04051495425174,0.008775201749838021,1.1926133970462662,0.16241772086176012,541.3274445352463,62.368324638170655
0.04,2.1678734492728013,0.00899411460990192,1.195311988263546,0.16442268773134375,540.9492196790787,62.128076047843095
